from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,1.89,0.37,0.19,760.8,2.19,192.28,89.92,0.0,32.25,135.42,19.35,177.27,0.75,1.56,46.41,38.24,38.77,68.05,26.53,16.32,02-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Jan-2019 - 00:00,1.97,0.26,0.12,761.12,2.95,182.14,86.79,0.0,33.63,140.46,19.51,196.1,0.83,1.58,47.11,37.24,33.31,64.37,30.75,13.67,03-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Jan-2019 - 00:00,0.96,0.04,0.01,761.46,2.05,176.96,75.83,0.0,35.88,149.93,19.25,129.92,0.86,0.84,46.13,29.59,30.15,56.58,40.23,6.04,04-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Jan-2019 - 00:00,1.45,0.18,0.07,759.72,1.84,157.96,87.62,0.0,34.53,144.55,19.82,144.16,0.95,1.16,44.49,28.21,32.47,54.93,40.61,19.3,05-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Jan-2019 - 00:00,1.12,0.08,0.03,758.33,2.41,132.48,75.24,0.0,38.64,146.79,21.59,197.2,1.27,0.98,53.88,25.9,32.18,53.69,43.96,26.62,06-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Jan-2019 - 00:00,1.33,0.02,0.0,759.72,2.18,188.09,143.77,0.0,63.51,133.38,16.71,257.31,1.3,1.05,58.05,25.07,33.42,53.3,42.59,11.7,07-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Jan-2019 - 00:00,0.69,0.01,0.0,760.71,1.66,142.7,87.71,0.0,54.37,158.96,16.59,81.88,1.47,0.74,44.43,27.06,36.2,60.97,51.73,5.38,08-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Jan-2019 - 00:00,0.8,0.03,0.01,760.23,4.17,116.89,61.46,0.0,43.99,149.74,17.62,171.78,0.98,0.8,35.79,27.9,38.92,66.84,48.36,8.89,09-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Jan-2019 - 00:00,0.62,0.0,0.0,760.31,1.25,223.53,61.43,0.0,41.39,151.39,17.63,90.72,1.18,0.67,31.51,28.81,34.99,63.72,43.71,3.02,10-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Jan-2019 - 00:00,1.03,0.07,0.03,759.7,1.8,152.26,70.71,0.0,38.57,154.08,19.53,126.15,1.13,0.93,35.89,28.82,31.08,59.33,31.7,6.21,11-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Jan-2019 - 00:00,0.86,0.04,0.01,760.69,1.92,165.97,70.69,0.0,38.46,175.73,20.73,139.58,1.08,0.73,39.52,23.89,28.51,50.79,48.58,6.01,12-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Jan-2019 - 00:00,0.99,0.1,0.04,760.36,1.57,149.32,71.51,0.0,38.4,182.23,21.16,152.79,1.15,0.9,45.04,30.41,33.64,64.06,46.24,16.93,13-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Jan-2019 - 00:00,0.8,0.01,0.0,761.73,1.64,215.89,89.41,0.0,45.97,184.74,20.48,242.15,1.39,0.7,43.22,32.7,35.24,67.94,58.43,16.64,14-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Jan-2019 - 00:00,0.59,0.0,0.0,762.0,1.18,142.18,82.23,0.0,52.51,179.54,18.22,60.29,1.51,0.64,39.8,33.6,34.63,68.22,50.77,6.7,15-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Jan-2019 - 00:00,0.86,0.03,0.01,760.41,1.48,140.2,57.09,0.0,30.31,178.13,18.6,134.59,0.87,0.82,34.15,33.02,38.62,71.58,53.44,7.95,16-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Jan-2019 - 00:00,1.23,0.07,0.02,759.55,2.02,160.35,87.66,0.0,32.06,179.18,20.64,189.96,1.02,1.12,36.4,31.43,41.07,72.67,42.04,10.28,17-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Jan-2019 - 00:00,0.93,0.01,0.0,760.15,2.06,167.98,63.24,0.0,33.43,189.87,20.71,108.32,1.07,0.89,26.41,26.45,34.84,61.29,46.48,8.01,18-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Jan-2019 - 00:00,1.45,0.31,0.16,760.84,2.42,194.62,77.77,0.0,36.08,183.14,21.38,183.39,0.86,1.39,29.68,28.82,38.86,67.68,38.84,9.39,19-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
