from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
01-Jan-2019 - 00:00,13.19,997.82,529.49,336.09,70.34,55.84,268.05,0.86,7.16,59.05,71.34,81.34,149.35,182.56,20.55,23.37,2.95,02-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Jan-2019 - 00:00,14.32,998.16,547.14,360.22,76.67,54.18,182.8,0.73,8.34,61.26,80.49,97.09,122.58,149.96,17.05,38.43,3.92,03-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Jan-2019 - 00:00,13.83,998.92,545.32,375.92,75.18,51.72,298.64,1.61,7.03,57.31,79.66,77.11,117.24,137.54,19.53,17.99,2.3,04-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Jan-2019 - 00:00,12.72,997.96,400.69,263.29,78.7,48.98,256.81,1.1,5.6,47.87,66.02,71.12,83.55,113.36,10.4,23.67,1.96,05-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Jan-2019 - 00:00,13.86,996.69,429.36,272.22,73.12,54.58,104.57,1.49,6.76,56.01,68.3,65.7,112.16,127.09,15.43,20.81,1.97,06-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Jan-2019 - 00:00,14.16,995.96,267.17,190.74,79.7,50.66,197.42,1.08,4.51,43.63,68.23,52.83,46.04,65.86,19.74,20.55,1.23,07-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Jan-2019 - 00:00,13.46,997.5,317.53,211.8,81.23,63.16,298.63,1.28,4.83,48.28,69.9,51.34,90.51,101.08,16.95,25.11,1.5,08-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Jan-2019 - 00:00,13.64,995.88,250.7,170.12,75.87,74.94,295.61,1.77,3.99,42.52,62.87,42.5,40.8,55.89,23.85,17.83,1.34,09-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Jan-2019 - 00:00,15.75,994.92,226.14,124.36,54.89,95.04,304.99,2.5,4.03,34.43,47.56,48.48,57.27,72.47,32.24,24.72,1.92,10-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Jan-2019 - 00:00,13.07,994.73,294.75,183.29,69.87,69.21,299.22,1.38,4.8,42.54,51.93,58.16,73.97,87.19,18.93,26.16,2.56,11-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Jan-2019 - 00:00,13.28,996.44,454.15,310.25,74.53,63.88,205.03,0.56,8.91,67.41,62.43,89.65,127.39,268.33,11.96,33.58,4.31,12-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
