from date,NO2,SO2,CO,Ozone,PM2.5,PM10,NH3,Benzene,RH,SR,WS,WD,RF,to date,station
01-Jan-2019 - 00:00,28.37,10.37,0.56,2.18,72.05,161.15,9.74,9.23,86.73,161.04,0.45,216.44,0.0,02-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
02-Jan-2019 - 00:00,29.64,18.74,0.42,3.0,84.33,190.18,9.68,8.17,76.08,143.91,0.86,242.93,0.0,03-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
03-Jan-2019 - 00:00,27.28,12.13,0.53,2.39,59.72,132.32,9.48,8.5,85.94,152.59,1.5,311.54,0.0,04-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
04-Jan-2019 - 00:00,27.61,18.98,0.42,2.17,54.95,117.9,9.51,7.9,82.18,146.89,1.07,246.66,0.0,05-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
05-Jan-2019 - 00:00,25.64,10.34,0.42,2.14,63.4,127.94,9.36,7.63,84.7,145.48,0.88,218.21,0.0,06-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
06-Jan-2019 - 00:00,24.14,6.82,0.36,2.44,22.35,50.71,9.14,3.1,84.08,121.27,1.15,289.0,0.0,07-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
07-Jan-2019 - 00:00,21.81,8.81,0.36,2.31,24.31,56.43,9.03,3.6,81.87,166.18,1.15,304.75,0.0,08-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
08-Jan-2019 - 00:00,24.9,19.03,0.43,2.5,38.39,92.86,9.26,5.56,77.5,151.52,1.44,311.06,0.0,09-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
09-Jan-2019 - 00:00,25.51,22.67,0.41,2.53,45.09,109.59,9.37,6.17,73.75,162.56,1.73,313.09,0.0,10-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
10-Jan-2019 - 00:00,29.41,18.16,0.5,2.17,55.33,132.96,9.7,7.37,76.5,172.42,0.6,254.35,0.0,11-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
11-Jan-2019 - 00:00,26.18,19.51,0.45,2.47,60.22,133.81,9.45,6.71,80.19,153.92,0.59,197.68,0.0,12-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
12-Jan-2019 - 00:00,23.84,22.77,0.35,2.64,56.39,132.05,9.23,5.25,76.25,163.34,0.83,225.43,0.0,13-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
13-Jan-2019 - 00:00,18.85,7.97,0.33,2.81,22.69,56.43,8.82,2.85,74.46,156.24,1.72,295.3,0.0,14-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
14-Jan-2019 - 00:00,16.1,8.1,0.35,2.5,20.74,54.55,8.65,3.35,65.55,179.04,2.34,316.88,0.0,15-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
15-Jan-2019 - 00:00,22.64,24.89,0.4,2.18,40.72,100.61,9.14,5.96,71.12,156.43,1.22,302.51,0.0,16-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
16-Jan-2019 - 00:00,26.03,17.9,0.46,10.11,72.61,170.01,9.42,7.92,80.09,164.72,0.76,193.12,0.0,17-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
17-Jan-2019 - 00:00,22.94,4.8,0.44,17.89,48.77,103.87,9.26,6.12,72.8,165.64,0.97,302.82,0.0,18-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
18-Jan-2019 - 00:00,22.41,5.78,0.4,18.1,45.7,104.24,9.15,6.05,74.75,179.16,1.42,314.64,0.0,19-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
19-Jan-2019 - 00:00,26.61,6.29,0.42,18.06,53.54,127.26,9.44,6.85,74.59,153.59,0.98,295.4,0.0,20-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
20-Jan-2019 - 00:00,22.72,7.4,0.4,17.39,51.67,121.86,9.17,6.05,80.98,151.89,0.49,160.97,0.0,21-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
21-Jan-2019 - 00:00,20.55,3.35,0.34,17.82,41.72,88.27,8.95,4.89,90.49,138.62,1.21,242.37,0.0,22-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
22-Jan-2019 - 00:00,17.92,3.39,0.3,18.53,11.95,22.61,9.54,2.08,94.11,127.66,1.52,159.41,0.0,23-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
23-Jan-2019 - 00:00,18.34,2.79,0.33,17.72,13.58,30.33,10.66,2.78,82.36,203.7,0.88,292.26,0.0,24-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
24-Jan-2019 - 00:00,17.45,3.28,0.33,17.93,18.56,48.92,10.62,3.37,81.59,199.99,1.5,313.69,0.0,25-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
25-Jan-2019 - 00:00,20.04,5.75,0.38,17.94,30.71,73.11,10.84,4.09,75.78,187.13,1.0,285.61,0.0,26-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
26-Jan-2019 - 00:00,17.67,4.83,0.31,18.18,33.96,80.13,10.67,4.25,71.87,212.81,2.03,317.66,0.0,27-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
27-Jan-2019 - 00:00,14.93,3.8,0.35,18.03,26.18,64.24,10.52,3.84,68.61,206.11,2.01,314.96,0.0,28-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
28-Jan-2019 - 00:00,16.02,5.18,0.39,17.71,30.75,,10.62,4.35,68.16,218.61,1.86,313.82,0.0,29-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
29-Jan-2019 - 00:00,19.85,18.37,0.74,17.35,36.43,69.14,11.02,4.73,68.13,202.07,1.55,311.67,0.0,30-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
