from date,Ozone,NO,NO2,NOx,SO2,Benzene,Xylene,Toluene,WS,WD,SR,PM2.5,PM10,Temp,RF,AP,CO,to date,station
01-Jan-2019 - 00:00,11.34,32.97,14.84,51.1,84.07,2.85,,1.57,0.28,108.15,,125.41,203.3,27.39,0.32,35.61,1.14,02-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
02-Jan-2019 - 00:00,11.42,33.28,14.98,51.43,84.71,2.29,,1.15,0.28,109.5,,96.14,170.55,33.37,0.22,35.64,0.78,03-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
03-Jan-2019 - 00:00,11.45,35.73,16.08,55.38,90.18,2.24,,1.16,0.28,83.09,,81.55,153.12,33.51,0.22,35.62,1.13,04-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
04-Jan-2019 - 00:00,11.43,31.39,14.12,48.53,80.04,2.2,,1.2,0.28,99.64,,88.87,151.95,32.55,0.24,35.67,1.17,05-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
05-Jan-2019 - 00:00,11.44,28.52,12.83,44.04,72.74,1.77,,0.9,0.28,102.61,,91.54,159.97,37.54,0.18,35.77,0.95,06-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
06-Jan-2019 - 00:00,11.36,25.13,11.31,38.46,64.08,1.3,,0.61,0.28,108.24,,89.68,148.55,33.74,0.15,35.69,0.28,07-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
07-Jan-2019 - 00:00,11.37,25.62,11.53,39.61,65.35,2.47,,1.37,0.28,78.86,,93.77,183.09,37.76,0.25,35.54,0.82,08-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
08-Jan-2019 - 00:00,11.6,35.27,15.87,54.48,89.09,2.35,,1.3,0.28,80.11,,106.42,204.41,33.14,0.24,35.54,0.78,09-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
09-Jan-2019 - 00:00,11.6,35.44,15.95,54.81,89.88,2.52,,1.34,0.28,124.64,,110.86,207.23,33.3,0.27,35.6,0.78,10-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
10-Jan-2019 - 00:00,11.56,33.92,15.26,52.58,86.03,2.89,,1.48,0.28,91.2,,114.58,208.31,34.07,0.37,35.6,1.03,11-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
11-Jan-2019 - 00:00,11.3,25.33,11.4,39.26,64.59,1.21,,0.52,0.28,122.26,,101.1,167.11,35.17,0.11,35.66,0.51,12-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
12-Jan-2019 - 00:00,11.29,20.6,9.27,31.93,52.48,0.91,,0.38,0.28,108.53,,85.36,142.57,30.53,0.09,35.78,1.36,13-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
13-Jan-2019 - 00:00,11.36,17.75,7.99,27.37,45.27,1.05,,0.43,0.28,143.99,,91.74,171.6,36.6,0.12,35.71,1.56,14-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
