from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,RF,SR,to date,station
01-Jan-2019 - 00:00,129.45,67.34,139.96,63.48,15.52,2.81,33.91,314.75,460.92,2.1,11.76,12.81,0.83,111.32,58.74,742.14,0.0,44.65,02-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
02-Jan-2019 - 00:00,99.22,55.29,96.82,67.28,8.64,2.06,28.01,310.17,444.79,1.84,8.97,13.75,1.0,109.49,61.19,742.12,0.0,43.62,03-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
03-Jan-2019 - 00:00,124.43,57.59,113.01,57.6,12.74,2.09,31.25,341.17,473.21,2.04,15.03,13.78,1.56,71.48,59.62,742.16,0.0,42.76,04-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
04-Jan-2019 - 00:00,110.66,31.82,84.69,52.61,8.92,1.74,17.64,296.14,422.25,1.82,9.74,11.29,1.06,82.87,65.74,742.0,0.0,32.86,05-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
05-Jan-2019 - 00:00,80.97,16.53,56.51,50.38,8.08,1.76,30.12,245.61,349.54,1.59,5.17,13.54,2.02,110.39,59.45,742.0,0.0,45.48,06-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
06-Jan-2019 - 00:00,74.74,18.24,54.59,51.66,6.17,1.12,47.18,209.42,279.04,1.29,6.75,14.57,2.13,59.54,59.01,742.0,0.01,38.78,07-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
07-Jan-2019 - 00:00,104.21,22.96,74.09,51.02,16.45,1.08,,204.14,288.38,1.39,10.96,14.64,2.63,44.61,58.68,742.0,0.0,48.35,08-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
08-Jan-2019 - 00:00,86.1,18.48,60.52,47.99,11.94,1.07,49.03,163.9,241.14,1.12,6.73,13.98,2.13,37.33,58.58,742.0,0.0,50.19,09-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
09-Jan-2019 - 00:00,72.7,9.11,46.08,41.49,15.52,0.94,,142.3,233.03,0.92,4.78,13.89,2.34,42.56,54.55,742.0,0.0,54.02,10-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
10-Jan-2019 - 00:00,98.69,40.16,85.16,37.55,19.23,1.48,,168.15,284.36,1.15,6.93,13.61,1.5,42.73,53.54,742.0,0.0,52.64,11-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
11-Jan-2019 - 00:00,144.55,85.29,146.23,43.11,20.2,2.33,,270.07,418.72,2.01,14.52,12.95,0.76,78.98,57.6,742.0,0.0,44.77,12-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
12-Jan-2019 - 00:00,157.31,93.33,167.7,51.11,22.41,4.16,,346.83,500.59,2.47,24.03,13.51,1.11,112.03,59.58,742.0,0.0,46.9,13-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
13-Jan-2019 - 00:00,91.42,74.67,75.41,53.64,22.01,2.0,,290.76,424.1,1.83,14.81,16.01,1.71,66.12,55.84,742.01,0.0,43.5,14-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
