from date,AT,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,16.11,752.29,361.77,222.19,0.0,66.98,58.22,28.97,155.42,0.92,1.69,6.34,4.15,2.14,68.46,13.3,99.4,63.68,34.27,16.58,02-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-Jan-2019 - 00:00,17.09,752.76,410.22,500.76,0.0,71.88,57.07,28.67,193.3,0.55,2.16,8.8,6.69,2.79,76.17,79.0,166.41,154.43,27.68,32.49,03-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
03-Jan-2019 - 00:00,17.15,752.62,402.25,285.78,0.0,63.61,62.22,28.63,78.78,1.43,1.67,6.45,4.47,2.08,63.9,21.63,100.38,70.98,31.31,11.17,04-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
04-Jan-2019 - 00:00,13.29,752.36,316.56,228.92,0.0,82.79,35.22,29.13,138.82,1.14,1.5,5.18,2.9,2.07,61.47,13.66,71.07,48.91,10.38,8.73,05-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
05-Jan-2019 - 00:00,15.54,752.12,345.74,243.45,0.0,74.14,60.61,29.09,242.14,1.2,1.82,6.76,4.53,2.2,60.05,17.73,83.82,58.99,31.57,10.78,06-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
06-Jan-2019 - 00:00,16.71,750.43,352.73,235.57,0.0,68.77,52.67,28.78,164.96,1.11,1.21,5.26,3.19,1.36,53.58,7.72,63.1,39.82,27.08,22.13,07-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
07-Jan-2019 - 00:00,19.49,751.77,232.37,126.83,0.0,54.59,90.19,28.23,100.17,1.53,0.94,5.41,3.62,1.11,43.34,7.53,79.44,45.15,36.81,28.58,08-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
08-Jan-2019 - 00:00,16.32,749.54,267.02,165.28,0.0,66.97,59.97,28.62,77.64,1.87,1.01,3.98,2.12,1.02,45.17,7.91,64.75,40.87,31.03,18.15,09-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
09-Jan-2019 - 00:00,16.32,748.72,263.99,153.72,0.0,64.72,68.55,28.51,74.78,1.99,0.94,4.14,2.36,0.98,45.47,9.56,73.37,46.79,32.75,13.28,10-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
10-Jan-2019 - 00:00,16.19,749.16,275.5,227.1,0.0,64.43,65.26,28.68,109.53,1.29,1.45,5.8,4.2,2.09,54.01,32.97,113.29,87.07,32.41,22.04,11-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
11-Jan-2019 - 00:00,16.97,751.09,356.51,234.67,0.0,68.05,63.41,28.72,214.0,0.67,1.53,6.16,4.19,2.23,57.15,27.15,108.68,79.88,33.72,14.53,12-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
12-Jan-2019 - 00:00,17.82,750.25,426.02,323.41,0.0,67.22,49.66,28.77,194.25,0.53,1.86,7.38,5.56,2.9,62.24,30.09,113.35,82.74,33.93,32.54,13-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
13-Jan-2019 - 00:00,18.77,751.52,433.86,281.77,0.0,64.33,62.52,28.64,140.8,0.96,1.46,6.5,4.59,1.94,56.53,27.77,95.1,73.17,34.53,21.22,14-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
14-Jan-2019 - 00:00,16.71,750.14,216.39,87.1,0.0,57.1,79.97,28.48,78.1,2.65,0.68,3.21,1.63,0.56,35.55,6.47,47.76,30.65,43.17,10.76,15-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
15-Jan-2019 - 00:00,14.75,749.84,229.89,133.06,0.0,61.83,63.74,28.62,78.15,1.82,0.87,4.19,2.43,1.04,41.03,9.72,68.21,44.18,32.39,17.28,16-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
16-Jan-2019 - 00:00,15.22,751.04,370.39,324.77,0.0,70.77,54.69,28.62,200.03,0.94,1.71,7.39,4.97,2.43,56.38,38.56,106.52,88.0,23.84,26.62,17-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
17-Jan-2019 - 00:00,17.35,749.19,319.38,208.44,0.0,64.48,69.91,27.87,93.35,0.86,1.76,6.74,4.86,2.17,56.07,25.42,100.6,74.17,35.46,23.26,18-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
18-Jan-2019 - 00:00,17.49,749.06,261.46,129.09,0.0,64.85,67.42,28.52,76.68,1.35,1.45,5.36,3.24,1.69,56.26,10.85,86.52,54.81,36.18,19.41,19-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
19-Jan-2019 - 00:00,18.11,749.34,322.86,196.05,0.0,59.69,67.7,28.48,73.17,1.21,1.39,5.25,3.19,1.74,53.03,14.18,97.42,63.32,33.81,24.29,20-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
20-Jan-2019 - 00:00,19.78,748.72,454.79,275.41,0.0,57.94,62.8,28.49,127.91,0.78,1.68,6.7,4.28,2.3,60.43,22.78,120.29,82.51,32.8,31.19,21-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
21-Jan-2019 - 00:00,18.26,747.84,284.19,167.17,0.07,75.98,44.55,28.67,219.47,1.87,1.08,4.93,2.57,1.17,61.81,9.54,64.63,42.13,32.78,13.9,22-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
22-Jan-2019 - 00:00,17.71,747.73,101.14,65.64,0.0,79.41,32.82,28.85,180.7,1.46,0.71,4.9,3.06,1.66,59.34,9.14,65.4,38.0,20.3,23.64,23-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
23-Jan-2019 - 00:00,17.34,749.95,256.9,201.21,0.0,81.79,49.58,28.73,173.86,0.66,1.31,6.8,4.69,1.46,49.44,23.24,81.0,61.97,13.21,18.42,24-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
24-Jan-2019 - 00:00,18.25,751.77,182.26,110.14,0.0,62.83,76.91,28.61,147.65,1.26,0.88,5.31,3.19,1.14,34.11,12.41,65.87,45.13,30.99,21.57,25-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
25-Jan-2019 - 00:00,16.66,751.75,139.48,77.54,0.01,70.79,58.8,28.8,169.72,1.51,0.63,4.1,2.22,0.77,35.28,7.0,50.38,32.47,35.11,14.34,26-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
26-Jan-2019 - 00:00,16.7,753.85,145.58,83.89,0.0,66.59,79.61,28.63,87.1,1.37,0.7,3.66,1.86,1.01,34.83,10.89,60.48,41.03,32.05,11.54,27-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
27-Jan-2019 - 00:00,14.95,753.79,163.3,98.08,0.0,66.54,69.2,28.83,75.51,1.87,0.59,2.99,1.32,0.81,38.92,6.82,53.56,34.03,35.5,13.03,28-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
28-Jan-2019 - 00:00,15.0,753.41,154.69,89.48,0.0,62.16,81.75,28.79,77.01,2.02,0.58,3.12,1.5,0.62,40.11,7.0,52.91,33.83,39.59,13.51,29-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
29-Jan-2019 - 00:00,15.64,751.99,192.19,116.96,0.0,61.19,81.39,28.74,76.27,1.84,0.7,3.34,1.7,0.8,43.98,6.79,58.71,36.74,40.23,15.99,30-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
30-Jan-2019 - 00:00,16.16,751.36,261.01,161.55,0.0,63.19,65.22,28.7,138.88,1.35,0.87,4.1,2.12,1.01,50.22,10.03,71.33,46.1,44.12,18.59,31-Jan-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
31-Jan-2019 - 00:00,17.2,751.35,385.7,255.31,0.0,64.7,59.42,28.78,228.22,1.08,1.28,5.64,3.42,1.59,63.32,10.08,82.33,51.99,41.74,20.2,01-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
01-Feb-2019 - 00:00,19.08,750.96,264.11,155.53,0.0,62.78,65.97,28.66,182.22,0.92,1.05,5.5,3.45,1.57,50.32,13.44,76.31,51.52,41.86,18.24,02-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-Feb-2019 - 00:00,15.73,750.11,258.3,173.97,0.0,77.5,62.8,28.63,77.76,1.97,0.89,4.02,2.0,1.07,50.98,7.51,54.95,35.34,22.77,8.44,03-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
03-Feb-2019 - 00:00,14.36,751.72,251.25,168.24,0.0,86.43,32.07,28.91,121.79,1.5,0.94,4.12,2.3,1.37,47.07,19.78,68.57,52.55,15.78,5.9,04-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
04-Feb-2019 - 00:00,14.98,752.54,303.78,206.54,0.0,83.52,52.7,28.76,71.5,0.92,1.54,5.69,3.78,2.31,49.48,26.34,98.43,73.77,19.17,7.37,05-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
05-Feb-2019 - 00:00,18.02,750.39,464.17,406.51,0.0,71.99,66.01,28.41,148.94,0.65,1.85,6.69,4.78,2.85,58.12,28.4,123.04,88.54,33.4,22.38,06-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
06-Feb-2019 - 00:00,18.53,745.97,337.0,232.08,0.04,81.05,40.47,28.71,211.97,0.98,1.72,7.47,5.26,2.31,69.08,20.82,96.19,68.09,17.68,13.83,07-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
07-Feb-2019 - 00:00,18.24,744.85,63.56,30.76,0.04,82.62,28.12,29.23,255.05,2.68,0.53,3.74,2.09,0.53,46.13,6.14,33.95,23.05,31.22,9.01,08-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
08-Feb-2019 - 00:00,18.35,748.14,139.73,72.01,0.0,73.03,82.84,28.46,167.58,1.54,0.45,3.11,1.45,0.54,32.99,5.87,40.59,26.36,43.55,13.11,09-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
09-Feb-2019 - 00:00,16.44,750.17,149.1,64.99,0.0,68.65,85.2,28.15,80.23,2.05,0.5,3.16,1.73,0.63,27.86,5.67,49.21,30.78,42.57,13.91,10-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
10-Feb-2019 - 00:00,14.07,751.32,144.68,62.5,0.0,78.77,8.91,27.99,80.14,1.85,0.46,2.32,0.95,0.57,30.49,15.84,58.78,44.15,17.83,7.49,11-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
20-Feb-2019 - 00:00,20.12,749.79,197.21,101.88,0.0,73.84,20.79,28.39,109.24,1.51,1.03,6.34,4.35,1.86,130.56,15.32,60.44,42.12,7.28,12.87,21-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
21-Feb-2019 - 00:00,23.45,748.82,277.9,144.4,0.0,63.7,83.87,28.81,197.01,1.07,1.12,6.36,4.76,2.37,61.37,19.01,64.26,49.53,18.16,23.14,22-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
22-Feb-2019 - 00:00,22.63,747.28,161.03,76.83,0.0,67.57,83.02,28.08,98.07,2.13,0.63,3.32,2.05,0.71,49.82,14.95,43.37,35.23,34.57,13.56,23-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
23-Feb-2019 - 00:00,18.71,746.03,108.78,47.11,0.0,66.32,97.34,28.72,78.0,2.72,0.42,2.28,1.26,0.71,33.29,7.88,38.87,27.08,63.28,12.5,24-Feb-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
