from date,PM2.5,PM10,WD,WS,RH,SO2,NO2,NO,NOx,NH3,CO,Ozone,to date,station
01-Jan-2019 - 00:00,88.99,197.04,,,,6.04,68.55,21.11,89.67,10.24,2.46,21.66,02-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Jan-2019 - 00:00,100.48,217.86,,,,5.28,72.07,3.85,75.4,6.83,2.63,27.39,03-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Jan-2019 - 00:00,89.45,252.56,,,,4.19,60.8,32.67,93.47,19.98,1.54,21.94,04-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Jan-2019 - 00:00,149.21,347.3,,,,3.36,51.34,18.96,69.8,16.36,1.35,20.2,05-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Jan-2019 - 00:00,144.51,281.81,,,,3.22,51.3,2.87,54.16,14.9,0.98,22.91,06-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Jan-2019 - 00:00,93.98,206.01,,,,2.34,25.79,0.14,25.7,1.44,0.72,31.4,07-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Jan-2019 - 00:00,96.64,224.46,,,,2.33,28.5,6.26,33.46,15.83,0.9,30.86,08-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Jan-2019 - 00:00,87.62,217.61,,,,2.55,42.99,2.11,45.04,11.59,0.98,29.42,09-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Jan-2019 - 00:00,123.59,326.63,,,,5.42,42.78,0.14,42.72,6.08,1.68,32.59,10-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Jan-2019 - 00:00,103.2,180.21,,,,8.6,42.52,15.71,57.15,14.09,1.48,36.62,11-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Jan-2019 - 00:00,88.2,285.74,,,,18.93,31.82,7.53,39.34,20.53,1.14,18.8,12-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Jan-2019 - 00:00,82.61,186.56,,,,18.93,15.56,2.21,17.77,21.92,0.67,27.77,13-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Jan-2019 - 00:00,75.38,172.43,,,,18.93,16.61,0.53,17.08,12.54,0.76,31.23,14-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Jan-2019 - 00:00,67.18,139.13,,,,18.93,15.24,0.15,15.25,4.26,0.88,27.93,15-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
