from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
01-Jan-2019 - 00:00,358.76,214.64,62.31,34.1,96.4,1.8,0.0,22.6,0.0,0.0,0.39,0.0,02-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
02-Jan-2019 - 00:00,372.61,232.6,73.82,34.41,108.23,2.04,0.0,23.12,2.51,0.0,0.15,0.0,03-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
03-Jan-2019 - 00:00,413.67,259.11,41.69,30.86,72.54,1.42,0.0,21.67,3.22,0.0,0.03,0.0,04-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
04-Jan-2019 - 00:00,305.28,166.72,32.56,30.32,62.89,1.08,0.0,18.11,4.38,0.0,0.2,0.0,05-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
05-Jan-2019 - 00:00,305.82,187.72,39.39,28.86,68.25,1.21,0.0,22.29,2.73,0.0,0.2,0.0,06-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
06-Jan-2019 - 00:00,209.65,136.53,21.41,26.2,47.61,0.64,0.0,20.07,0.3,0.0,0.0,0.0,07-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
07-Jan-2019 - 00:00,236.08,138.17,30.22,25.59,55.82,0.83,0.0,19.8,0.0,0.0,0.23,0.0,08-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
08-Jan-2019 - 00:00,198.29,116.59,20.83,23.85,44.68,0.56,0.0,21.59,2.36,0.0,0.02,0.0,09-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
09-Jan-2019 - 00:00,171.57,97.5,19.36,24.7,44.06,0.53,0.0,22.93,4.49,0.0,0.0,0.0,10-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
10-Jan-2019 - 00:00,197.18,105.6,40.38,28.33,68.71,0.91,0.0,22.9,2.01,0.0,0.02,0.0,11-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
11-Jan-2019 - 00:00,318.54,203.63,74.46,36.03,110.49,2.12,0.0,22.71,2.6,0.0,0.05,0.0,12-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
12-Jan-2019 - 00:00,346.82,235.43,85.77,33.94,119.71,1.91,0.0,25.36,2.76,0.0,0.01,0.0,13-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
13-Jan-2019 - 00:00,303.81,207.34,63.73,28.19,91.93,0.97,,24.61,0.0,0.0,0.02,0.0,14-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
14-Jan-2019 - 00:00,120.23,53.67,13.64,20.87,34.51,0.3,0.0,24.34,1.71,0.0,0.0,0.0,15-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
15-Jan-2019 - 00:00,169.96,90.02,19.19,23.01,42.2,0.6,0.0,24.91,3.99,0.0,0.0,0.0,16-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
16-Jan-2019 - 00:00,319.82,195.73,46.65,28.55,75.19,1.53,0.0,21.1,0.86,0.0,0.0,0.0,17-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
17-Jan-2019 - 00:00,407.72,268.69,47.35,29.54,76.9,1.97,0.0,24.91,3.79,0.0,0.0,0.0,18-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
18-Jan-2019 - 00:00,283.98,160.82,115.54,47.03,115.73,1.02,0.0,22.99,1.74,0.0,0.0,0.0,19-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
19-Jan-2019 - 00:00,274.12,159.01,223.76,90.51,272.64,1.38,0.0,21.6,2.47,0.0,0.0,0.0,20-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
20-Jan-2019 - 00:00,343.21,216.65,163.07,72.98,211.29,2.59,0.0,23.12,0.0,0.0,0.0,0.0,21-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
21-Jan-2019 - 00:00,200.13,116.8,46.49,26.47,61.81,0.97,0.0,20.65,1.6,0.0,0.0,0.0,22-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
22-Jan-2019 - 00:00,64.63,47.5,11.11,8.06,18.31,0.3,0.0,18.81,2.41,0.0,0.0,0.0,23-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
23-Jan-2019 - 00:00,180.48,111.98,51.31,28.65,79.95,0.36,0.0,18.28,5.26,0.0,0.0,0.0,24-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
24-Jan-2019 - 00:00,160.12,93.65,32.32,22.43,54.75,0.35,0.0,21.02,2.5,0.0,0.0,0.0,25-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
25-Jan-2019 - 00:00,95.06,54.07,13.58,18.26,31.84,0.13,0.0,20.46,2.78,0.0,0.0,0.0,26-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
26-Jan-2019 - 00:00,109.96,59.91,13.96,16.6,30.56,0.12,0.0,25.63,3.21,0.0,0.0,0.0,27-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
27-Jan-2019 - 00:00,166.7,96.14,23.91,19.77,43.69,0.18,0.0,23.21,4.72,0.0,0.0,0.0,28-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
28-Jan-2019 - 00:00,143.94,84.5,12.13,9.3,21.43,0.17,0.0,30.53,3.9,0.0,0.0,0.0,29-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
29-Jan-2019 - 00:00,168.48,93.08,14.43,10.08,24.51,0.25,0.0,25.73,4.38,0.0,0.0,0.0,30-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
30-Jan-2019 - 00:00,242.66,132.94,23.51,13.22,36.73,0.45,0.0,24.32,3.17,0.0,0.0,0.0,31-Jan-2019 - 00:00,"Lodhi Road, Delhi - IMD"
31-Jan-2019 - 00:00,266.98,150.84,24.29,13.62,37.91,0.58,0.0,21.62,0.0,0.0,0.0,0.0,01-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
01-Feb-2019 - 00:00,212.38,130.65,8.46,7.77,16.24,0.22,0.0,21.46,2.68,0.0,0.0,0.0,02-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
02-Feb-2019 - 00:00,215.03,126.9,9.12,6.29,15.41,0.21,0.0,20.51,3.73,0.0,0.0,0.0,03-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
