from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
