from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,SO2,to date,station
01-Jan-2019 - 00:00,46.78,175.07,60.91,19.33,0.47,171.56,0.0,116.51,0.14,,6.24,19.08,3.03,2.39,36.88,7.67,20.79,8.1,02-Jan-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Jan-2019 - 00:00,41.6,176.06,61.58,20.32,0.59,142.27,0.0,100.59,0.13,,5.89,19.14,3.44,1.93,45.4,9.16,25.09,11.99,03-Jan-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Jan-2019 - 00:00,45.98,174.35,65.21,20.86,0.61,137.59,0.0,115.85,0.13,,4.71,19.19,3.56,2.03,41.79,8.94,23.28,6.11,04-Jan-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Jan-2019 - 00:00,49.03,166.14,61.8,21.95,0.76,143.98,0.0,102.07,0.13,,5.62,20.28,4.22,2.63,48.3,9.53,27.26,7.33,05-Jan-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Jan-2019 - 00:00,46.59,166.23,65.44,21.82,0.8,127.78,0.0,99.33,0.11,,4.99,18.55,3.37,4.56,54.48,10.78,31.92,7.03,06-Jan-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Jan-2019 - 00:00,43.7,161.73,72.01,22.28,0.87,133.85,0.0,85.84,0.09,,4.56,16.78,3.03,7.24,53.0,11.75,33.46,5.36,07-Jan-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Jan-2019 - 00:00,51.55,162.39,75.44,22.02,1.23,184.6,0.0,117.27,0.09,,3.7,12.55,2.63,8.38,52.04,11.87,33.86,5.56,08-Jan-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Jan-2019 - 00:00,44.51,175.77,62.2,19.49,0.67,206.33,0.0,99.35,0.09,,4.05,12.42,2.27,9.38,45.39,10.53,31.21,4.92,09-Jan-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Jan-2019 - 00:00,43.9,178.36,61.86,19.79,0.59,153.34,0.0,86.07,0.09,,4.52,15.94,2.66,12.61,40.55,10.81,31.28,5.96,10-Jan-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Jan-2019 - 00:00,38.54,173.52,60.72,20.53,1.05,135.17,0.0,94.05,0.11,,4.62,16.27,3.13,10.72,37.43,10.27,27.9,8.08,11-Jan-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
