from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NOx,NO,SO2,CO,Ozone,to date,station
01-Jan-2019 - 00:00,12.89,996.23,474.68,220.39,74.85,51.23,222.2,0.52,17.36,82.91,52.2,88.74,148.1,132.92,17.12,3.92,15.27,02-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Jan-2019 - 00:00,14.04,996.53,553.51,312.45,81.22,44.96,153.64,0.49,18.94,90.6,59.9,93.14,238.61,166.77,13.7,4.67,15.46,03-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Jan-2019 - 00:00,13.57,997.44,554.71,339.73,78.99,50.08,242.72,0.73,18.19,110.76,61.11,86.31,142.78,119.22,11.97,3.46,19.78,04-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Jan-2019 - 00:00,12.47,996.36,416.62,241.24,83.27,34.32,193.84,0.54,14.8,65.38,53.19,85.85,142.48,109.42,12.41,2.93,8.58,05-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Jan-2019 - 00:00,13.37,994.89,385.44,211.4,78.17,47.44,115.2,0.66,13.72,62.12,52.3,66.94,125.19,109.91,10.64,2.53,15.74,06-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Jan-2019 - 00:00,13.81,994.3,277.68,146.83,85.18,41.67,146.29,0.77,8.33,31.48,53.82,64.37,89.7,68.03,10.21,1.77,17.57,07-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Jan-2019 - 00:00,13.18,995.95,324.56,162.6,84.91,54.04,225.97,0.61,12.13,53.33,53.09,64.74,131.37,118.81,12.92,2.19,13.75,08-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Jan-2019 - 00:00,13.38,994.1,258.98,144.28,79.66,59.92,244.79,0.86,9.04,35.43,47.21,61.38,68.07,43.46,10.95,1.48,17.73,09-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Jan-2019 - 00:00,13.68,993.35,238.24,121.89,70.31,65.6,252.03,0.99,8.05,35.96,40.43,62.41,67.18,41.61,12.27,1.43,21.9,10-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Jan-2019 - 00:00,13.03,993.15,285.7,132.51,73.93,60.74,234.23,0.66,10.29,51.25,39.3,76.42,83.17,59.07,14.81,2.37,19.31,11-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
