from date,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,CO,AT,WS,SO2,Benzene,Toluene,NH3,to date,station
01-Jan-2019 - 00:00,306.82,7.56,2.35,254.32,65.15,991.12,79.04,129.47,147.11,183.8,13.37,260.89,1.71,8.98,0.65,5.18,5.0,25.74,50.51,02-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
02-Jan-2019 - 00:00,352.56,7.3,1.89,222.76,69.65,991.26,70.49,131.37,176.28,200.86,13.72,301.72,1.15,10.32,0.65,4.9,4.94,26.33,29.67,03-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
03-Jan-2019 - 00:00,425.98,9.58,1.28,251.2,70.28,991.28,76.22,117.65,104.11,151.03,11.79,376.95,2.07,10.38,0.87,7.05,6.61,47.56,34.51,04-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
04-Jan-2019 - 00:00,285.16,3.76,0.49,254.8,74.18,991.39,57.67,65.32,119.17,116.63,7.36,239.99,1.35,9.01,0.68,6.99,4.74,22.97,54.32,05-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
05-Jan-2019 - 00:00,280.41,4.61,0.12,194.61,69.22,991.25,73.83,107.3,101.67,141.54,27.23,232.45,1.25,9.9,0.99,7.54,4.17,25.05,42.33,06-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
06-Jan-2019 - 00:00,183.54,2.0,0.58,245.22,72.95,991.36,65.57,24.28,111.08,78.89,21.21,165.39,0.71,11.27,0.89,5.1,2.62,13.77,55.82,07-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
07-Jan-2019 - 00:00,205.79,2.33,0.96,277.34,75.01,991.41,81.81,53.1,90.38,91.36,26.65,177.29,0.9,10.22,0.77,5.16,3.0,16.98,53.27,08-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
08-Jan-2019 - 00:00,171.67,1.38,1.72,268.69,70.84,991.29,89.13,20.57,90.7,64.97,16.4,151.86,0.67,10.59,1.06,5.44,2.99,12.2,55.33,09-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
09-Jan-2019 - 00:00,157.57,1.8,1.02,254.31,61.98,991.03,95.45,18.34,92.8,63.96,21.59,133.9,0.74,10.97,1.47,5.84,3.93,13.66,48.72,10-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
10-Jan-2019 - 00:00,193.76,3.08,0.23,260.92,65.64,991.14,90.37,53.72,88.07,89.67,15.1,158.67,1.23,9.45,0.81,6.4,4.32,19.15,40.24,11-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
11-Jan-2019 - 00:00,294.95,5.61,0.7,229.51,67.75,991.2,79.69,119.5,101.26,151.28,8.66,232.76,1.54,9.21,0.51,7.15,6.07,31.03,23.82,12-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
12-Jan-2019 - 00:00,306.58,4.32,0.78,224.32,67.49,991.19,70.75,127.71,100.31,155.05,10.06,249.36,1.38,10.36,0.59,6.69,4.96,21.19,38.86,13-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
13-Jan-2019 - 00:00,310.91,3.84,0.15,253.88,65.22,991.11,74.91,74.62,106.34,117.83,11.87,250.53,1.08,13.27,1.03,6.29,4.24,21.78,45.77,14-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
14-Jan-2019 - 00:00,136.2,0.43,0.06,262.87,51.44,990.72,100.1,3.93,71.01,40.76,16.17,83.52,0.37,11.13,1.92,7.05,1.79,7.56,30.11,15-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
15-Jan-2019 - 00:00,188.84,1.84,,250.47,57.6,990.9,75.35,20.08,66.02,49.0,16.02,134.07,0.97,8.48,1.35,6.89,3.37,14.05,26.41,16-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
16-Jan-2019 - 00:00,295.55,7.57,0.0,215.03,67.83,991.21,73.48,115.59,110.3,152.52,11.31,235.84,1.71,8.0,0.58,7.83,6.44,26.32,38.02,17-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
17-Jan-2019 - 00:00,416.0,9.01,0.09,257.55,66.35,991.15,77.96,99.24,82.24,124.65,6.41,348.98,2.4,9.88,0.69,7.44,8.53,38.42,36.84,18-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
18-Jan-2019 - 00:00,302.11,5.19,0.28,253.41,67.7,991.2,90.44,49.45,75.2,80.3,6.64,238.33,1.95,9.12,0.8,7.18,6.68,30.99,33.54,19-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
19-Jan-2019 - 00:00,313.41,8.99,0.15,246.77,62.65,991.05,91.88,90.1,73.98,112.76,7.17,241.46,2.09,11.18,0.68,8.56,8.14,44.14,34.11,20-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
20-Jan-2019 - 00:00,332.33,14.0,0.07,241.03,61.23,991.01,84.93,165.92,113.07,195.41,43.56,266.53,1.88,14.24,0.61,7.72,9.03,54.86,36.36,21-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
21-Jan-2019 - 00:00,201.05,4.14,0.01,172.98,71.7,991.32,43.85,56.35,72.52,84.5,6.42,141.48,0.79,13.34,1.77,7.08,4.17,17.52,35.61,22-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
22-Jan-2019 - 00:00,84.99,0.56,0.21,167.33,82.67,991.64,58.45,11.41,62.29,42.42,6.99,55.58,0.9,11.87,1.29,6.28,1.76,7.77,34.66,23-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
23-Jan-2019 - 00:00,205.74,2.69,0.45,258.22,80.76,991.59,94.71,65.03,52.29,80.83,6.25,155.11,1.74,10.41,0.66,8.37,6.55,31.59,38.07,24-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
24-Jan-2019 - 00:00,167.64,1.5,0.55,246.25,73.89,991.38,72.44,26.75,55.22,51.17,15.05,110.74,1.06,11.98,1.09,7.9,3.52,19.69,32.09,25-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
25-Jan-2019 - 00:00,125.69,0.37,0.61,273.61,69.99,991.26,97.25,8.15,58.32,37.66,14.14,74.66,0.95,11.25,1.29,7.42,1.67,11.43,29.11,26-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
26-Jan-2019 - 00:00,139.46,0.09,0.85,283.69,57.83,990.91,110.37,3.64,55.57,32.51,13.5,90.18,0.84,10.32,1.47,7.29,1.72,8.12,26.69,27-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
27-Jan-2019 - 00:00,164.59,0.14,0.63,271.57,61.45,991.01,89.69,3.86,55.15,32.47,16.18,114.41,0.98,8.43,1.29,7.28,1.76,5.15,27.26,28-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
28-Jan-2019 - 00:00,158.36,0.95,0.02,259.91,54.35,990.8,110.35,4.22,58.11,34.34,22.2,103.03,0.99,9.42,1.46,6.88,2.33,8.04,24.85,29-Jan-2019 - 00:00,"Mandir Marg, Delhi - DPCC"
