from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NH3,NO,NOx,NO2,Ozone,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,SO2,to date,station
01-Jan-2019 - 00:00,2.43,60.65,9.92,0.85,,1.7,27.44,3.89,11.88,7.99,5.71,259.98,44.44,0.0,85.66,224.87,11.09,217.37,0.47,9.1,02-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
02-Jan-2019 - 00:00,2.52,62.6,10.24,0.87,,1.59,27.47,3.91,11.93,8.01,9.06,250.01,45.9,0.0,81.54,198.85,12.79,174.74,0.42,10.44,03-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
03-Jan-2019 - 00:00,2.51,62.6,10.25,0.88,,1.19,27.44,3.83,11.82,8.03,5.83,184.86,38.62,0.0,89.49,188.31,10.29,245.9,0.83,7.08,04-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
04-Jan-2019 - 00:00,2.51,62.62,10.26,0.88,,1.04,27.46,3.87,11.92,8.05,6.39,90.99,30.6,0.0,84.55,194.82,11.31,205.35,0.56,11.94,05-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
05-Jan-2019 - 00:00,2.53,62.65,10.28,0.88,,1.06,27.47,3.94,11.98,8.04,7.04,64.46,31.94,0.0,79.97,188.62,12.87,120.07,0.67,9.29,06-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
06-Jan-2019 - 00:00,2.45,60.9,10.03,0.87,,0.64,27.46,3.94,11.99,8.07,8.02,63.66,16.82,0.04,89.83,155.88,11.42,199.42,0.46,7.25,07-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
07-Jan-2019 - 00:00,2.53,62.69,10.31,0.89,,0.63,27.45,3.9,11.93,8.02,6.26,128.29,21.63,0.0,82.28,200.49,11.59,250.16,0.58,10.32,08-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
08-Jan-2019 - 00:00,2.48,61.43,10.09,0.87,,0.68,27.47,3.97,11.97,8.0,9.58,72.73,18.13,0.0,78.54,214.67,12.38,254.02,1.0,9.67,09-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
09-Jan-2019 - 00:00,2.52,62.66,10.29,0.89,,0.78,27.45,3.81,11.88,8.06,10.89,62.03,21.45,0.0,73.59,195.89,11.78,252.91,1.1,12.99,10-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
10-Jan-2019 - 00:00,2.52,62.65,10.29,0.88,,1.13,27.43,3.88,11.98,8.11,8.36,173.56,24.28,0.0,81.15,188.18,11.33,226.1,0.51,10.65,11-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
11-Jan-2019 - 00:00,2.52,62.66,10.29,0.89,,1.38,27.46,3.84,11.92,8.08,5.64,241.75,42.67,0.0,82.24,198.22,12.94,182.19,0.37,10.46,12-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
12-Jan-2019 - 00:00,2.52,62.66,10.28,0.89,,0.98,39.61,13.09,24.69,31.3,6.06,205.1,41.6,0.0,75.12,198.96,14.01,192.28,0.42,10.94,13-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
13-Jan-2019 - 00:00,2.52,62.67,10.3,0.89,,0.67,26.74,9.19,22.22,18.53,3.9,89.9,22.76,0.0,74.64,189.33,13.79,228.17,0.58,4.55,14-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
14-Jan-2019 - 00:00,2.52,62.65,10.29,0.89,,0.52,27.68,11.61,25.8,19.32,4.07,46.2,17.21,0.0,67.07,192.77,11.08,254.55,1.27,4.92,15-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
15-Jan-2019 - 00:00,2.52,62.65,10.3,0.89,,0.71,29.4,10.57,20.57,15.84,7.88,50.22,22.6,0.0,71.31,186.65,9.73,247.65,1.05,6.82,16-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
16-Jan-2019 - 00:00,2.52,62.67,10.29,0.89,,1.31,25.93,6.51,13.53,14.75,13.72,50.03,37.14,0.0,79.46,210.02,11.11,164.55,0.4,8.34,17-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
17-Jan-2019 - 00:00,8.37,36.88,10.3,0.89,,1.07,25.75,9.6,22.07,20.53,15.02,54.72,47.08,0.0,79.04,187.41,11.63,252.8,0.36,8.87,18-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
18-Jan-2019 - 00:00,9.95,29.89,10.29,0.89,,0.87,26.57,11.74,27.47,21.13,11.3,110.45,62.46,0.0,80.93,191.46,11.52,233.8,0.57,5.84,19-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
19-Jan-2019 - 00:00,2.47,61.38,10.09,0.87,,1.1,26.84,17.35,34.88,25.9,7.47,83.84,29.97,0.0,79.64,193.02,13.4,231.98,0.47,3.59,20-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
20-Jan-2019 - 00:00,2.52,62.67,10.29,0.89,,1.39,28.27,35.59,61.12,38.63,7.11,95.97,36.23,0.0,88.53,158.48,13.14,155.97,0.19,4.04,21-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
21-Jan-2019 - 00:00,2.52,62.67,10.3,0.89,,0.87,28.89,36.77,65.6,41.32,17.89,98.79,39.38,0.1,81.9,179.14,14.96,155.59,0.69,6.45,22-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
22-Jan-2019 - 00:00,2.48,61.64,10.14,0.88,,0.38,28.47,24.65,52.39,36.59,22.31,60.06,5.83,0.22,92.68,162.78,12.06,119.16,0.92,1.38,23-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
23-Jan-2019 - 00:00,2.52,62.66,10.31,0.89,,0.65,28.6,25.38,50.79,35.38,14.08,60.1,15.31,0.0,82.85,212.07,11.76,244.77,0.47,2.81,24-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
24-Jan-2019 - 00:00,2.51,62.67,10.3,0.89,,0.45,28.92,29.49,59.5,42.34,17.33,60.76,19.72,0.0,78.4,202.15,12.42,253.64,0.76,3.32,25-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
25-Jan-2019 - 00:00,2.47,61.38,10.09,0.87,,0.52,28.84,22.48,50.4,36.86,19.26,66.35,17.19,0.0,74.36,203.82,12.03,215.7,0.58,5.89,26-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
26-Jan-2019 - 00:00,2.47,61.43,10.09,0.87,,0.5,27.91,13.14,36.5,27.51,21.69,59.57,19.4,0.0,70.43,220.29,11.41,250.96,0.84,5.64,27-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
27-Jan-2019 - 00:00,2.47,61.36,10.07,0.87,,0.5,28.72,29.32,58.73,41.91,24.35,67.28,17.26,0.0,63.91,234.91,11.44,252.14,1.08,4.56,28-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
28-Jan-2019 - 00:00,2.42,60.13,9.89,0.85,,0.49,28.17,16.81,41.66,29.37,21.95,68.93,16.24,0.0,63.54,228.74,11.56,253.73,1.09,3.87,29-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
29-Jan-2019 - 00:00,2.52,62.67,10.28,0.89,,0.54,26.78,26.0,62.58,52.1,19.84,62.8,18.05,0.0,75.74,126.12,8.53,230.21,0.52,2.19,30-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
30-Jan-2019 - 00:00,2.52,62.67,10.3,0.89,,1.27,28.5,25.32,52.84,39.87,9.59,64.56,31.35,0.0,80.47,164.11,11.34,216.76,0.45,3.99,31-Jan-2019 - 00:00,"Model Town, Patiala - PPCB"
31-Jan-2019 - 00:00,2.52,62.66,10.3,0.89,,0.99,29.12,31.45,60.29,42.59,11.33,69.27,37.56,0.0,79.8,192.71,12.23,156.36,0.65,5.05,01-Feb-2019 - 00:00,"Model Town, Patiala - PPCB"
01-Feb-2019 - 00:00,1.05,26.11,4.29,0.37,,0.78,29.16,34.7,64.91,44.37,13.08,66.14,27.16,0.0,73.6,197.45,13.43,160.97,0.83,4.4,02-Feb-2019 - 00:00,"Model Town, Patiala - PPCB"
02-Feb-2019 - 00:00,0.0,0.0,0.0,0.0,,0.66,43.68,61.73,64.49,61.8,10.27,63.26,17.74,0.0,87.22,194.56,12.49,253.37,0.9,4.12,03-Feb-2019 - 00:00,"Model Town, Patiala - PPCB"
03-Feb-2019 - 00:00,0.0,0.0,0.0,0.0,,0.93,32.76,76.37,55.86,13.99,1.63,59.92,20.95,0.0,90.49,192.87,11.71,239.55,0.67,7.2,04-Feb-2019 - 00:00,"Model Town, Patiala - PPCB"
04-Feb-2019 - 00:00,0.0,0.0,0.0,0.0,,1.02,20.82,11.9,17.2,17.57,14.2,60.63,23.22,0.0,90.69,194.81,12.27,218.41,0.39,4.24,05-Feb-2019 - 00:00,"Model Town, Patiala - PPCB"
05-Feb-2019 - 00:00,0.0,0.0,0.0,0.0,,1.05,22.56,9.21,28.48,21.0,9.77,65.73,27.07,0.0,80.42,195.4,14.92,184.48,0.37,5.08,06-Feb-2019 - 00:00,"Model Town, Patiala - PPCB"
06-Feb-2019 - 00:00,0.0,0.0,0.0,0.0,,0.88,23.6,6.1,17.17,19.07,21.49,158.71,28.67,0.0,79.91,196.34,16.79,114.65,1.11,5.59,07-Feb-2019 - 00:00,"Model Town, Patiala - PPCB"
07-Feb-2019 - 00:00,0.0,0.0,0.0,0.0,,0.56,21.23,8.86,20.62,21.16,10.94,100.02,15.59,0.17,94.16,158.41,13.5,145.82,1.41,3.19,08-Feb-2019 - 00:00,"Model Town, Patiala - PPCB"
08-Feb-2019 - 00:00,0.0,0.0,0.0,0.0,,0.41,21.65,16.05,37.3,22.87,10.64,57.92,19.46,0.0,85.24,209.33,11.49,219.11,0.89,2.41,09-Feb-2019 - 00:00,"Model Town, Patiala - PPCB"
09-Feb-2019 - 00:00,0.0,0.0,0.0,0.0,,0.49,21.35,15.91,37.13,21.9,10.64,103.34,35.81,0.0,81.67,208.34,12.01,252.75,1.17,2.98,10-Feb-2019 - 00:00,"Model Town, Patiala - PPCB"
