from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,14.14,996.9,504.52,361.69,67.48,84.27,120.27,107.58,0.76,2.86,12.54,65.24,79.47,62.2,97.86,24.49,29.01,02-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
02-Jan-2019 - 00:00,15.64,997.02,676.05,477.42,69.5,73.78,192.88,203.49,0.71,4.1,17.88,83.14,133.83,84.39,153.85,23.67,28.03,03-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
03-Jan-2019 - 00:00,12.86,998.35,625.24,451.91,82.65,68.14,110.83,82.98,1.44,2.26,9.85,95.93,32.71,57.13,57.06,18.47,23.88,04-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
04-Jan-2019 - 00:00,12.0,997.17,463.94,320.97,86.06,72.59,105.25,109.1,0.96,2.3,8.38,81.88,47.69,47.75,64.32,15.36,24.46,05-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
05-Jan-2019 - 00:00,14.82,995.21,583.27,348.89,66.36,104.93,172.24,292.78,1.19,3.06,14.34,82.0,83.23,75.09,107.79,28.77,25.28,06-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
06-Jan-2019 - 00:00,14.84,995.01,275.58,175.69,77.55,85.08,37.75,169.52,1.32,1.29,5.64,78.93,7.29,42.67,28.7,32.91,23.2,07-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
07-Jan-2019 - 00:00,13.13,996.91,441.6,238.03,84.51,91.45,67.27,107.16,1.23,1.81,6.19,77.24,19.65,43.88,39.35,15.44,25.81,08-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
08-Jan-2019 - 00:00,13.6,995.05,383.61,206.13,78.44,112.8,50.34,87.67,1.6,1.44,4.81,71.44,22.62,42.16,40.85,27.91,26.03,09-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
09-Jan-2019 - 00:00,13.92,994.37,392.35,174.54,68.69,127.47,64.94,91.04,2.03,1.47,4.16,62.14,20.59,46.19,41.33,34.08,27.73,10-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
10-Jan-2019 - 00:00,13.59,994.04,423.55,245.78,69.87,115.3,96.99,70.94,0.91,2.08,5.64,79.51,61.6,47.63,75.48,19.81,24.38,11-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
11-Jan-2019 - 00:00,13.91,995.43,643.95,274.88,69.78,99.11,206.51,171.12,0.5,3.34,8.14,101.7,102.73,49.28,109.91,20.4,28.34,12-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
12-Jan-2019 - 00:00,15.22,994.47,689.26,303.38,67.82,89.63,216.61,165.47,0.55,4.12,8.58,107.59,93.15,64.44,113.03,23.07,31.76,13-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
13-Jan-2019 - 00:00,16.07,996.52,441.55,180.17,75.03,83.11,121.51,139.55,1.37,2.05,8.09,104.78,35.3,46.73,53.57,28.97,28.43,14-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
14-Jan-2019 - 00:00,13.15,996.49,394.19,125.17,60.88,130.38,47.58,106.41,2.58,1.29,2.69,89.41,8.4,32.19,23.98,36.76,27.75,15-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
15-Jan-2019 - 00:00,11.54,995.44,457.21,173.16,66.53,81.89,60.48,88.64,1.54,1.9,4.33,85.13,23.07,39.62,39.88,27.91,30.7,16-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
16-Jan-2019 - 00:00,12.74,995.07,502.87,286.36,68.96,74.39,159.4,209.19,0.57,3.23,14.61,94.29,116.89,72.82,134.01,14.97,31.38,17-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
17-Jan-2019 - 00:00,13.63,994.14,700.62,376.65,73.14,84.39,129.91,114.79,1.02,2.81,10.73,108.41,90.14,76.42,114.07,29.51,30.34,18-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
18-Jan-2019 - 00:00,12.28,994.64,425.58,271.58,78.75,83.04,106.1,71.3,1.11,2.24,6.27,93.57,58.16,61.32,80.07,22.56,27.86,19-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
19-Jan-2019 - 00:00,15.6,994.27,508.07,365.58,67.87,95.06,141.77,96.01,0.62,2.68,7.0,84.33,105.16,65.75,120.7,26.5,32.83,20-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
20-Jan-2019 - 00:00,19.09,993.07,579.07,470.19,60.29,88.51,256.5,195.44,0.54,4.85,16.89,88.09,242.87,93.14,262.8,36.4,31.37,21-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
21-Jan-2019 - 00:00,18.08,989.84,258.3,178.7,66.34,43.49,113.25,292.1,2.35,1.93,12.55,87.5,73.75,74.54,99.76,20.02,25.82,22-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
22-Jan-2019 - 00:00,15.24,990.2,75.18,47.68,91.42,46.18,55.19,267.08,1.46,1.31,3.12,79.57,17.24,51.87,41.7,24.1,26.04,23-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
23-Jan-2019 - 00:00,12.72,994.17,205.21,107.5,92.27,85.96,78.57,98.82,0.9,,3.79,76.52,49.49,50.37,67.17,16.59,21.71,24-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
24-Jan-2019 - 00:00,15.09,996.15,269.71,102.98,81.95,90.58,78.86,144.49,1.0,0.57,4.03,48.3,35.45,52.44,56.77,25.13,39.51,25-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
25-Jan-2019 - 00:00,14.01,996.41,182.95,82.81,82.54,117.97,49.52,109.09,1.33,0.5,2.01,41.08,15.47,43.71,35.88,30.09,35.13,26-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
26-Jan-2019 - 00:00,12.66,998.94,224.98,113.1,69.47,147.78,46.01,110.71,1.8,0.48,2.32,36.89,11.64,40.6,31.08,37.3,28.44,27-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
27-Jan-2019 - 00:00,11.2,998.93,259.39,115.98,70.91,96.38,47.51,93.02,1.91,0.48,2.5,36.63,17.15,45.04,37.98,33.19,26.49,28-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
28-Jan-2019 - 00:00,12.14,998.6,304.21,123.07,63.2,135.42,47.44,101.61,2.22,0.5,2.33,36.12,15.91,47.45,38.25,36.44,26.58,29-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
29-Jan-2019 - 00:00,13.09,997.09,381.35,150.42,59.19,129.46,58.63,94.4,1.79,0.53,2.89,38.13,31.83,56.12,55.69,33.14,27.22,30-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
