from date,VWS,WD,RH,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
01-Jan-2019 - 00:00,0.25,207.45,62.69,48.19,40.94,28.05,47.67,15.4,231.39,17.42,0.87,0.57,30.67,16.16,2.68,4.07,2.06,8.0,02-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Jan-2019 - 00:00,0.24,166.59,63.01,46.22,68.0,34.26,72.62,24.96,252.35,18.04,1.54,0.72,36.08,23.81,3.92,6.58,3.22,12.23,03-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Jan-2019 - 00:00,0.39,258.13,75.87,46.95,49.32,24.73,52.6,11.88,348.53,16.26,1.09,0.84,34.19,30.07,4.61,5.31,4.24,9.5,04-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Jan-2019 - 00:00,0.3,217.21,79.46,41.05,31.64,24.17,38.17,7.87,231.49,15.53,0.99,0.72,17.53,15.89,2.34,3.29,1.85,6.75,05-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Jan-2019 - 00:00,0.17,147.43,60.92,46.69,48.79,36.03,58.2,23.85,254.39,16.95,0.93,1.11,27.66,27.39,3.66,5.18,2.72,10.43,06-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Jan-2019 - 00:00,0.2,145.14,64.49,50.56,8.88,29.89,23.0,21.93,132.51,17.23,0.56,1.06,16.91,6.91,1.56,0.76,0.07,2.57,07-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Jan-2019 - 00:00,0.4,235.22,75.82,58.39,36.28,26.42,43.07,12.28,156.35,16.04,0.65,0.74,18.17,13.91,1.75,2.09,0.97,4.71,08-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Jan-2019 - 00:00,0.54,277.63,71.26,55.06,17.88,23.13,26.61,15.19,164.84,16.13,0.52,0.89,17.9,7.42,2.26,0.29,0.3,2.62,09-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Jan-2019 - 00:00,0.42,305.01,59.31,53.71,11.7,24.64,22.46,18.84,152.31,16.2,0.51,1.13,7.55,6.6,0.95,0.49,0.53,2.79,10-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Jan-2019 - 00:00,-0.31,235.29,60.7,52.9,61.29,29.19,64.56,19.47,179.17,14.82,1.09,0.73,11.13,16.25,2.66,4.8,2.23,5.99,11-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Jan-2019 - 00:00,-0.67,143.92,63.2,50.24,118.59,43.07,117.78,16.84,306.24,15.09,1.96,0.56,26.95,54.65,7.28,12.37,7.33,21.52,12-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Jan-2019 - 00:00,-0.64,178.03,61.34,48.15,90.96,44.46,96.42,23.99,305.54,15.8,1.7,0.59,28.55,42.1,7.2,11.09,5.59,16.02,13-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Jan-2019 - 00:00,-0.55,172.84,60.4,42.91,27.23,37.41,41.68,21.58,218.02,16.94,0.89,0.82,17.25,15.74,2.77,2.93,1.35,8.95,14-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Jan-2019 - 00:00,-0.44,280.31,48.7,52.36,7.8,18.41,16.03,25.37,104.89,15.12,0.49,1.29,12.13,3.43,0.53,0.0,0.01,1.07,15-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Jan-2019 - 00:00,-0.48,276.7,56.4,41.77,23.79,23.59,31.58,20.85,121.62,13.9,0.72,0.98,12.6,10.63,1.65,2.81,1.17,3.4,16-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Jan-2019 - 00:00,-0.64,157.57,64.16,46.4,44.19,39.61,56.42,20.01,189.98,14.39,0.92,0.6,10.5,13.37,2.71,3.03,1.23,7.7,17-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Jan-2019 - 00:00,-0.44,177.53,62.14,51.23,64.45,46.04,75.42,23.45,261.41,15.49,1.36,0.69,22.83,29.83,4.3,6.69,2.7,15.27,18-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Jan-2019 - 00:00,-0.4,227.76,72.25,55.2,57.4,31.04,62.43,16.28,223.39,14.36,1.07,0.71,13.47,16.65,3.1,3.86,2.02,8.27,19-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Jan-2019 - 00:00,-0.43,212.18,63.34,54.14,48.92,33.95,57.19,16.59,215.36,15.85,1.14,0.56,17.58,20.07,3.47,3.97,1.89,11.05,20-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Jan-2019 - 00:00,-0.4,181.22,55.61,53.79,103.98,45.35,107.31,28.67,260.49,17.88,1.72,0.57,44.31,54.57,7.59,11.66,6.96,17.59,21-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Jan-2019 - 00:00,-0.65,150.34,61.47,29.94,17.31,29.65,29.62,21.59,137.03,17.72,0.63,1.64,34.81,8.96,2.1,1.82,1.05,4.07,22-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Jan-2019 - 00:00,-1.42,131.44,81.73,48.04,5.72,18.66,14.5,23.32,56.53,16.54,0.39,1.75,24.39,5.57,1.05,0.3,0.1,2.16,23-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Jan-2019 - 00:00,-1.3,216.07,86.06,59.84,30.73,19.83,35.13,9.01,113.22,14.9,0.72,0.61,14.88,17.93,2.51,1.9,0.8,6.89,24-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Jan-2019 - 00:00,-1.36,117.39,71.03,54.34,14.21,25.14,24.74,23.06,125.63,16.4,0.55,0.89,18.49,10.68,1.94,0.76,0.71,3.95,25-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Jan-2019 - 00:00,-1.33,145.48,69.14,59.92,7.35,18.87,15.91,24.41,87.04,15.53,0.48,1.16,15.54,3.97,0.51,0.16,0.03,0.95,26-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Jan-2019 - 00:00,-1.31,216.69,54.25,62.83,6.1,17.92,14.41,29.09,112.39,14.86,0.45,1.09,11.14,3.47,0.3,0.0,0.5,1.72,27-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Jan-2019 - 00:00,-1.26,289.37,59.34,54.42,9.61,22.14,19.46,20.64,134.24,14.07,0.52,1.03,7.47,3.4,1.32,0.54,0.63,1.36,28-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Jan-2019 - 00:00,-0.75,314.04,50.94,61.68,9.48,23.75,20.21,22.89,126.09,14.47,0.46,1.13,9.55,6.1,0.78,0.38,0.02,1.57,29-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Jan-2019 - 00:00,-0.27,270.99,47.85,55.83,22.06,26.0,31.48,22.34,143.09,14.74,0.57,0.96,9.19,8.0,0.77,1.31,0.41,4.27,30-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Jan-2019 - 00:00,-0.17,223.96,51.88,55.29,47.68,31.77,55.04,19.96,194.64,14.64,0.92,0.65,17.18,15.41,2.17,2.93,1.47,6.2,31-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Jan-2019 - 00:00,-0.23,154.66,48.89,42.21,47.95,35.56,57.28,28.22,179.24,15.8,0.93,1.41,24.0,11.41,2.42,1.9,1.08,4.99,01-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Feb-2019 - 00:00,-0.01,233.06,65.12,47.83,11.15,31.88,25.71,14.38,141.73,15.78,0.59,1.09,21.5,5.74,1.85,0.82,0.3,3.91,02-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Feb-2019 - 00:00,0.02,310.27,85.9,36.91,9.96,17.79,17.43,16.12,156.73,13.88,0.56,1.11,15.13,6.76,1.12,1.54,0.56,5.76,03-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Feb-2019 - 00:00,-0.02,246.98,85.46,47.73,10.84,16.22,17.3,12.82,129.75,14.29,0.56,0.91,15.19,4.08,1.24,0.36,0.22,1.86,04-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Feb-2019 - 00:00,-0.04,226.29,67.91,68.97,43.26,24.64,47.72,13.64,113.92,14.55,0.9,0.71,15.03,9.25,1.42,2.86,1.44,4.2,05-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Feb-2019 - 00:00,-0.1,148.05,59.3,58.29,95.56,43.73,99.71,32.42,202.06,16.5,1.43,0.74,31.74,32.3,4.25,8.99,4.41,12.2,06-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Feb-2019 - 00:00,0.01,163.33,65.68,56.84,15.47,29.66,28.15,22.93,119.85,17.76,0.69,1.46,22.02,4.87,1.91,0.77,0.19,2.41,07-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Feb-2019 - 00:00,-0.2,166.15,79.25,16.76,5.3,12.23,10.75,28.23,67.09,16.47,0.5,2.28,10.81,1.07,0.25,0.0,0.0,0.45,08-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Feb-2019 - 00:00,0.02,251.65,57.79,72.49,17.26,18.58,23.69,20.4,66.54,15.12,0.46,1.02,12.65,8.54,1.18,0.05,0.0,0.39,09-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Feb-2019 - 00:00,0.07,291.15,57.82,63.54,20.9,19.41,27.04,23.91,85.94,14.7,0.67,1.0,10.17,7.96,1.2,1.69,0.42,0.44,10-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Feb-2019 - 00:00,0.02,231.08,60.88,66.22,41.64,24.35,46.26,18.0,152.49,14.65,0.87,0.71,19.05,8.76,1.67,2.66,1.1,0.3,11-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Feb-2019 - 00:00,-0.06,208.84,58.74,64.79,57.36,28.62,61.12,19.2,197.78,15.41,0.97,0.56,19.33,13.41,2.95,3.27,1.41,3.5,12-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Feb-2019 - 00:00,-0.13,135.54,55.3,51.2,32.15,32.25,42.88,31.44,182.95,16.69,0.87,0.57,19.67,15.79,3.4,2.35,0.69,5.69,13-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Feb-2019 - 00:00,-0.06,159.43,53.14,56.55,41.32,39.85,54.25,31.95,142.45,17.58,0.93,0.66,26.58,20.32,2.89,4.37,1.47,9.32,14-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Feb-2019 - 00:00,-0.05,147.85,62.12,39.32,6.61,27.56,19.95,27.41,119.82,17.38,0.58,1.73,25.92,6.22,1.23,0.93,0.13,2.37,15-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Feb-2019 - 00:00,0.16,255.87,65.26,49.74,15.66,21.93,24.19,16.93,97.16,16.66,0.68,1.02,22.92,7.14,1.24,0.43,0.02,1.46,16-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Feb-2019 - 00:00,0.22,273.54,76.7,39.07,6.15,13.65,12.18,18.83,107.3,15.71,0.49,1.14,20.19,2.09,0.02,0.0,0.0,0.28,17-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Feb-2019 - 00:00,0.09,245.95,83.62,6.88,27.03,23.09,28.58,7.13,135.53,14.49,0.38,0.61,18.73,5.87,0.97,1.34,0.68,2.38,18-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Feb-2019 - 00:00,0.06,156.22,47.35,59.66,13.77,22.56,23.01,31.83,119.86,17.81,0.58,1.46,24.17,5.75,1.2,0.82,0.12,2.04,19-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Feb-2019 - 00:00,0.24,169.53,65.41,69.94,13.12,23.48,22.99,24.15,101.97,17.45,0.8,0.56,28.48,15.94,2.16,3.3,1.29,7.18,20-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Feb-2019 - 00:00,0.06,125.18,66.72,35.28,18.46,31.23,31.38,18.03,99.12,17.7,0.7,1.05,30.42,15.58,3.0,2.35,0.94,4.61,21-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Feb-2019 - 00:00,0.06,150.92,49.69,65.7,30.68,23.34,36.95,29.4,67.57,19.23,0.74,1.15,29.95,9.59,2.39,1.12,0.76,1.98,22-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
