from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,11.29,996.64,284.54,200.67,75.32,108.39,192.49,1.02,3.83,17.63,31.92,70.13,30.34,62.01,1.35,38.48,9.23,02-Jan-2019 - 00:00,"Najafgarh, Delhi - DPCC"
02-Jan-2019 - 00:00,13.45,996.8,375.14,257.65,76.63,96.79,154.48,1.44,4.57,25.71,39.65,75.68,38.48,71.61,1.68,43.83,9.43,03-Jan-2019 - 00:00,"Najafgarh, Delhi - DPCC"
03-Jan-2019 - 00:00,10.13,998.05,324.82,233.04,86.11,73.45,288.21,1.42,4.18,16.35,38.25,46.54,13.92,36.12,1.47,29.05,7.27,04-Jan-2019 - 00:00,"Najafgarh, Delhi - DPCC"
04-Jan-2019 - 00:00,10.17,996.91,254.2,163.96,89.15,57.21,225.12,1.04,4.12,16.06,29.42,45.26,11.14,33.17,1.48,18.48,7.29,05-Jan-2019 - 00:00,"Najafgarh, Delhi - DPCC"
05-Jan-2019 - 00:00,12.77,994.97,379.0,257.1,74.46,93.67,131.22,2.07,5.81,42.93,26.37,80.43,69.18,97.85,2.19,35.36,7.54,06-Jan-2019 - 00:00,"Najafgarh, Delhi - DPCC"
06-Jan-2019 - 00:00,13.67,994.71,175.18,136.2,78.1,77.71,194.13,1.59,2.24,11.69,27.83,43.07,2.82,25.2,0.82,47.93,8.14,07-Jan-2019 - 00:00,"Najafgarh, Delhi - DPCC"
07-Jan-2019 - 00:00,11.24,996.55,171.8,126.18,84.81,84.91,287.38,1.28,2.13,7.11,25.92,40.65,7.25,27.54,0.87,27.53,8.57,08-Jan-2019 - 00:00,"Najafgarh, Delhi - DPCC"
08-Jan-2019 - 00:00,11.08,994.63,201.94,159.28,82.58,102.49,289.11,1.55,2.18,4.78,24.79,36.68,6.31,24.62,0.93,32.99,7.19,09-Jan-2019 - 00:00,"Najafgarh, Delhi - DPCC"
09-Jan-2019 - 00:00,10.93,993.95,212.83,151.11,77.52,122.07,309.37,2.0,2.02,3.65,22.52,42.56,2.94,25.0,0.78,24.52,8.37,10-Jan-2019 - 00:00,"Najafgarh, Delhi - DPCC"
10-Jan-2019 - 00:00,10.87,993.6,156.69,105.39,77.63,114.44,255.97,1.23,1.79,4.67,20.5,43.66,7.73,29.38,0.78,12.28,6.68,11-Jan-2019 - 00:00,"Najafgarh, Delhi - DPCC"
