from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,RH,SR,WS,WD,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Jan-2019 - 00:00,244.37,405.01,6.96,36.12,39.65,24.29,18.14,2.36,12.21,10.09,2.52,8.62,19.11,16.98,42.68,367.39,0.79,276.43,19-Jan-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
