from date,AT,BP,PM10,PM2.5,RH,SR,WS,WD,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,13.74,994.43,531.98,439.39,66.47,,0.35,225.92,9.84,59.74,97.94,52.82,79.41,72.03,3.97,4.48,25.9,02-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Jan-2019 - 00:00,14.2,994.78,561.51,456.35,75.37,3.02,0.57,177.56,11.69,66.55,99.16,42.41,80.77,81.18,2.51,31.93,29.07,03-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Jan-2019 - 00:00,14.29,995.48,572.74,416.68,73.33,6.0,0.61,250.87,9.5,61.24,101.13,44.01,74.56,76.48,2.27,31.58,22.96,04-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Jan-2019 - 00:00,12.63,994.41,479.55,338.8,78.08,6.64,0.5,257.56,8.3,47.4,79.97,24.53,49.82,59.87,3.1,24.44,22.96,05-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Jan-2019 - 00:00,13.73,993.34,437.04,289.38,71.34,10.64,1.03,106.65,7.4,43.43,72.59,57.3,82.45,56.97,2.13,21.93,19.49,06-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Jan-2019 - 00:00,13.68,992.42,320.71,247.75,81.61,9.81,0.61,226.24,5.95,30.16,78.13,30.89,50.56,51.59,1.83,20.18,21.71,07-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Jan-2019 - 00:00,13.47,994.05,369.59,270.18,81.3,58.73,0.52,267.3,6.69,46.12,80.31,52.43,65.84,47.27,2.28,20.26,27.13,08-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Jan-2019 - 00:00,13.65,992.32,307.15,217.89,76.31,138.92,0.68,255.88,5.4,30.74,71.83,29.16,44.93,43.54,1.69,20.36,20.32,09-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Jan-2019 - 00:00,13.88,991.55,297.01,204.07,66.27,157.43,0.79,259.15,5.26,24.41,61.57,26.73,42.38,42.47,1.92,29.44,23.71,10-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Jan-2019 - 00:00,13.62,991.39,371.62,269.2,67.36,148.0,0.5,244.56,8.01,40.24,62.25,35.95,51.58,45.59,2.55,27.13,28.52,11-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Jan-2019 - 00:00,13.33,993.08,513.52,430.56,73.32,124.53,0.31,191.18,12.42,81.96,68.99,29.15,58.79,69.47,3.86,23.09,35.65,12-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Jan-2019 - 00:00,14.29,992.18,601.89,442.8,72.25,114.86,0.57,185.5,12.46,73.02,73.23,47.39,77.92,77.55,4.49,25.34,26.33,13-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Jan-2019 - 00:00,15.6,993.85,500.45,365.82,70.22,109.27,0.47,228.9,8.95,55.16,71.04,34.82,57.6,58.75,2.96,29.88,21.95,14-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Jan-2019 - 00:00,13.91,993.54,216.94,130.33,51.88,168.11,0.92,259.46,4.05,18.07,51.66,9.47,24.3,34.92,1.29,36.24,22.13,15-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Jan-2019 - 00:00,11.94,992.63,308.02,206.17,58.38,116.03,0.77,245.45,5.56,23.61,49.19,40.5,53.91,43.18,2.16,34.71,25.85,16-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Jan-2019 - 00:00,12.16,992.83,503.19,390.62,73.02,111.87,0.48,178.36,10.28,56.95,61.4,100.19,110.53,57.97,3.38,22.12,35.87,17-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Jan-2019 - 00:00,13.3,991.45,627.32,467.19,73.02,123.67,0.34,238.9,12.92,80.33,62.22,49.05,78.16,75.43,4.55,35.46,24.59,18-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Jan-2019 - 00:00,13.43,991.8,451.9,326.71,72.6,154.03,0.47,234.76,9.13,47.86,59.52,53.3,69.66,53.07,3.07,29.68,22.76,19-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Jan-2019 - 00:00,15.54,991.56,489.09,338.29,65.8,153.17,0.38,239.96,10.02,61.77,62.07,74.96,86.92,52.41,1.99,24.19,26.66,20-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Jan-2019 - 00:00,17.98,990.71,613.59,420.65,69.06,137.41,0.3,188.01,13.34,92.84,68.25,66.64,94.69,79.76,5.44,36.13,29.75,21-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Jan-2019 - 00:00,16.65,988.39,273.04,163.23,73.98,80.16,1.46,107.02,4.44,21.55,62.51,31.62,46.67,43.02,1.35,14.59,15.69,22-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Jan-2019 - 00:00,14.72,988.93,86.86,65.29,89.37,93.04,1.22,148.79,2.24,12.41,49.54,13.05,25.67,31.99,1.09,18.01,20.21,23-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Jan-2019 - 00:00,14.19,991.9,266.31,187.52,85.24,148.12,0.46,274.01,6.45,39.06,57.08,65.71,71.69,37.82,2.23,41.0,29.4,24-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Jan-2019 - 00:00,14.89,994.16,240.66,160.23,79.7,132.65,0.63,221.09,5.03,33.72,61.26,38.52,48.23,35.49,1.66,23.53,26.01,25-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Jan-2019 - 00:00,13.99,994.14,165.55,118.65,76.71,165.19,0.68,283.57,4.04,22.03,50.78,13.27,28.03,36.07,1.36,21.07,21.4,26-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Jan-2019 - 00:00,12.88,996.65,192.62,132.76,64.55,189.2,0.69,267.48,4.0,16.8,47.45,9.52,22.23,30.97,1.2,28.89,21.11,27-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Jan-2019 - 00:00,11.54,996.75,254.32,182.19,64.97,151.28,0.78,262.01,4.27,14.86,49.51,14.98,29.59,36.41,1.48,22.59,21.71,28-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Jan-2019 - 00:00,12.41,996.37,245.54,166.45,57.19,175.31,0.83,265.22,4.3,18.19,50.28,19.37,34.38,38.7,1.56,24.51,21.6,29-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Jan-2019 - 00:00,13.19,994.83,285.23,192.36,55.83,179.24,0.76,262.07,5.19,27.24,52.93,33.45,47.71,42.18,2.02,25.93,28.29,30-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Jan-2019 - 00:00,13.8,993.68,447.08,273.32,57.84,154.14,0.53,234.46,7.06,38.74,62.34,45.67,60.88,48.22,2.72,24.73,37.8,31-Jan-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
31-Jan-2019 - 00:00,14.83,992.92,353.8,213.09,61.7,130.02,1.22,119.91,6.14,43.76,62.71,35.33,53.64,50.44,2.05,18.44,28.62,01-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Feb-2019 - 00:00,15.49,993.27,286.59,212.22,70.54,133.87,0.93,177.21,4.92,22.2,62.21,24.81,39.29,39.63,1.54,22.71,26.1,02-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Feb-2019 - 00:00,12.76,993.24,308.48,234.08,85.39,117.3,0.91,259.72,4.95,22.86,59.14,13.51,24.85,29.78,1.5,19.79,20.05,03-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Feb-2019 - 00:00,13.61,994.39,267.68,195.88,85.99,129.43,0.71,250.45,4.74,18.38,56.03,27.12,36.38,30.58,1.67,20.2,19.14,04-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Feb-2019 - 00:00,14.84,994.92,299.73,231.19,75.56,178.78,0.43,247.74,6.38,32.81,57.36,44.32,56.97,42.97,2.92,25.72,24.04,05-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Feb-2019 - 00:00,16.41,992.64,449.61,298.56,75.55,135.58,0.68,144.47,9.44,67.46,68.48,61.73,84.4,67.12,4.02,20.16,28.49,06-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Feb-2019 - 00:00,18.22,987.66,273.32,194.15,81.44,131.06,1.27,117.0,4.7,23.14,66.81,43.38,58.52,47.22,1.6,14.27,26.55,07-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Feb-2019 - 00:00,15.97,985.8,101.49,69.79,91.23,42.12,2.08,125.96,1.97,9.43,48.26,16.1,27.03,29.93,1.04,11.52,19.13,08-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Feb-2019 - 00:00,14.52,991.08,180.66,104.56,69.32,179.85,0.63,256.74,4.24,20.77,42.07,26.3,38.96,36.69,1.3,25.41,15.92,09-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Feb-2019 - 00:00,14.35,993.28,197.31,119.66,63.72,193.41,0.81,263.75,3.73,20.47,41.4,25.31,36.38,33.4,1.45,35.49,18.71,10-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Feb-2019 - 00:00,14.46,994.78,294.59,190.02,67.38,159.72,0.53,253.33,5.79,29.44,47.55,52.67,62.57,40.6,2.04,27.7,21.08,11-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Feb-2019 - 00:00,14.97,995.29,373.84,247.97,70.74,144.37,0.33,240.86,7.57,51.83,51.26,96.2,107.5,58.39,2.8,30.08,23.47,12-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Feb-2019 - 00:00,16.63,995.41,442.06,297.88,72.18,123.13,0.37,205.4,9.38,75.43,60.3,74.32,95.45,69.35,3.37,32.45,29.64,13-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Feb-2019 - 00:00,18.03,994.63,403.82,254.6,69.43,133.43,0.56,146.76,6.83,44.68,61.21,84.82,95.79,53.86,2.62,40.96,31.45,14-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Feb-2019 - 00:00,17.26,990.48,226.28,169.55,77.18,79.56,1.53,114.21,3.41,16.7,56.09,25.45,39.36,38.71,1.33,17.37,22.78,15-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Feb-2019 - 00:00,17.08,990.52,200.86,160.9,75.36,109.34,0.76,219.64,3.87,19.83,48.91,25.86,38.3,36.55,1.33,19.05,20.24,16-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Feb-2019 - 00:00,15.53,991.89,191.95,137.0,83.59,83.49,0.81,264.17,3.43,16.38,45.99,12.71,21.47,24.53,1.3,18.16,16.61,17-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Feb-2019 - 00:00,16.15,988.84,193.88,127.7,74.75,167.88,0.76,255.76,3.62,16.61,43.71,26.21,36.42,32.05,1.42,35.5,19.12,18-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Feb-2019 - 00:00,17.98,984.57,217.25,127.56,64.02,137.54,1.25,155.84,3.49,21.41,43.39,44.07,57.56,44.4,1.46,26.01,24.42,19-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Feb-2019 - 00:00,18.31,987.64,321.03,195.67,76.68,139.83,0.56,185.81,4.96,30.83,49.62,57.29,68.92,45.48,2.38,34.75,23.01,20-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Feb-2019 - 00:00,18.25,992.56,179.46,96.45,78.6,58.32,0.79,123.63,2.94,22.87,54.56,46.25,59.85,45.09,1.6,5.79,23.12,21-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Feb-2019 - 00:00,20.35,991.28,195.27,85.31,67.37,160.35,0.99,146.89,3.37,30.26,58.93,76.44,90.07,55.85,2.02,21.74,22.69,22-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Feb-2019 - 00:00,19.29,991.29,144.75,80.44,67.21,188.94,1.03,264.35,4.24,20.77,58.23,13.29,27.47,35.09,1.18,23.41,17.61,23-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Feb-2019 - 00:00,16.85,989.77,116.54,70.12,55.02,212.9,1.08,267.16,2.58,18.41,43.83,11.85,29.31,40.69,1.04,51.87,19.07,24-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Feb-2019 - 00:00,17.56,986.62,188.48,126.76,54.84,198.03,0.63,251.5,3.02,19.74,48.1,31.77,56.21,60.76,1.44,50.48,21.46,25-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Feb-2019 - 00:00,16.44,986.19,170.94,101.5,66.37,138.21,0.64,196.79,2.92,20.31,51.65,58.44,83.54,71.27,1.44,35.72,20.82,26-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Feb-2019 - 00:00,15.08,986.45,124.19,70.25,67.31,96.1,1.02,153.36,2.12,17.9,47.22,35.37,60.78,63.79,1.06,19.18,24.63,27-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Feb-2019 - 00:00,12.38,986.46,119.5,78.07,82.94,73.02,0.59,248.09,2.38,13.68,45.61,28.83,49.47,51.4,1.26,10.66,19.78,28-Feb-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Feb-2019 - 00:00,14.86,990.1,185.62,118.25,66.42,202.49,0.67,243.22,3.88,27.78,53.66,76.75,89.44,54.19,1.72,33.38,22.24,01-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Mar-2019 - 00:00,16.48,990.44,185.47,113.54,58.32,211.34,0.63,266.03,3.85,32.14,50.55,64.31,82.26,59.86,1.69,35.64,21.11,02-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Mar-2019 - 00:00,15.2,991.14,175.58,110.31,78.45,54.55,0.53,161.27,4.06,38.66,55.61,80.81,107.44,81.87,1.74,5.81,25.61,03-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Mar-2019 - 00:00,16.13,988.04,121.41,82.15,84.73,154.43,0.92,128.91,2.27,21.02,47.16,44.28,60.04,48.85,1.53,20.07,21.46,04-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Mar-2019 - 00:00,18.56,984.66,215.94,135.89,77.88,178.12,0.63,254.87,4.37,31.12,55.84,17.39,37.65,47.86,2.19,40.89,20.69,05-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Mar-2019 - 00:00,17.52,985.81,139.12,84.2,69.99,178.62,0.73,263.9,2.8,19.47,44.12,27.14,43.64,44.4,1.27,34.26,19.92,06-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Mar-2019 - 00:00,18.06,986.9,186.44,116.99,60.34,215.42,0.72,248.02,3.88,24.11,44.56,48.87,67.01,54.85,1.76,35.32,24.91,07-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Mar-2019 - 00:00,19.06,987.28,222.95,128.85,58.39,213.24,0.51,248.47,5.03,40.29,48.29,71.36,88.83,61.31,2.07,42.31,23.7,08-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Mar-2019 - 00:00,19.83,988.69,204.61,112.64,57.31,196.1,0.65,274.04,4.51,28.85,48.93,64.95,85.69,65.44,1.68,33.8,22.8,09-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Mar-2019 - 00:00,20.37,988.71,155.83,72.91,53.25,208.59,0.8,270.78,2.77,19.12,45.85,22.83,44.88,53.14,1.05,31.02,23.49,10-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Mar-2019 - 00:00,20.06,989.13,171.05,87.67,49.22,226.58,0.54,244.86,3.12,18.07,41.16,34.06,55.84,56.51,1.43,55.93,24.68,11-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Mar-2019 - 00:00,21.02,988.94,208.66,81.7,55.3,172.35,1.58,126.38,2.79,19.74,45.84,56.53,80.91,69.26,1.49,35.42,24.54,12-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Mar-2019 - 00:00,21.01,990.55,117.5,54.07,54.71,171.59,0.83,296.73,2.22,15.56,45.85,9.6,30.28,46.09,0.85,34.52,17.99,13-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Mar-2019 - 00:00,19.31,990.92,255.18,111.51,54.12,103.74,0.5,253.91,4.1,25.54,49.56,35.06,71.51,84.52,1.69,23.96,25.31,14-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Mar-2019 - 00:00,18.13,991.58,222.62,123.59,66.02,139.69,0.88,276.02,4.86,31.44,55.81,54.47,75.4,62.12,1.63,24.7,20.21,15-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Mar-2019 - 00:00,19.36,992.89,148.99,84.01,60.87,225.98,0.78,273.74,3.45,22.36,47.65,36.53,56.27,53.59,1.2,39.17,21.23,16-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Mar-2019 - 00:00,20.32,991.37,127.99,67.01,51.74,223.64,0.77,265.08,2.74,17.48,40.31,11.14,33.75,50.15,0.97,63.1,15.88,17-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Mar-2019 - 00:00,21.48,989.45,179.62,100.52,49.92,231.07,0.65,266.27,3.53,21.45,42.07,35.09,60.56,63.83,1.22,59.01,22.07,18-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Mar-2019 - 00:00,21.63,989.08,210.8,114.71,52.62,232.96,0.55,255.54,5.32,25.52,47.59,35.75,65.02,66.52,1.41,42.86,18.94,19-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Mar-2019 - 00:00,23.4,985.64,221.55,106.81,48.14,230.63,0.6,232.54,5.38,38.04,49.95,51.12,76.93,69.96,1.49,38.33,19.16,20-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Mar-2019 - 00:00,25.41,984.24,208.4,84.15,41.25,200.19,1.2,139.72,4.09,24.6,48.85,35.25,70.2,81.73,1.31,23.9,24.64,21-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
