from date,NO,NO2,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,Temp,WD,WS,BP,SR,RF,to date,station
01-Jan-2019 - 00:00,19.47,38.09,35.75,67.26,13.78,0.37,47.43,286.04,403.16,3.05,3.3,11.34,31.32,55.46,1.02,741.2,54.22,0.0,02-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
02-Jan-2019 - 00:00,16.5,31.05,27.34,51.44,11.63,0.12,51.11,330.05,470.36,4.23,2.14,13.96,31.47,55.35,1.75,741.38,51.49,0.0,03-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
03-Jan-2019 - 00:00,9.52,19.17,16.74,46.41,14.3,,58.62,232.74,337.0,2.92,1.95,12.31,31.26,56.2,2.02,741.42,57.72,0.0,04-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
04-Jan-2019 - 00:00,4.06,15.43,10.61,46.95,3.35,0.1,28.26,159.89,274.88,2.34,1.99,10.51,31.5,52.75,2.14,741.17,37.38,0.0,05-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
05-Jan-2019 - 00:00,4.68,20.47,14.18,36.79,8.02,0.18,40.16,195.25,291.71,3.13,1.28,12.68,31.18,54.66,2.68,741.11,53.14,0.0,06-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
06-Jan-2019 - 00:00,1.18,14.16,7.86,34.97,2.43,0.09,56.08,136.49,180.97,1.61,0.93,14.38,31.37,57.4,2.18,741.0,56.91,0.0,07-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
07-Jan-2019 - 00:00,7.53,17.43,14.04,40.16,16.87,0.1,42.82,150.72,193.02,2.12,1.12,12.11,31.4,57.64,2.11,741.21,59.39,0.0,08-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
08-Jan-2019 - 00:00,0.85,11.31,6.37,36.22,4.03,0.01,44.79,119.04,158.36,1.05,0.74,12.5,31.43,60.65,2.77,741.0,65.9,0.0,09-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
09-Jan-2019 - 00:00,0.61,9.43,5.1,33.48,5.62,0.16,57.46,122.67,182.72,1.1,0.91,12.57,31.35,61.79,3.54,741.0,71.91,0.0,10-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
10-Jan-2019 - 00:00,20.92,13.34,18.99,33.4,10.93,0.25,50.01,163.63,223.79,1.62,1.37,12.09,30.82,58.35,1.95,741.0,65.23,0.0,11-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
11-Jan-2019 - 00:00,27.81,17.3,29.38,34.6,15.99,0.16,58.83,255.08,326.92,3.01,1.42,12.55,30.8,55.51,0.88,741.15,59.69,0.0,12-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
12-Jan-2019 - 00:00,18.2,22.37,25.42,34.25,28.56,0.04,48.85,261.78,353.06,3.09,1.63,14.18,31.3,55.08,1.29,741.05,51.85,0.0,13-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
13-Jan-2019 - 00:00,5.82,12.34,8.88,33.26,12.29,0.06,59.87,226.94,288.67,2.42,1.2,15.81,31.38,55.48,2.29,741.26,53.65,0.0,14-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
14-Jan-2019 - 00:00,0.48,7.95,4.3,25.57,7.88,0.38,56.4,82.97,134.23,0.85,0.61,11.71,31.28,65.19,4.12,741.16,79.98,0.0,15-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
15-Jan-2019 - 00:00,0.97,9.56,5.49,27.98,9.1,0.13,52.47,119.09,176.79,1.18,1.94,9.66,31.23,56.76,2.9,741.03,56.99,0.0,16-Jan-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
