from date,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,AT,WS,RH,WD,BP,SR,RF,to date,station
01-Jan-2019 - 00:00,56.37,23.9,101.78,17.47,2.38,29.29,519.0,342.3,3.74,15.61,9.37,0.3,62.65,22.08,741.09,33.28,,02-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Jan-2019 - 00:00,55.05,21.93,94.72,25.21,2.53,28.93,492.84,359.69,4.44,17.98,10.9,0.32,62.08,22.1,741.18,29.74,,03-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Jan-2019 - 00:00,32.14,6.54,84.1,16.88,1.97,33.68,375.27,271.6,3.12,11.41,10.64,0.3,61.78,21.89,741.2,33.08,,04-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Jan-2019 - 00:00,31.8,9.68,76.65,6.55,1.66,15.52,295.3,210.32,2.13,7.94,7.83,0.31,69.2,21.83,741.09,28.7,,05-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Jan-2019 - 00:00,34.49,7.88,65.33,11.47,1.54,35.92,307.17,201.33,2.17,11.46,10.78,0.54,59.61,21.74,741.07,33.41,,06-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Jan-2019 - 00:00,49.23,11.99,65.71,12.31,1.81,22.37,299.91,196.99,2.75,22.04,10.74,0.34,59.36,21.05,741.0,22.08,,07-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Jan-2019 - 00:00,40.04,6.87,62.57,14.81,1.71,24.29,254.33,169.37,2.77,19.28,10.72,0.33,60.17,21.79,741.07,33.05,,08-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Jan-2019 - 00:00,34.53,4.87,61.7,11.4,1.17,26.0,204.21,135.56,1.49,15.11,10.15,0.3,63.47,21.62,741.0,32.6,,09-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Jan-2019 - 00:00,33.26,3.44,58.32,11.54,1.18,37.63,204.54,127.38,1.3,11.02,10.03,0.34,59.04,24.99,741.0,34.95,,10-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Jan-2019 - 00:00,39.77,5.34,67.62,19.0,1.45,28.43,268.25,180.95,1.85,12.22,9.45,0.31,60.76,17.15,741.0,34.73,,11-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Jan-2019 - 00:00,61.41,31.56,68.67,12.61,2.29,32.1,346.88,245.59,2.94,13.4,10.8,0.31,60.01,20.24,741.0,34.18,,12-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Jan-2019 - 00:00,62.86,31.79,70.45,18.52,1.92,28.39,356.11,245.27,2.91,9.87,11.49,0.31,58.14,23.19,741.0,30.6,,13-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Jan-2019 - 00:00,42.41,8.3,74.72,20.73,1.55,33.81,354.9,240.11,2.88,10.1,13.7,0.31,55.97,24.34,741.09,30.29,,14-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Jan-2019 - 00:00,25.88,2.33,46.48,16.07,0.91,33.62,153.66,84.55,1.18,5.59,10.07,0.34,55.29,26.76,741.0,39.4,,15-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Jan-2019 - 00:00,28.69,3.17,50.14,12.28,1.18,28.98,178.1,109.39,1.43,6.05,8.14,0.3,56.94,27.0,741.0,33.15,,16-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Jan-2019 - 00:00,40.2,21.57,66.47,15.59,1.61,30.4,339.28,231.39,2.34,6.8,9.6,0.41,60.83,25.51,741.0,34.54,,17-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Jan-2019 - 00:00,55.45,18.58,76.49,22.28,2.14,21.7,402.47,279.46,3.25,12.55,11.13,0.3,59.59,21.6,741.0,36.7,,18-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Jan-2019 - 00:00,52.37,8.82,68.22,18.88,1.7,29.64,293.07,201.76,2.08,19.18,11.46,0.3,57.1,16.8,741.0,37.64,,19-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Jan-2019 - 00:00,53.62,9.01,65.38,15.91,1.59,27.73,266.82,178.05,2.21,19.9,13.21,0.3,55.06,21.69,741.0,39.61,,20-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Jan-2019 - 00:00,68.34,16.22,75.66,18.35,1.99,30.94,373.61,241.84,3.22,27.32,15.63,0.34,53.2,26.6,741.0,38.83,,21-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Jan-2019 - 00:00,43.29,28.39,68.9,13.15,1.15,48.41,348.41,174.46,1.98,19.05,13.94,2.24,58.96,23.86,740.97,24.73,1.5,22-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Jan-2019 - 00:00,33.97,6.34,43.63,5.04,0.83,30.83,49.46,29.72,0.76,15.13,8.98,1.31,71.86,22.32,740.95,11.3,2.25,23-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Jan-2019 - 00:00,46.47,15.71,50.87,10.55,1.43,21.17,147.56,85.59,1.73,15.34,11.44,0.5,61.31,23.18,741.0,59.12,,24-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Jan-2019 - 00:00,36.02,7.83,46.31,8.06,0.96,29.19,141.15,73.66,1.13,14.93,11.64,0.59,57.04,21.44,741.15,60.99,,25-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Jan-2019 - 00:00,33.87,6.93,42.98,7.57,0.94,38.73,114.23,62.78,0.87,11.03,11.05,0.69,57.4,21.59,741.11,57.49,,26-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Jan-2019 - 00:00,37.07,7.3,45.62,11.71,1.19,32.41,168.09,104.62,1.18,11.5,9.9,0.33,58.97,25.0,741.5,64.78,,27-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Jan-2019 - 00:00,43.25,7.28,45.17,9.24,1.22,29.53,166.79,105.5,1.16,14.11,7.83,0.3,60.95,26.41,741.39,50.09,,28-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Jan-2019 - 00:00,35.39,4.48,42.3,6.68,1.15,38.41,137.01,84.3,1.01,11.64,8.56,0.35,54.7,22.83,741.26,67.05,,29-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Jan-2019 - 00:00,39.27,5.24,46.46,16.5,1.13,37.34,173.55,115.45,1.13,14.43,8.86,0.34,57.01,19.58,741.09,64.72,,30-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Jan-2019 - 00:00,50.4,10.01,54.55,16.58,1.65,26.86,226.06,148.61,1.61,13.07,9.84,0.32,56.35,22.47,741.0,48.96,,31-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
31-Jan-2019 - 00:00,44.16,9.66,71.37,15.98,1.71,28.8,300.14,214.47,1.89,16.55,11.01,0.67,58.08,25.12,741.0,36.3,,01-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Feb-2019 - 00:00,43.37,6.53,56.92,35.3,1.4,41.12,192.93,122.64,1.29,14.49,14.77,0.46,53.01,25.64,741.0,57.58,,02-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
