from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
01-Jan-2019 - 00:00,648.1,259.48,89.41,56.34,145.76,2.73,,38.34,0.0,0.07,0.0,0.02,02-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
02-Jan-2019 - 00:00,732.33,338.75,147.46,84.24,231.69,3.64,,41.55,0.46,0.02,0.0,0.01,03-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
03-Jan-2019 - 00:00,649.78,345.45,126.76,72.74,159.58,3.99,,40.7,0.85,0.0,0.0,0.01,04-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
04-Jan-2019 - 00:00,441.6,184.81,42.83,40.98,83.81,2.21,,31.37,3.07,0.0,0.0,0.01,05-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
05-Jan-2019 - 00:00,,,,,,,,,,,,,06-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
06-Jan-2019 - 00:00,,,,,,,,,,,,,07-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
07-Jan-2019 - 00:00,,,,,,,,,,,,,08-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
08-Jan-2019 - 00:00,214.48,96.79,11.37,13.9,24.01,1.87,0.0,29.04,2.23,0.0,0.01,0.0,09-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
09-Jan-2019 - 00:00,288.08,111.13,15.28,14.76,30.04,1.81,0.0,29.28,2.14,0.01,0.0,0.02,10-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
10-Jan-2019 - 00:00,357.45,128.3,51.17,34.74,81.52,2.32,0.0,28.07,3.69,0.0,0.0,0.01,11-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
11-Jan-2019 - 00:00,526.21,221.51,106.75,56.49,155.68,3.49,0.0,29.09,6.8,0.0,0.01,0.0,12-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
12-Jan-2019 - 00:00,509.56,235.03,94.92,59.17,153.96,3.66,0.0,30.51,6.1,0.0,0.0,0.01,13-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
13-Jan-2019 - 00:00,494.0,234.02,62.81,39.91,102.73,3.03,0.0,30.82,4.14,0.0,0.0,0.0,14-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
14-Jan-2019 - 00:00,195.63,81.96,14.48,15.54,30.02,1.62,0.0,31.28,1.32,0.0,0.0,0.0,15-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
15-Jan-2019 - 00:00,289.75,152.95,33.17,26.76,59.93,2.05,0.0,30.33,2.96,0.04,0.01,0.02,16-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
16-Jan-2019 - 00:00,651.35,266.53,118.82,64.84,183.66,3.72,,27.0,8.46,0.04,0.0,0.0,17-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
17-Jan-2019 - 00:00,,,,,,,,,,,,,18-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
18-Jan-2019 - 00:00,430.01,228.85,58.44,28.68,85.65,3.85,,32.44,0.68,0.02,0.0,0.01,19-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
19-Jan-2019 - 00:00,533.41,287.87,82.09,35.44,117.52,3.52,,29.59,0.7,0.08,0.0,0.0,20-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
20-Jan-2019 - 00:00,624.23,361.24,146.48,62.78,202.65,4.99,,45.23,0.0,0.07,0.0,0.0,21-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
21-Jan-2019 - 00:00,376.85,188.93,80.87,35.15,116.05,3.36,,40.09,0.0,0.07,0.0,0.0,22-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
22-Jan-2019 - 00:00,85.0,50.82,22.67,10.99,33.67,2.18,,32.82,2.26,0.01,0.0,0.0,23-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
23-Jan-2019 - 00:00,299.16,196.54,53.14,26.36,79.49,2.97,,28.67,7.33,0.03,0.0,0.0,24-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
24-Jan-2019 - 00:00,244.21,144.81,36.49,16.94,53.43,2.67,,28.15,3.45,0.04,0.0,0.0,25-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
25-Jan-2019 - 00:00,153.63,89.47,19.36,9.38,28.73,2.28,,28.44,2.27,0.0,0.0,0.01,26-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
26-Jan-2019 - 00:00,209.44,125.44,19.08,8.45,27.53,2.3,,31.36,3.15,0.0,0.01,0.0,27-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
27-Jan-2019 - 00:00,250.6,162.62,19.91,9.38,29.28,2.39,,30.49,4.49,0.0,0.0,0.01,28-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
28-Jan-2019 - 00:00,247.09,159.85,21.63,10.43,32.07,2.42,,31.92,4.95,0.0,0.0,0.0,29-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
29-Jan-2019 - 00:00,270.35,170.64,34.98,16.46,51.44,2.62,,32.28,4.35,0.0,0.0,0.0,30-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
30-Jan-2019 - 00:00,410.26,223.54,58.54,29.9,88.44,3.09,,32.53,4.99,0.01,0.0,0.0,31-Jan-2019 - 00:00,"North Campus, DU, Delhi - IMD"
31-Jan-2019 - 00:00,417.8,278.69,80.27,38.14,118.42,3.44,,34.67,7.63,0.0,0.0,0.0,01-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
01-Feb-2019 - 00:00,380.6,256.45,37.91,20.36,58.27,2.32,,34.95,9.2,0.0,0.0,0.0,02-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
02-Feb-2019 - 00:00,350.93,205.0,25.35,13.4,38.75,2.21,,31.27,6.95,0.0,0.0,0.0,03-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
03-Feb-2019 - 00:00,276.4,143.15,34.89,16.34,51.23,2.3,,31.64,5.23,0.0,0.0,0.0,04-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
04-Feb-2019 - 00:00,345.37,193.11,59.22,27.36,86.59,2.89,,35.0,8.84,0.0,0.0,0.0,05-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
05-Feb-2019 - 00:00,565.62,409.56,137.62,62.14,199.74,4.16,,41.48,8.93,0.0,0.0,0.02,06-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
06-Feb-2019 - 00:00,346.9,227.29,60.69,29.66,90.36,2.63,,39.19,8.8,0.0,0.0,0.0,07-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
07-Feb-2019 - 00:00,125.79,74.48,19.51,11.08,30.59,2.0,,35.57,3.94,0.04,12.65,18.56,08-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
08-Feb-2019 - 00:00,159.31,75.3,30.77,14.42,45.19,2.28,,36.64,4.98,0.2,8.77,19.08,09-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
09-Feb-2019 - 00:00,191.27,104.91,26.21,12.05,38.27,2.48,,34.19,10.76,0.01,1.32,2.24,10-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
10-Feb-2019 - 00:00,287.32,166.78,42.45,18.12,60.57,2.86,,37.12,,0.28,5.24,12.7,11-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
11-Feb-2019 - 00:00,347.97,207.56,63.78,26.19,89.97,3.3,,41.33,,0.18,3.5,16.2,12-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
12-Feb-2019 - 00:00,442.11,265.09,58.05,25.6,83.65,3.66,,41.16,,0.27,4.87,15.64,13-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
13-Feb-2019 - 00:00,399.08,247.97,50.32,21.04,71.35,3.68,,41.86,,0.55,3.93,19.13,14-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
14-Feb-2019 - 00:00,289.2,193.67,28.83,11.93,40.77,3.29,,36.46,8.83,0.41,0.8,8.69,15-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
15-Feb-2019 - 00:00,266.46,192.41,30.52,14.2,44.72,3.11,2.2,31.86,0.02,0.32,0.14,2.8,16-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
16-Feb-2019 - 00:00,217.03,118.95,26.95,10.47,37.43,2.79,0.0,38.21,,0.29,0.26,3.57,17-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
17-Feb-2019 - 00:00,192.82,108.71,30.57,9.68,40.25,2.88,,28.3,,0.63,0.07,5.01,18-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
18-Feb-2019 - 00:00,,,,,,,,,,,,,19-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
19-Feb-2019 - 00:00,384.22,215.31,25.43,4.26,29.57,3.82,,40.67,,0.17,0.3,4.59,20-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
20-Feb-2019 - 00:00,222.41,123.24,25.61,6.15,31.75,2.56,0.0,28.81,6.87,0.26,0.11,2.79,21-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
21-Feb-2019 - 00:00,251.67,104.56,23.94,7.69,31.62,1.53,6.84,37.81,6.81,0.25,2.13,6.24,22-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
22-Feb-2019 - 00:00,170.06,85.76,18.09,4.98,23.07,1.87,6.62,22.88,3.92,0.08,1.32,5.87,23-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
23-Feb-2019 - 00:00,114.61,66.36,20.66,5.84,26.5,3.01,,25.83,2.92,0.09,0.01,1.11,24-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
24-Feb-2019 - 00:00,170.89,99.36,21.79,6.42,28.2,0.65,,22.17,4.5,0.0,0.0,0.0,25-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
25-Feb-2019 - 00:00,198.52,113.65,21.94,7.72,29.66,0.68,,34.15,5.63,0.0,0.0,0.0,26-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
