from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,O Xylene,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,BP,station
01-Jan-2019 - 00:00,15.11,4.78,8.11,17.11,3.69,200.97,256.54,0.0,67.14,164.56,16.89,-0.09,290.39,0.57,1.14,100.9,57.5,95.38,152.89,33.96,8.94,02-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
02-Jan-2019 - 00:00,15.02,7.66,10.25,17.17,5.91,179.87,251.05,0.0,65.1,163.27,17.62,-0.07,271.05,0.44,0.8,89.26,41.77,84.85,126.61,32.7,13.87,03-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
03-Jan-2019 - 00:00,20.55,8.6,12.88,29.34,6.39,238.57,313.1,0.0,69.09,150.14,17.41,-0.05,261.47,0.33,1.27,114.35,72.01,134.58,191.12,36.97,16.68,04-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
04-Jan-2019 - 00:00,25.27,11.31,15.61,29.29,7.42,257.73,365.4,0.0,64.42,152.43,17.35,-0.06,225.91,0.37,1.5,111.67,73.29,159.92,216.36,33.0,11.88,05-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
05-Jan-2019 - 00:00,20.72,10.15,12.99,21.48,5.84,236.68,315.63,0.0,66.83,167.03,17.37,-0.1,269.17,0.57,1.6,55.14,60.11,147.77,179.17,27.72,10.15,06-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
06-Jan-2019 - 00:00,14.45,4.67,8.69,14.32,4.07,159.6,224.54,0.0,66.65,181.32,18.16,-0.08,291.4,0.51,1.14,55.03,46.36,117.09,163.46,29.73,9.02,07-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
07-Jan-2019 - 00:00,21.07,10.73,14.7,19.0,8.11,176.56,252.63,0.0,66.28,180.3,18.54,-0.07,289.75,0.52,1.09,52.19,48.5,87.87,136.36,28.55,11.95,08-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
08-Jan-2019 - 00:00,15.93,8.69,11.58,25.35,5.8,166.41,230.14,0.0,66.63,156.48,18.27,-0.09,287.36,0.59,0.73,63.48,27.94,31.42,59.36,32.22,9.24,09-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
09-Jan-2019 - 00:00,16.85,8.65,11.29,22.34,5.68,184.15,245.9,0.0,69.65,145.78,18.19,-0.05,261.59,0.39,0.93,61.71,24.75,35.77,60.51,33.21,12.2,10-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
10-Jan-2019 - 00:00,19.04,9.64,12.43,23.14,5.67,216.98,306.28,0.0,68.54,147.86,18.01,-0.07,229.95,0.45,1.43,60.56,34.33,44.45,78.78,39.67,17.94,11-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
