from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,14.0,996.63,426.83,312.83,63.06,81.23,235.18,0.57,0.64,1.69,86.37,92.64,121.07,28.42,2.54,9.25,4.41,02-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
02-Jan-2019 - 00:00,15.02,996.88,427.99,329.85,70.16,74.39,182.48,0.49,0.64,1.99,97.35,81.56,108.87,27.2,2.48,13.78,4.28,03-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
03-Jan-2019 - 00:00,14.97,997.75,489.77,378.11,68.53,81.36,284.64,0.86,0.74,2.25,96.76,97.04,128.37,31.26,2.63,8.87,3.86,04-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
04-Jan-2019 - 00:00,13.21,996.76,381.2,243.21,72.71,57.16,231.37,0.77,0.46,1.19,79.81,29.24,53.72,24.48,1.62,5.34,2.81,05-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
05-Jan-2019 - 00:00,14.98,995.28,355.91,231.34,63.16,76.37,135.37,1.25,0.42,1.15,76.39,21.75,43.4,21.72,1.39,8.98,3.29,06-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
06-Jan-2019 - 00:00,14.76,994.72,223.9,166.76,72.5,60.85,141.51,1.31,0.33,0.93,81.45,13.95,34.0,20.05,1.15,12.42,3.06,07-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
07-Jan-2019 - 00:00,14.77,996.34,244.96,178.47,72.24,79.83,285.84,0.83,0.36,1.16,87.65,30.85,52.46,21.61,1.22,9.15,3.66,08-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
08-Jan-2019 - 00:00,14.65,994.44,205.24,147.21,67.43,87.67,298.01,0.84,0.3,0.76,74.9,25.71,47.35,21.66,0.98,8.7,3.57,09-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
09-Jan-2019 - 00:00,14.99,993.73,198.1,125.98,57.2,91.79,302.96,0.99,0.3,0.83,62.48,21.06,46.04,26.18,1.13,12.23,3.05,10-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
10-Jan-2019 - 00:00,14.19,993.54,249.96,171.1,61.4,85.36,272.6,0.89,0.42,1.13,71.82,39.84,59.16,34.45,1.8,18.4,5.3,11-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
11-Jan-2019 - 00:00,14.3,995.1,340.0,251.35,64.8,82.53,121.74,0.69,0.51,1.33,90.41,20.81,50.25,29.63,1.64,19.34,7.45,12-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
12-Jan-2019 - 00:00,17.09,994.23,339.26,230.9,55.65,73.26,172.93,0.51,0.56,1.23,115.38,91.02,135.93,45.01,2.72,24.15,5.46,13-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
13-Jan-2019 - 00:00,16.78,996.7,361.45,275.25,61.76,70.61,215.69,0.89,0.53,1.38,108.43,80.53,120.0,39.4,2.08,19.49,5.05,14-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
14-Jan-2019 - 00:00,14.59,996.39,148.89,82.03,46.71,96.5,309.66,1.24,0.66,0.98,55.79,13.29,44.85,31.56,0.71,10.2,4.5,15-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
15-Jan-2019 - 00:00,12.9,995.4,245.34,131.1,52.42,74.53,283.32,1.12,0.67,1.34,55.69,29.71,64.15,34.46,1.06,10.51,4.44,16-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
16-Jan-2019 - 00:00,13.05,995.51,448.22,267.68,65.89,67.26,160.65,0.54,1.24,2.63,76.24,92.95,132.32,39.4,2.17,14.8,8.39,17-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
17-Jan-2019 - 00:00,14.39,994.31,536.58,341.51,62.71,74.32,210.18,0.73,1.31,3.12,89.19,74.7,112.5,37.78,2.15,26.54,5.97,18-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
18-Jan-2019 - 00:00,14.24,994.62,387.45,241.11,64.79,89.53,283.18,0.75,1.02,2.43,75.67,63.63,101.39,37.6,1.75,18.88,4.25,19-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
19-Jan-2019 - 00:00,15.82,994.48,491.27,293.66,61.33,91.67,246.96,0.55,1.48,3.22,76.91,135.12,152.15,40.06,3.03,15.33,6.55,20-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
20-Jan-2019 - 00:00,18.2,993.52,549.78,307.93,65.27,87.95,207.06,0.47,1.66,4.59,91.89,211.48,215.34,51.2,3.9,48.68,9.15,21-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
21-Jan-2019 - 00:00,17.33,990.93,269.56,146.8,69.16,36.87,134.9,2.17,0.65,1.38,77.5,27.19,53.96,27.36,1.07,16.61,3.58,22-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
22-Jan-2019 - 00:00,15.21,991.62,63.94,45.65,84.75,54.28,108.49,1.85,0.23,0.65,41.07,3.17,23.65,20.42,0.51,16.55,2.86,23-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
23-Jan-2019 - 00:00,14.83,994.86,213.23,131.96,80.65,100.08,158.98,0.82,0.86,1.99,53.61,41.9,67.51,25.58,1.28,18.17,4.38,24-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
24-Jan-2019 - 00:00,16.04,996.97,203.54,117.27,69.39,77.48,114.85,1.4,0.55,1.28,54.51,17.71,40.24,22.53,0.79,18.18,4.75,25-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
25-Jan-2019 - 00:00,14.98,997.09,111.86,69.67,67.21,114.0,209.15,1.26,0.32,0.86,40.58,4.41,24.33,19.92,0.5,24.66,3.62,26-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
26-Jan-2019 - 00:00,14.05,999.57,148.95,88.03,54.89,124.2,272.38,1.06,0.32,0.69,43.69,3.31,23.38,20.33,0.47,26.2,4.92,27-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
27-Jan-2019 - 00:00,12.79,999.57,178.84,111.73,55.08,89.73,318.37,1.0,0.35,0.69,46.65,9.02,33.92,24.93,0.66,17.37,4.02,28-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
28-Jan-2019 - 00:00,13.51,999.23,171.54,103.98,48.13,123.86,313.42,1.11,0.36,0.74,43.91,13.12,39.26,26.14,0.66,19.48,4.56,29-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
29-Jan-2019 - 00:00,14.23,997.73,202.85,125.26,49.12,121.71,301.0,1.03,0.52,1.26,50.78,27.2,55.41,28.21,0.94,19.59,5.11,30-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
30-Jan-2019 - 00:00,14.35,996.48,337.1,200.85,52.94,93.71,221.09,0.78,0.97,2.06,62.28,66.44,98.56,33.53,1.62,19.51,5.65,31-Jan-2019 - 00:00,"Patparganj, Delhi - DPCC"
31-Jan-2019 - 00:00,15.91,995.46,357.15,197.93,53.54,87.26,131.62,1.21,0.8,2.12,70.01,56.72,86.02,29.31,1.35,19.56,5.79,01-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
01-Feb-2019 - 00:00,16.28,995.92,244.57,168.24,65.01,88.01,210.42,1.09,0.5,1.14,73.79,8.27,33.39,25.21,0.87,19.7,3.79,02-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
02-Feb-2019 - 00:00,13.3,996.08,280.4,197.23,80.93,81.43,304.26,1.19,0.61,1.14,66.5,9.13,32.08,22.96,0.91,12.36,1.98,03-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
03-Feb-2019 - 00:00,14.27,997.12,205.71,134.04,81.1,101.12,276.34,0.95,0.45,0.88,53.05,12.04,33.88,21.85,0.8,14.39,2.42,04-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
04-Feb-2019 - 00:00,15.25,997.67,247.29,142.0,72.88,120.96,226.91,0.69,0.74,1.51,51.66,56.11,85.62,29.52,1.56,20.29,2.93,05-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
05-Feb-2019 - 00:00,17.29,995.12,404.51,226.56,70.02,92.81,160.49,0.58,1.17,3.35,73.43,138.58,175.4,36.32,2.51,23.11,5.5,06-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
06-Feb-2019 - 00:00,19.03,990.11,232.91,148.83,75.47,96.14,147.39,1.09,0.55,1.19,70.54,13.75,36.77,22.99,1.0,17.68,3.44,07-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
07-Feb-2019 - 00:00,16.78,988.28,83.95,52.25,83.55,17.18,146.8,1.83,0.23,0.57,43.45,3.15,19.77,16.63,0.49,17.5,2.22,08-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
08-Feb-2019 - 00:00,15.33,993.92,141.75,68.27,62.89,124.59,243.44,0.98,0.33,0.86,36.65,17.7,38.91,21.29,0.6,18.79,3.08,09-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
09-Feb-2019 - 00:00,15.14,996.11,148.57,70.72,57.35,136.89,304.03,1.11,0.39,0.96,35.89,12.39,34.04,21.64,0.64,22.39,3.4,10-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
10-Feb-2019 - 00:00,15.29,997.59,216.89,126.06,59.49,103.29,287.78,0.82,0.48,1.18,46.63,30.54,57.54,26.66,0.89,17.29,4.37,11-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
11-Feb-2019 - 00:00,16.0,998.2,246.31,146.93,60.91,110.9,172.62,3.34,0.72,1.88,55.69,51.07,79.78,29.84,1.25,22.42,5.03,12-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
12-Feb-2019 - 00:00,17.7,998.38,316.04,197.26,62.49,85.77,135.29,7.45,0.87,2.39,67.03,64.5,89.01,32.74,1.53,29.44,6.73,13-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
13-Feb-2019 - 00:00,18.83,997.48,311.68,189.12,62.8,94.26,135.29,7.44,0.67,1.52,68.55,45.37,77.99,33.59,1.39,31.5,6.64,14-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
14-Feb-2019 - 00:00,17.79,993.13,211.97,135.55,73.53,60.51,131.47,4.68,0.46,1.05,66.48,13.87,36.91,23.04,0.85,21.2,3.4,15-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
15-Feb-2019 - 00:00,17.44,993.27,169.55,108.31,73.6,81.18,187.19,0.81,0.39,1.19,51.23,10.31,31.48,21.17,0.79,23.77,5.74,16-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
16-Feb-2019 - 00:00,16.1,994.74,157.51,105.61,79.76,59.89,289.42,0.89,0.39,0.95,56.53,10.26,24.98,18.26,0.67,11.57,2.24,17-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
17-Feb-2019 - 00:00,16.86,991.69,147.78,92.71,69.54,131.3,281.42,0.89,0.41,0.92,55.78,15.34,29.49,21.59,0.75,17.73,0.6,18-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
18-Feb-2019 - 00:00,18.83,987.21,172.42,98.72,56.55,99.84,149.0,1.03,0.38,0.85,56.61,23.82,35.14,24.21,0.32,18.19,2.02,19-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
19-Feb-2019 - 00:00,18.9,990.32,206.15,107.71,72.09,100.67,143.37,0.6,0.51,1.38,69.38,23.52,34.83,24.19,0.56,26.14,1.41,20-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
20-Feb-2019 - 00:00,18.92,995.19,152.86,79.93,72.56,34.34,103.65,1.37,0.47,1.16,66.13,9.92,30.17,22.81,0.2,7.82,1.74,21-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
21-Feb-2019 - 00:00,21.34,993.96,159.7,63.24,60.6,126.47,123.76,1.16,0.46,1.54,66.59,31.7,39.54,19.99,0.81,19.11,2.11,22-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
22-Feb-2019 - 00:00,19.8,994.3,127.93,63.12,63.88,142.14,312.71,1.01,0.33,0.91,63.1,33.02,34.45,17.74,0.75,16.68,1.4,23-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
23-Feb-2019 - 00:00,17.58,992.71,95.8,45.28,50.33,173.41,311.56,1.06,0.21,0.56,39.08,4.97,20.26,20.28,0.56,23.81,2.24,24-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
24-Feb-2019 - 00:00,18.46,989.49,125.46,69.09,47.47,159.84,269.43,0.89,0.31,0.75,45.47,11.75,27.78,22.95,0.76,26.18,3.25,25-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
25-Feb-2019 - 00:00,17.52,988.88,157.15,101.93,57.06,110.96,125.08,1.08,0.38,0.86,53.69,11.89,34.06,24.69,0.84,19.48,4.95,26-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
26-Feb-2019 - 00:00,15.92,989.01,97.32,55.42,60.82,74.93,123.43,1.21,0.26,0.76,50.54,3.84,21.17,17.34,0.68,15.07,3.82,27-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
27-Feb-2019 - 00:00,13.94,989.4,85.4,49.71,71.1,53.99,36.06,1.5,0.27,0.57,42.51,1.82,15.12,13.11,0.54,14.19,2.81,28-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
28-Feb-2019 - 00:00,15.85,992.89,158.96,92.47,59.06,153.88,254.14,0.92,0.56,1.1,50.23,38.15,52.78,17.08,0.97,17.38,2.41,01-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
01-Mar-2019 - 00:00,17.62,993.28,150.9,79.67,50.31,172.68,241.16,0.92,0.41,1.1,49.46,19.82,38.66,19.28,0.83,18.09,2.97,02-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
02-Mar-2019 - 00:00,16.03,993.64,146.08,89.19,69.19,30.88,162.66,0.97,0.46,1.39,62.2,23.19,48.07,24.95,1.03,7.67,4.77,03-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
03-Mar-2019 - 00:00,17.04,990.41,84.0,55.24,78.4,112.88,144.07,0.8,0.28,0.79,50.26,9.43,22.39,12.96,0.84,14.57,2.33,04-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
