from date,NO2,NO,NOx,NH3,SO2,CO,Benzene,Eth-Benzene,MP-Xylene,Toluene,RH,WS,WD,SR,RF,PM2.5,PM10,Ozone,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
08-Jan-2019 - 00:00,23.65,8.43,31.02,0.0,338.04,0.89,0.0,0.0,0.0,0.01,57.07,2.22,311.98,528.21,0.0,66.64,168.0,0.0,09-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
09-Jan-2019 - 00:00,17.94,2.92,28.46,,,0.93,,0.0,0.0,0.01,71.24,1.61,284.33,,0.0,58.62,143.26,0.0,10-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
10-Jan-2019 - 00:00,24.76,7.5,34.58,,,0.98,,0.0,0.0,0.01,73.05,1.37,302.59,241.11,0.0,116.81,249.57,0.0,11-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
14-Jan-2019 - 00:00,16.27,2.85,25.48,,,0.59,,0.0,0.0,0.01,55.83,2.6,299.71,304.45,0.0,31.22,108.66,0.9,15-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
15-Jan-2019 - 00:00,19.16,4.26,28.85,,5.01,0.88,,0.0,0.0,0.01,70.73,1.72,279.14,243.07,0.0,67.08,158.54,0.85,16-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
16-Jan-2019 - 00:00,42.35,23.42,43.81,,5.91,1.45,,0.0,0.0,0.01,74.26,1.35,163.04,254.77,0.0,103.92,258.04,0.96,17-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
17-Jan-2019 - 00:00,42.7,26.0,40.07,1.96,14.73,1.38,,0.0,0.0,0.01,77.55,1.13,231.49,328.17,0.0,110.01,248.07,11.32,18-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
18-Jan-2019 - 00:00,22.73,6.52,32.2,,6.38,1.06,,0.0,0.0,,,1.44,279.51,,0.0,85.56,196.5,0.8,19-Jan-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
