from date,Benzene,MP-Xylene,O Xylene,Toluene,CO,NO2,NO,NOx,NH3,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
01-Jan-2019 - 00:00,24.32,23.74,11.74,144.69,1.75,87.8,33.86,67.03,11.28,23.94,254.45,93.0,159.99,22.25,201.24,0.68,27.69,02-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Jan-2019 - 00:00,23.92,24.38,10.54,149.2,1.74,95.09,47.79,78.84,12.72,30.56,246.16,87.65,160.97,22.83,193.57,0.69,28.15,03-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Jan-2019 - 00:00,30.97,30.26,16.13,193.47,1.95,114.21,40.07,83.82,14.58,24.41,355.93,103.34,144.65,22.67,184.08,0.73,28.32,04-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Jan-2019 - 00:00,24.85,31.03,26.48,140.97,1.83,105.84,37.56,78.18,15.57,19.57,271.16,103.18,149.21,22.62,190.97,0.64,26.28,05-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Jan-2019 - 00:00,24.03,27.1,17.87,141.5,1.66,111.33,31.37,77.38,16.33,24.71,334.56,94.85,138.1,22.63,196.75,0.74,24.34,06-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Jan-2019 - 00:00,22.9,23.13,13.54,126.38,1.52,92.57,16.87,59.5,15.07,17.15,245.48,85.25,163.22,22.52,188.9,0.65,40.48,07-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Jan-2019 - 00:00,15.52,16.02,10.48,113.27,1.07,73.19,13.81,48.61,12.18,19.91,176.06,60.0,160.09,23.89,131.24,0.83,44.87,08-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Jan-2019 - 00:00,18.88,16.45,10.35,110.14,1.06,79.37,9.56,48.23,11.98,23.6,188.88,68.82,166.32,23.22,182.7,0.76,40.31,09-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Jan-2019 - 00:00,13.97,12.59,7.63,44.61,1.14,75.36,10.74,46.14,11.91,53.78,212.4,64.76,150.85,26.94,228.86,0.93,32.59,10-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Jan-2019 - 00:00,21.52,22.42,11.86,131.69,1.64,113.09,20.97,72.08,14.58,26.86,274.95,94.13,136.56,22.77,193.35,0.74,22.21,11-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Jan-2019 - 00:00,21.75,24.41,14.67,131.9,1.88,129.72,17.3,77.9,17.6,21.52,259.4,91.91,143.47,21.76,181.68,0.61,19.05,12-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Jan-2019 - 00:00,22.19,24.07,17.05,88.87,1.78,158.91,17.13,93.41,24.29,23.82,292.94,104.4,127.54,21.81,193.46,0.75,20.05,13-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Jan-2019 - 00:00,19.36,21.01,10.98,131.02,1.44,129.63,13.33,76.66,22.73,26.49,219.44,81.83,143.1,22.25,201.97,0.71,22.43,14-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Jan-2019 - 00:00,17.76,23.85,14.44,120.52,1.37,132.9,21.0,85.61,20.92,16.99,221.78,76.78,133.92,24.3,146.07,0.73,33.55,15-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Jan-2019 - 00:00,14.9,17.63,10.86,106.53,1.16,79.31,13.3,51.95,14.61,22.25,184.66,68.84,131.82,26.13,156.1,0.83,47.18,16-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Jan-2019 - 00:00,19.04,25.24,15.66,146.61,1.42,97.97,17.49,62.27,16.69,13.07,207.28,73.97,37.99,22.82,204.16,0.66,15.17,17-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Jan-2019 - 00:00,18.81,22.82,13.09,125.19,1.46,96.07,9.1,55.98,16.11,21.07,224.62,77.99,139.9,25.12,204.23,0.67,21.51,18-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Jan-2019 - 00:00,20.49,24.14,16.95,126.96,1.49,91.46,11.76,55.39,15.79,23.48,228.92,83.35,129.49,25.05,177.04,0.74,25.78,19-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Jan-2019 - 00:00,23.96,29.63,18.53,171.56,1.71,110.58,15.9,69.75,17.46,18.36,260.72,136.61,131.7,25.07,174.07,0.8,31.37,20-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Jan-2019 - 00:00,24.31,24.86,17.85,119.63,1.53,83.33,8.58,49.96,17.01,33.67,249.58,102.56,119.64,25.64,202.74,0.78,27.38,21-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Jan-2019 - 00:00,14.88,19.4,10.11,84.75,1.2,69.59,6.85,40.54,15.81,22.48,191.32,83.54,132.52,23.7,204.27,0.89,20.18,22-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Jan-2019 - 00:00,15.03,15.98,11.13,111.89,1.11,71.26,7.6,41.46,14.69,12.06,162.04,56.56,122.24,22.78,194.6,0.8,22.52,23-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Jan-2019 - 00:00,12.72,13.38,8.18,81.88,0.72,47.45,3.64,27.5,13.11,13.22,108.05,38.46,123.39,22.63,205.32,1.01,13.42,24-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Jan-2019 - 00:00,10.15,9.35,6.44,39.8,0.72,51.75,3.46,29.32,11.39,25.98,138.53,51.21,173.23,21.54,204.72,0.88,23.17,25-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Jan-2019 - 00:00,10.6,6.89,4.7,36.18,0.67,37.29,1.01,19.92,10.01,30.81,145.15,49.53,138.88,22.21,198.12,0.75,35.23,26-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Jan-2019 - 00:00,7.18,5.36,3.48,30.14,0.57,31.16,0.51,16.31,9.14,34.56,129.76,46.68,156.48,22.57,124.84,0.73,39.73,27-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Jan-2019 - 00:00,10.12,7.16,5.06,41.86,0.85,41.59,2.3,23.97,11.3,19.15,119.44,39.89,173.0,21.25,64.5,1.06,49.37,28-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Jan-2019 - 00:00,8.5,10.51,6.46,50.91,0.82,50.5,2.94,29.18,8.2,29.03,167.88,49.57,190.6,26.73,110.29,0.82,74.98,29-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Jan-2019 - 00:00,9.6,10.97,6.37,65.66,0.81,55.84,5.32,33.51,10.11,22.93,164.54,54.84,165.96,23.87,131.23,1.07,63.32,30-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Jan-2019 - 00:00,13.86,13.79,8.82,81.17,1.06,62.97,6.81,37.37,11.43,27.12,179.9,62.3,153.3,23.35,184.43,0.87,26.43,31-Jan-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
31-Jan-2019 - 00:00,16.71,16.59,10.85,135.71,1.16,73.77,9.84,45.51,11.67,19.38,176.42,68.75,156.45,23.19,178.55,0.83,22.57,01-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Feb-2019 - 00:00,19.25,12.91,8.82,93.19,1.01,56.62,4.21,32.53,12.07,28.98,157.61,56.02,157.54,23.98,199.06,0.78,22.32,02-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Feb-2019 - 00:00,15.29,12.51,8.52,67.31,0.96,57.18,3.04,32.28,12.34,31.43,159.34,67.51,137.02,24.56,170.22,0.88,28.93,03-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Feb-2019 - 00:00,20.94,18.61,11.34,81.49,1.39,68.81,3.96,39.58,14.91,25.81,225.43,95.72,120.81,24.86,178.45,0.79,30.31,04-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Feb-2019 - 00:00,30.84,19.86,11.5,148.14,1.38,67.73,4.28,38.6,13.89,13.76,214.68,97.95,154.92,26.49,186.18,0.9,37.39,05-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Feb-2019 - 00:00,20.92,19.7,12.42,92.94,1.8,65.38,8.94,39.7,15.45,19.19,187.51,79.09,99.06,25.74,193.12,0.86,29.13,06-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Feb-2019 - 00:00,16.83,15.69,11.84,63.75,1.22,45.59,2.18,25.61,13.05,21.2,187.75,76.75,89.39,24.36,219.49,1.19,15.16,07-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Feb-2019 - 00:00,12.66,13.45,7.27,42.38,1.01,52.6,6.16,31.27,12.56,12.07,141.35,48.36,155.11,21.67,206.66,1.33,16.6,08-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Feb-2019 - 00:00,9.87,10.93,6.8,32.73,0.79,34.6,0.92,18.47,10.76,21.45,148.4,57.5,163.53,19.96,200.28,0.99,8.45,09-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Feb-2019 - 00:00,10.22,14.35,8.55,54.14,1.06,78.62,6.24,48.9,15.26,21.74,157.8,68.55,172.03,20.73,122.29,1.0,24.02,10-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Feb-2019 - 00:00,17.0,23.69,13.05,97.66,1.72,111.26,8.9,65.42,16.57,30.1,210.8,98.81,164.09,22.84,185.15,0.86,28.06,11-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Feb-2019 - 00:00,23.52,27.53,15.22,151.71,1.91,135.52,18.54,83.23,19.47,31.9,252.63,133.59,149.27,24.83,196.67,0.87,31.51,12-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Feb-2019 - 00:00,29.79,39.03,15.58,210.49,2.15,163.55,62.51,123.34,24.22,20.85,233.91,112.75,126.36,26.44,181.47,0.88,31.93,13-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Feb-2019 - 00:00,26.62,38.44,20.08,154.75,1.96,150.04,38.1,101.86,24.02,21.23,229.32,88.83,134.87,26.92,206.66,1.09,34.22,14-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Feb-2019 - 00:00,11.94,16.88,9.98,59.22,0.99,82.2,7.62,48.05,17.94,15.09,125.58,65.52,140.86,26.46,209.03,1.08,26.21,15-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Feb-2019 - 00:00,19.12,19.03,9.53,109.78,1.31,99.31,8.58,57.21,21.62,24.22,142.81,70.87,154.28,24.58,196.5,0.94,18.25,16-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Feb-2019 - 00:00,10.63,12.56,6.56,45.29,0.76,62.56,3.92,37.25,13.64,35.04,150.18,73.39,180.52,26.77,189.35,0.76,41.27,17-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Feb-2019 - 00:00,15.62,18.29,9.2,129.46,,85.77,2.86,47.52,16.23,39.39,187.65,77.23,143.61,23.56,194.4,0.86,32.12,18-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Feb-2019 - 00:00,18.06,23.98,12.2,140.34,1.13,93.93,3.72,53.1,16.3,32.93,188.52,70.51,142.52,24.53,181.48,0.83,29.03,19-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Feb-2019 - 00:00,17.32,21.55,12.09,123.62,1.59,99.02,12.49,60.04,14.52,24.13,193.32,78.86,149.95,25.87,171.29,0.76,28.32,20-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Feb-2019 - 00:00,24.24,27.09,16.14,164.8,2.03,92.96,9.62,54.43,14.43,25.92,272.97,108.54,232.89,25.8,208.43,0.93,34.02,21-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Feb-2019 - 00:00,17.27,19.59,13.29,106.48,1.37,64.42,15.02,43.71,14.66,11.55,156.17,59.85,239.09,26.03,204.42,0.9,25.27,22-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Feb-2019 - 00:00,19.14,21.02,16.86,138.06,1.08,59.56,18.67,42.42,10.41,3.41,107.26,42.4,12.58,22.19,188.21,0.76,10.41,23-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Feb-2019 - 00:00,14.35,12.92,6.6,38.12,0.78,42.29,3.38,25.55,5.11,31.72,168.59,54.83,313.8,32.18,221.55,1.1,41.2,24-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Feb-2019 - 00:00,18.75,18.11,9.54,63.5,1.01,47.52,4.33,28.92,3.11,26.78,186.06,61.65,279.32,27.5,204.37,1.0,33.14,25-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Feb-2019 - 00:00,16.51,19.87,9.34,103.09,1.2,65.94,4.32,38.36,1.95,26.21,154.36,58.62,275.94,26.45,190.79,0.74,37.65,26-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Feb-2019 - 00:00,12.24,13.9,7.54,47.7,0.83,42.47,2.87,24.43,4.68,19.42,179.2,47.76,273.84,26.17,214.62,1.03,14.43,27-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Feb-2019 - 00:00,13.3,12.49,6.69,55.7,0.84,38.64,3.55,22.82,4.24,12.99,103.35,37.17,279.72,24.2,215.6,1.03,1.86,28-Feb-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Feb-2019 - 00:00,15.39,12.03,9.48,97.38,1.15,46.07,8.19,29.46,3.11,18.4,137.28,53.02,273.56,24.42,176.94,0.79,2.83,01-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Mar-2019 - 00:00,16.33,20.28,8.29,97.59,1.44,62.18,8.45,38.04,5.67,35.07,199.11,73.52,264.02,24.77,194.39,0.83,13.92,02-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Mar-2019 - 00:00,22.68,19.0,13.04,102.89,2.27,72.65,14.89,47.74,9.23,23.68,238.1,93.42,234.11,25.02,182.31,0.93,31.52,03-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Mar-2019 - 00:00,7.02,8.69,5.19,64.31,,42.11,7.09,26.69,19.92,4.9,94.31,32.12,242.02,24.52,198.79,0.94,22.41,04-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Mar-2019 - 00:00,7.44,10.97,4.94,42.5,0.59,34.11,12.81,25.74,9.18,3.3,94.33,31.87,244.92,24.99,215.46,1.15,15.62,05-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Mar-2019 - 00:00,13.3,12.61,6.58,45.63,1.02,38.6,7.9,25.05,4.82,10.16,137.26,81.89,231.39,24.8,205.55,0.82,16.74,06-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Mar-2019 - 00:00,16.07,15.18,8.31,87.78,1.08,36.43,8.12,24.01,5.28,13.59,106.55,44.31,253.82,24.45,218.83,0.85,20.84,07-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Mar-2019 - 00:00,9.39,11.82,6.51,29.52,0.88,27.3,2.62,15.89,4.99,18.84,100.35,40.65,252.77,24.94,193.7,0.79,25.93,08-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Mar-2019 - 00:00,12.72,15.6,7.47,100.21,1.14,38.9,5.07,24.05,4.06,24.42,120.63,52.55,244.59,26.59,201.67,0.93,27.01,09-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Mar-2019 - 00:00,15.44,18.89,9.02,72.61,1.41,53.87,13.8,37.15,4.2,27.18,163.68,57.89,246.63,27.09,186.96,0.76,36.09,10-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Mar-2019 - 00:00,14.13,19.12,6.68,111.64,1.37,50.49,10.04,32.66,5.31,22.71,169.48,61.22,242.56,27.14,188.01,0.92,32.3,11-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Mar-2019 - 00:00,12.89,16.38,12.54,108.23,1.31,40.46,6.13,25.07,4.3,9.63,131.18,50.89,252.75,26.21,197.7,0.78,25.01,12-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Mar-2019 - 00:00,7.21,14.09,6.42,64.54,0.82,29.18,3.05,17.02,5.97,17.83,101.43,40.13,225.05,26.65,202.27,0.95,37.11,13-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Mar-2019 - 00:00,8.51,14.98,10.64,69.52,0.81,27.03,2.45,15.58,6.64,26.34,106.08,39.6,225.42,25.98,202.72,0.92,28.47,14-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Mar-2019 - 00:00,9.4,14.83,8.12,51.56,0.89,34.04,2.91,19.83,4.16,20.17,108.22,43.7,242.22,26.21,170.46,0.7,35.28,15-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
