from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Temp,SR,RH,WD,WS,to date,station
01-Jan-2019 - 00:00,77.01,211.25,5.82,14.19,11.07,24.92,41.15,0.01,7.48,2.58,3.46,11.81,136.92,84.13,179.3,0.27,02-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
02-Jan-2019 - 00:00,81.57,232.23,,14.17,10.99,24.9,42.01,0.0,6.27,2.41,4.78,13.98,123.72,76.94,183.95,0.35,03-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
03-Jan-2019 - 00:00,63.55,153.77,,14.24,10.97,25.2,42.0,0.0,4.6,1.85,3.63,7.68,67.56,98.98,261.58,0.46,04-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
04-Jan-2019 - 00:00,11.81,153.87,,13.57,11.18,21.58,40.16,0.0,10.92,1.34,2.65,13.41,42.74,80.06,230.1,0.37,05-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
05-Jan-2019 - 00:00,55.19,193.19,,14.2,10.97,25.16,42.01,0.0,5.21,2.13,3.82,12.64,98.96,87.18,108.79,0.56,06-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
06-Jan-2019 - 00:00,29.3,69.92,,14.25,11.05,25.0,42.1,0.0,5.69,2.58,2.24,12.15,104.35,88.81,137.2,0.38,07-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
07-Jan-2019 - 00:00,23.48,68.51,,14.24,11.48,25.48,42.11,0.0,7.27,2.18,1.94,11.29,153.84,86.19,232.7,0.4,08-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
08-Jan-2019 - 00:00,32.34,102.09,,14.29,11.56,25.84,41.98,0.0,9.35,2.04,2.03,12.61,142.59,79.23,252.55,0.58,09-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
09-Jan-2019 - 00:00,31.91,112.78,,14.36,11.16,25.27,41.97,0.0,10.28,1.8,2.19,11.55,132.88,77.62,245.9,0.55,10-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
10-Jan-2019 - 00:00,39.09,141.36,,14.3,10.95,25.23,41.99,0.0,7.87,2.58,2.82,11.9,144.49,74.38,224.37,0.33,11-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
11-Jan-2019 - 00:00,65.22,251.12,,14.17,10.98,25.13,42.03,0.0,5.24,3.96,5.13,14.52,128.82,74.62,162.32,0.29,12-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
12-Jan-2019 - 00:00,55.31,204.95,,14.24,10.95,25.19,42.01,0.0,5.2,3.42,4.06,13.75,127.83,79.85,207.44,0.41,13-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
13-Jan-2019 - 00:00,26.63,66.25,,14.22,10.96,25.18,42.0,0.0,5.24,2.14,1.73,13.45,159.35,77.71,231.81,0.46,14-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
14-Jan-2019 - 00:00,23.02,72.06,,14.21,10.98,25.19,41.99,0.0,5.24,1.73,1.66,10.85,149.13,69.91,268.01,0.74,15-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
15-Jan-2019 - 00:00,30.27,104.03,,12.06,8.47,19.67,32.51,0.0,8.33,1.5,2.03,10.27,122.12,72.27,259.54,0.55,16-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
16-Jan-2019 - 00:00,71.94,171.91,,7.5,10.15,14.54,12.82,0.0,10.41,3.33,3.83,11.61,122.99,80.37,179.73,0.31,17-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
17-Jan-2019 - 00:00,77.0,129.16,,7.31,14.25,19.06,15.82,0.0,17.41,3.05,3.64,11.13,149.43,81.64,234.22,0.39,18-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
18-Jan-2019 - 00:00,55.57,101.57,,12.74,13.57,26.16,19.55,0.0,20.03,2.01,2.46,12.2,151.93,77.43,252.2,0.51,19-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
19-Jan-2019 - 00:00,53.87,118.48,,15.74,14.78,27.52,19.27,0.0,16.3,2.1,2.76,13.75,147.06,76.08,234.61,0.39,20-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
20-Jan-2019 - 00:00,98.4,195.79,,13.69,15.01,27.55,19.29,0.0,7.94,4.02,5.64,14.97,125.16,83.49,183.85,0.33,21-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
21-Jan-2019 - 00:00,21.32,73.07,,12.58,14.39,26.8,19.41,0.0,7.93,2.5,2.93,13.26,97.28,91.55,161.68,0.74,22-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
22-Jan-2019 - 00:00,29.06,25.55,,14.82,24.02,33.95,20.54,0.0,11.96,2.17,1.64,12.01,110.72,98.79,113.99,0.59,23-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
23-Jan-2019 - 00:00,15.9,41.19,,14.76,19.16,31.87,20.0,0.0,14.47,2.33,2.06,12.22,208.66,86.33,216.58,0.35,24-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
24-Jan-2019 - 00:00,18.64,51.67,,13.37,14.57,27.18,19.51,0.0,16.39,2.37,2.12,11.44,168.65,84.33,261.59,0.4,25-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
25-Jan-2019 - 00:00,24.89,50.53,,13.76,14.19,27.73,19.66,0.0,20.49,1.92,1.86,11.23,189.82,78.56,207.07,0.37,26-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
26-Jan-2019 - 00:00,14.55,63.17,,13.47,14.19,27.4,19.54,0.0,18.82,2.05,1.58,10.2,159.93,78.88,262.09,0.49,27-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
27-Jan-2019 - 00:00,21.25,98.94,,13.49,13.76,27.03,19.69,0.0,16.37,1.63,1.67,9.95,145.33,78.65,244.67,0.55,28-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
28-Jan-2019 - 00:00,22.55,35.67,,13.41,13.75,26.94,19.5,0.0,16.37,1.75,1.62,10.47,163.79,73.95,248.33,0.51,29-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
29-Jan-2019 - 00:00,4.05,80.57,5.81,13.4,13.37,26.66,19.28,0.0,20.73,1.81,1.91,10.93,166.4,72.51,248.46,0.49,30-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
30-Jan-2019 - 00:00,36.07,127.63,2.72,12.8,13.93,26.55,19.13,0.0,15.9,1.86,2.58,11.21,106.4,77.46,245.82,0.39,31-Jan-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
31-Jan-2019 - 00:00,48.71,139.42,4.29,13.25,14.05,26.62,19.17,0.0,11.89,2.14,3.21,12.64,113.86,83.35,159.22,0.54,01-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
01-Feb-2019 - 00:00,44.12,126.84,4.13,25.56,20.4,41.01,19.79,0.0,6.03,4.29,3.47,12.59,114.09,90.82,168.96,0.38,02-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
02-Feb-2019 - 00:00,17.58,55.38,6.97,47.47,33.15,79.83,3.68,0.0,5.05,2.68,1.97,12.78,176.6,83.73,250.23,0.42,03-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
03-Feb-2019 - 00:00,32.96,94.28,7.9,53.34,39.47,92.8,14.16,0.0,4.55,2.38,2.47,13.78,181.1,83.36,250.36,0.45,04-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
04-Feb-2019 - 00:00,32.88,88.53,7.86,58.95,43.61,102.38,8.18,0.0,4.49,2.8,2.38,13.94,172.38,85.28,238.8,0.39,05-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
05-Feb-2019 - 00:00,69.6,214.19,14.0,91.53,81.46,172.82,3.34,0.0,,3.57,4.48,16.33,153.37,76.97,144.71,0.33,06-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
06-Feb-2019 - 00:00,64.92,153.15,13.86,70.65,80.43,151.06,62.57,0.0,,2.28,5.28,16.82,151.26,81.6,127.08,0.64,07-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
07-Feb-2019 - 00:00,28.77,32.2,8.15,103.83,108.05,127.45,119.22,0.0,,1.86,1.79,13.3,103.68,98.89,140.04,0.73,08-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
08-Feb-2019 - 00:00,15.82,39.44,6.69,17.12,18.96,30.18,69.3,0.0,31.28,1.2,0.95,11.73,245.58,83.63,223.9,0.58,09-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
09-Feb-2019 - 00:00,25.18,59.91,7.89,20.18,37.15,57.32,66.35,0.0,24.58,2.54,1.48,12.06,193.84,85.02,264.13,0.67,10-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
10-Feb-2019 - 00:00,28.8,256.3,7.82,30.47,46.23,76.7,58.45,0.0,23.47,2.55,1.97,12.67,162.28,83.29,245.16,0.4,11-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
11-Feb-2019 - 00:00,27.31,541.73,7.35,23.99,41.85,65.96,60.37,0.0,25.17,3.15,2.06,14.17,181.8,80.39,233.35,0.45,12-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
12-Feb-2019 - 00:00,37.82,76.99,7.1,19.81,31.26,51.01,57.04,0.0,25.87,2.9,2.1,15.37,185.28,81.43,229.59,0.37,13-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
13-Feb-2019 - 00:00,45.37,95.91,7.05,28.5,31.71,60.19,56.91,0.0,18.85,3.61,3.04,16.29,163.9,82.34,189.95,0.31,14-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
14-Feb-2019 - 00:00,45.26,89.56,8.4,38.17,19.9,58.07,63.94,0.0,12.61,3.02,3.39,15.9,117.18,89.8,114.3,0.6,15-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
15-Feb-2019 - 00:00,31.18,21.03,8.44,29.78,16.69,46.01,66.32,0.0,14.76,5.14,2.37,15.89,194.7,92.86,154.84,0.56,16-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
16-Feb-2019 - 00:00,33.32,41.42,6.92,20.52,8.57,28.44,69.3,0.0,17.66,2.57,1.39,14.46,191.58,94.24,255.28,0.51,17-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
17-Feb-2019 - 00:00,24.13,53.27,7.22,3.36,3.72,7.04,73.62,0.0,22.37,2.58,1.8,13.88,130.06,84.17,251.35,0.53,18-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
18-Feb-2019 - 00:00,56.93,81.81,7.53,3.11,3.79,6.9,73.67,0.0,10.6,3.49,3.15,13.69,78.74,93.77,109.41,0.5,19-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
19-Feb-2019 - 00:00,26.06,67.29,8.71,3.17,3.73,6.75,73.66,0.0,19.73,3.25,2.31,15.97,268.77,84.89,129.03,0.4,20-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
20-Feb-2019 - 00:00,46.58,89.7,10.75,3.32,3.72,6.96,73.66,0.0,11.45,3.79,3.36,16.89,122.69,85.97,113.56,0.57,21-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
21-Feb-2019 - 00:00,43.15,40.51,8.22,3.67,3.79,7.17,73.68,0.0,15.17,2.61,2.02,18.14,198.98,86.84,171.96,0.5,22-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
22-Feb-2019 - 00:00,14.29,46.04,7.15,3.33,3.58,6.83,73.68,0.0,26.99,1.64,1.06,15.51,216.72,83.17,273.47,0.85,23-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
23-Feb-2019 - 00:00,36.94,68.06,6.35,3.44,3.59,6.8,73.71,0.0,27.67,2.15,1.26,13.94,212.18,77.53,255.22,0.76,24-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
24-Feb-2019 - 00:00,38.46,83.33,6.7,3.4,3.43,6.67,73.78,0.0,28.56,2.75,1.62,14.28,206.69,79.19,246.85,0.46,25-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
25-Feb-2019 - 00:00,98.06,152.19,10.29,3.19,3.58,6.72,73.62,0.0,21.07,3.84,2.91,15.3,170.58,73.34,179.53,0.34,26-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
26-Feb-2019 - 00:00,95.14,97.24,9.24,3.2,3.29,6.38,73.73,0.0,29.39,2.15,1.93,15.63,226.74,67.07,178.24,0.61,27-Feb-2019 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
