from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
01-Jan-2019 - 00:00,362.2,226.04,53.63,53.68,107.31,1.09,,19.1,0.0,0.0,0.0,0.0,02-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
02-Jan-2019 - 00:00,360.97,230.76,57.48,60.91,115.69,1.85,,22.36,4.37,0.05,0.0,0.0,03-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
03-Jan-2019 - 00:00,465.13,304.47,50.73,52.51,103.23,3.56,,17.77,3.05,0.64,1.89,0.47,04-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
04-Jan-2019 - 00:00,308.43,189.91,21.53,35.08,56.61,1.82,,16.16,6.11,0.08,0.24,0.03,05-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
05-Jan-2019 - 00:00,282.29,172.11,27.09,39.48,66.57,1.64,,21.23,0.0,0.03,0.1,0.14,06-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
06-Jan-2019 - 00:00,,121.56,10.13,27.64,37.77,1.11,,17.76,0.0,0.01,0.11,0.11,07-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
07-Jan-2019 - 00:00,214.45,134.1,19.79,29.76,49.55,1.36,,17.11,1.38,0.02,0.1,0.12,08-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
08-Jan-2019 - 00:00,169.86,108.68,10.9,23.64,34.54,1.07,20.24,18.64,0.0,0.01,0.14,0.28,09-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
09-Jan-2019 - 00:00,171.0,103.14,10.78,24.43,35.21,1.2,9.04,20.1,1.51,0.0,0.11,0.74,10-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
10-Jan-2019 - 00:00,198.57,120.35,26.12,35.25,61.37,1.91,0.0,20.93,2.05,0.01,0.07,0.73,11-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
11-Jan-2019 - 00:00,283.25,186.23,54.89,59.86,114.75,3.27,,21.18,3.92,0.07,0.1,0.32,12-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
12-Jan-2019 - 00:00,298.3,199.34,44.65,60.24,104.89,3.0,,25.33,0.0,0.06,0.12,0.25,13-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
13-Jan-2019 - 00:00,272.79,185.44,29.18,45.84,75.03,2.32,,23.87,0.0,0.02,0.17,0.17,14-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
14-Jan-2019 - 00:00,106.85,62.63,8.21,21.49,29.69,1.15,,23.57,0.0,0.01,0.13,0.05,15-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
15-Jan-2019 - 00:00,171.35,114.02,26.35,36.76,60.8,1.23,,23.0,2.72,0.01,0.21,0.05,16-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
16-Jan-2019 - 00:00,270.61,189.41,77.62,97.85,175.46,1.37,4.37,19.57,5.85,0.02,0.38,0.07,17-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
17-Jan-2019 - 00:00,374.19,267.64,72.06,89.84,161.9,1.84,,12.57,0.0,0.04,0.42,0.15,18-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
18-Jan-2019 - 00:00,307.13,212.93,42.89,62.0,104.88,1.28,,16.42,2.35,0.01,0.54,0.08,19-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
19-Jan-2019 - 00:00,331.29,227.22,91.33,92.27,183.23,1.99,,23.02,4.37,0.05,0.91,0.16,20-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
20-Jan-2019 - 00:00,294.13,209.43,104.85,118.23,223.1,2.07,,25.37,0.0,0.1,0.35,0.24,21-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
21-Jan-2019 - 00:00,173.83,117.17,29.33,57.52,86.83,0.61,,18.27,0.0,0.02,0.21,0.07,22-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
22-Jan-2019 - 00:00,49.11,39.37,6.84,26.61,33.45,0.11,,15.17,0.0,0.01,0.07,0.01,23-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
23-Jan-2019 - 00:00,170.6,114.07,34.77,43.16,77.93,0.86,0.0,15.65,1.98,0.02,0.21,0.02,24-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
24-Jan-2019 - 00:00,134.51,86.67,20.18,37.22,57.39,0.44,,20.77,5.48,0.02,0.29,0.03,25-Jan-2019 - 00:00,"Pusa, Delhi - IMD"
