from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
01-Jan-2019 - 00:00,9.75,,989.99,2.47,22.61,111.51,49.12,117.03,57.25,494.29,309.56,63.0,22.09,68.68,208.5,0.59,,,02-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
02-Jan-2019 - 00:00,10.45,,991.22,2.36,27.99,150.24,46.59,147.27,63.6,507.02,376.82,68.95,22.18,62.29,172.91,0.63,0.15,,03-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
03-Jan-2019 - 00:00,9.89,,990.09,1.1,30.12,70.57,60.41,89.66,41.74,471.43,327.5,68.81,16.34,65.46,211.22,0.8,,,04-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
04-Jan-2019 - 00:00,8.59,,990.09,1.17,29.05,79.82,57.16,95.49,37.89,431.16,286.46,72.78,19.81,50.57,204.56,0.66,,,05-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
05-Jan-2019 - 00:00,9.58,,994.0,0.4,32.92,123.19,50.93,127.47,27.05,435.88,289.95,67.59,18.71,63.98,159.43,0.99,0.26,,06-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
06-Jan-2019 - 00:00,10.27,,994.12,,37.51,33.81,53.88,56.25,11.57,254.59,187.12,73.04,15.72,56.73,179.42,0.72,0.03,,07-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
07-Jan-2019 - 00:00,10.11,,992.71,,36.81,52.14,50.29,69.2,13.11,269.4,184.76,71.91,17.49,86.22,213.49,0.64,,,08-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
08-Jan-2019 - 00:00,12.01,,989.98,,31.37,20.24,44.49,40.17,17.12,239.07,171.17,61.19,19.84,135.75,219.22,1.4,,,09-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
09-Jan-2019 - 00:00,11.67,,989.98,,26.52,23.05,50.78,45.82,16.84,240.94,129.5,54.49,21.76,119.29,211.88,1.27,,,10-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
10-Jan-2019 - 00:00,12.42,,990.0,,24.29,127.9,58.72,135.5,19.31,352.86,194.69,53.3,28.86,129.92,206.22,1.05,,,11-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
11-Jan-2019 - 00:00,13.07,,990.19,,30.92,147.28,84.15,164.93,15.0,447.25,359.65,54.88,29.61,102.87,158.7,0.61,0.03,,12-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
12-Jan-2019 - 00:00,9.31,,991.76,,31.0,205.32,53.28,195.79,13.31,535.12,412.58,72.41,16.1,89.72,164.0,0.58,0.08,,13-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
13-Jan-2019 - 00:00,15.21,,989.88,,36.2,17.9,65.8,49.6,21.12,363.12,241.18,54.75,20.21,98.68,196.16,0.67,0.02,,14-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
14-Jan-2019 - 00:00,9.12,,989.88,,25.61,13.86,42.9,34.11,16.15,192.71,103.4,55.66,19.02,80.56,216.75,1.36,,,15-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
15-Jan-2019 - 00:00,7.71,,989.93,,25.06,45.04,47.91,62.17,17.41,256.29,142.94,58.03,24.41,69.51,210.81,1.21,,,16-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
16-Jan-2019 - 00:00,8.56,,991.78,,31.64,150.93,64.83,157.51,15.33,502.24,313.31,65.85,27.06,61.21,147.95,0.7,0.1,,17-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
17-Jan-2019 - 00:00,9.14,,997.33,,32.2,165.01,67.09,170.84,17.42,580.05,405.22,67.24,23.24,62.49,194.47,0.54,,,18-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
18-Jan-2019 - 00:00,8.97,,990.93,,28.08,106.61,61.79,119.77,15.66,419.02,271.69,68.59,20.07,89.41,202.41,0.8,,,19-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
19-Jan-2019 - 00:00,11.57,,990.3,,26.05,153.2,63.62,158.75,16.22,451.0,279.38,62.6,24.01,86.16,195.64,0.61,,,20-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
20-Jan-2019 - 00:00,14.27,9.09,989.99,,30.22,185.33,61.68,183.27,17.29,434.7,261.47,62.81,21.76,81.55,171.99,0.51,0.0,68.98,21-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
21-Jan-2019 - 00:00,12.94,5.85,990.01,,32.59,59.48,47.27,73.6,15.33,258.76,159.35,69.62,16.02,39.59,126.09,1.97,0.27,42.75,22-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
22-Jan-2019 - 00:00,11.6,,,,24.9,15.94,35.13,31.69,15.65,85.95,67.47,78.98,18.38,52.23,132.9,1.27,0.12,,23-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
23-Jan-2019 - 00:00,10.66,,993.92,,22.85,66.33,46.85,79.02,17.32,239.95,151.99,76.59,19.3,84.72,204.85,0.49,0.0,,24-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
24-Jan-2019 - 00:00,11.5,,999.98,,23.52,44.87,48.5,62.39,18.3,249.68,142.45,71.88,20.1,74.91,182.9,0.66,0.07,,25-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
25-Jan-2019 - 00:00,10.7,,989.89,,23.14,23.02,49.48,45.08,19.81,,100.34,67.94,18.74,90.04,207.7,0.53,0.0,,26-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
26-Jan-2019 - 00:00,9.41,,989.78,,19.54,14.26,42.32,34.12,21.91,,120.36,58.41,18.27,101.62,215.23,0.84,0.0,,27-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
27-Jan-2019 - 00:00,7.62,,989.79,,18.42,20.16,42.99,39.3,19.64,,161.03,61.31,20.87,86.02,214.14,1.0,0.0,,28-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
28-Jan-2019 - 00:00,8.45,,989.81,,17.54,25.02,43.83,43.71,21.03,,136.66,55.89,19.54,103.4,216.6,1.04,,,29-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
29-Jan-2019 - 00:00,9.08,,989.84,,18.69,43.52,48.45,61.24,21.19,,173.25,54.98,26.26,102.51,217.11,1.09,0.0,,30-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
30-Jan-2019 - 00:00,9.72,,989.9,3.25,21.93,95.72,58.89,109.38,16.49,,246.91,56.67,35.84,91.87,207.92,0.76,0.0,,31-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
31-Jan-2019 - 00:00,11.14,,989.88,1.34,25.81,104.7,58.25,116.35,13.98,,214.51,59.94,19.14,69.65,136.7,1.19,0.11,,01-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
01-Feb-2019 - 00:00,12.13,,989.87,0.68,30.91,23.73,51.01,46.5,11.17,,187.51,64.84,19.92,81.31,179.21,1.13,0.09,,02-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
02-Feb-2019 - 00:00,8.68,,990.0,1.81,25.99,16.31,44.26,36.84,11.23,,201.9,77.88,17.12,66.52,219.9,1.04,,,03-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
