from date,BP,PM2.5,PM10,RF,RH,SR,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Ozone,Toluene,CO,NH3,NO,NO2,NOx,SO2,to date,station
01-Jan-2019 - 00:00,766.28,164.74,294.82,0.0,62.85,56.04,179.84,0.48,2.65,0.97,1.92,3.3,20.58,1.46,0.72,14.09,6.28,36.91,43.18,25.2,02-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
02-Jan-2019 - 00:00,766.31,202.56,333.11,0.0,67.44,52.43,136.24,0.43,4.3,0.49,1.19,3.25,26.75,2.02,0.99,16.09,5.76,32.08,37.83,27.09,03-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
03-Jan-2019 - 00:00,767.85,219.34,370.07,0.0,77.99,47.71,260.52,0.81,3.08,0.94,1.78,2.78,10.61,2.38,0.91,19.42,40.32,69.62,109.82,21.22,04-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
04-Jan-2019 - 00:00,766.43,194.72,311.59,0.0,70.46,48.09,220.26,0.6,1.44,0.12,0.32,0.47,14.72,2.41,0.91,18.87,10.22,50.09,60.3,34.47,05-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
05-Jan-2019 - 00:00,764.52,189.38,284.56,0.0,71.89,49.8,136.46,0.42,0.0,0.0,0.0,0.0,20.12,0.0,0.83,16.36,2.11,30.6,32.71,17.13,06-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
06-Jan-2019 - 00:00,764.15,146.03,220.49,0.05,74.74,47.96,202.66,0.9,0.34,0.25,0.44,0.46,16.93,0.56,0.67,16.62,18.38,56.59,72.56,54.25,07-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
07-Jan-2019 - 00:00,766.17,134.94,220.08,0.0,79.18,70.38,294.42,1.0,0.46,0.35,0.73,0.72,12.63,0.77,0.51,21.77,30.6,48.3,74.54,36.65,08-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
08-Jan-2019 - 00:00,764.57,142.63,232.17,0.0,74.42,78.04,279.3,1.06,0.52,0.42,0.77,0.72,10.82,0.85,0.79,29.29,34.06,17.55,49.88,47.6,09-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
09-Jan-2019 - 00:00,763.95,120.4,235.95,0.0,65.38,78.81,262.12,1.24,0.56,0.43,0.71,0.72,13.62,0.81,0.58,17.37,24.0,52.94,76.43,44.56,10-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
10-Jan-2019 - 00:00,763.72,153.25,335.95,0.0,64.82,49.1,209.1,0.47,0.46,0.37,0.67,0.67,9.12,0.76,1.16,12.33,26.36,70.1,84.45,29.45,11-Jan-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
