from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
01-Jan-2019 - 00:00,235.47,5.49,23.62,18.75,42.37,15.7,1.16,17.97,5.14,3.24,559.24,90.83,0.0,166.98,0.23,101.3,02-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
02-Jan-2019 - 00:00,187.56,4.47,23.69,18.8,42.5,15.8,1.15,26.1,5.1,3.2,519.41,84.02,0.0,190.97,0.5,80.64,03-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
03-Jan-2019 - 00:00,226.01,8.34,23.76,18.77,42.53,15.81,1.41,20.26,5.12,3.19,546.06,86.68,0.0,292.21,0.91,97.2,04-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
04-Jan-2019 - 00:00,211.99,8.05,23.71,18.79,42.05,15.8,1.16,20.48,5.05,3.17,534.17,83.32,0.0,245.6,0.75,89.91,05-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
05-Jan-2019 - 00:00,110.91,4.21,23.74,18.7,42.45,15.8,0.74,21.99,5.11,3.22,528.03,86.6,0.0,151.7,0.61,48.85,06-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
06-Jan-2019 - 00:00,76.21,3.82,23.71,18.8,42.51,15.8,0.77,23.17,5.11,3.2,566.84,90.64,0.0,262.0,0.75,32.84,07-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
07-Jan-2019 - 00:00,89.38,4.32,23.72,18.76,42.49,15.81,0.8,23.29,5.12,3.19,522.82,84.53,0.0,294.25,0.82,37.57,08-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
08-Jan-2019 - 00:00,174.81,8.84,27.95,20.42,51.9,17.86,1.03,23.21,5.11,3.18,507.6,77.25,0.0,289.19,1.16,75.21,09-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
09-Jan-2019 - 00:00,246.62,12.78,60.04,47.63,65.93,22.34,1.08,26.91,5.17,3.31,486.3,71.05,0.0,292.47,1.37,106.08,10-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
10-Jan-2019 - 00:00,237.9,9.06,40.06,65.73,61.14,25.77,0.84,21.09,5.1,3.2,521.61,81.66,0.0,189.58,0.39,102.14,11-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
11-Jan-2019 - 00:00,162.87,4.63,117.39,145.74,69.72,31.52,0.69,24.34,5.1,3.21,529.68,83.53,0.0,157.24,0.44,69.9,12-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
12-Jan-2019 - 00:00,128.42,4.26,127.38,77.5,119.31,37.34,0.4,25.2,5.1,3.2,486.72,77.92,0.0,188.32,0.46,55.29,13-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
13-Jan-2019 - 00:00,75.72,3.95,67.98,49.01,78.33,18.13,0.09,26.82,5.12,3.18,518.7,79.9,0.0,290.69,0.92,32.62,14-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
14-Jan-2019 - 00:00,136.51,8.19,52.39,78.2,61.41,38.79,0.51,26.05,5.12,3.16,454.55,63.86,0.0,307.12,1.56,58.61,15-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
15-Jan-2019 - 00:00,230.57,13.36,154.3,71.04,21.08,26.6,1.16,22.61,5.11,3.18,732.45,63.62,0.0,281.83,1.22,88.03,16-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
16-Jan-2019 - 00:00,168.53,4.82,133.12,94.12,112.63,33.55,1.07,23.71,5.29,3.81,996.36,86.05,0.0,162.71,0.49,53.98,17-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
17-Jan-2019 - 00:00,143.83,5.46,48.74,57.46,11.03,12.58,0.94,22.27,6.39,4.35,999.99,76.68,0.0,268.46,0.65,46.01,18-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
18-Jan-2019 - 00:00,253.6,6.72,,,,,0.68,17.44,8.79,4.41,999.99,76.59,0.0,258.5,0.77,81.21,19-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
19-Jan-2019 - 00:00,210.48,6.13,,,,,0.44,17.41,6.55,4.44,999.99,77.45,0.0,259.51,0.66,67.27,20-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
20-Jan-2019 - 00:00,100.69,4.1,,,,,0.26,12.02,7.84,4.49,999.99,93.76,0.0,108.64,0.28,32.26,21-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
21-Jan-2019 - 00:00,127.67,4.18,,,,,1.21,14.37,6.57,4.53,999.99,94.33,0.46,214.18,0.91,40.87,22-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
22-Jan-2019 - 00:00,22.75,4.41,,112.52,5.17,27.78,0.98,17.31,6.54,4.48,999.99,96.04,0.93,137.57,1.4,7.28,23-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
23-Jan-2019 - 00:00,88.3,5.05,193.63,101.67,58.5,27.84,0.92,13.61,5.79,4.49,999.99,84.96,0.0,255.61,0.43,28.33,24-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
24-Jan-2019 - 00:00,79.35,4.4,156.64,98.1,111.65,32.47,0.84,18.58,5.56,4.44,999.99,85.87,0.0,296.58,1.0,25.46,25-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
25-Jan-2019 - 00:00,315.51,8.06,179.71,97.76,43.02,65.76,0.95,18.17,5.4,4.45,999.99,79.47,0.0,244.54,0.71,175.58,26-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
26-Jan-2019 - 00:00,236.67,4.89,123.19,72.91,65.66,28.56,0.64,27.82,5.3,4.41,999.99,79.21,0.0,310.74,1.21,256.8,27-Jan-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
