from date,NO2,SO2,CO,PM10,PM2.5,to date,station
01-Jan-2019 - 00:00,13.57,7.25,0.52,113.64,78.53,02-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Jan-2019 - 00:00,13.28,7.17,0.49,159.34,110.02,03-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Jan-2019 - 00:00,13.22,7.2,0.49,119.8,75.79,04-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-Jan-2019 - 00:00,13.49,7.14,0.5,96.86,59.14,05-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-Jan-2019 - 00:00,13.29,7.02,0.5,159.96,96.15,06-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
06-Jan-2019 - 00:00,13.15,7.32,0.52,83.47,40.07,07-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
07-Jan-2019 - 00:00,13.33,7.07,0.52,90.37,44.83,08-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
08-Jan-2019 - 00:00,13.46,7.29,0.51,90.86,53.19,09-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
09-Jan-2019 - 00:00,13.61,7.26,0.52,118.64,60.68,10-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
10-Jan-2019 - 00:00,13.3,7.07,0.51,122.45,74.79,11-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
11-Jan-2019 - 00:00,13.66,7.44,0.49,125.91,80.97,12-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
12-Jan-2019 - 00:00,13.17,6.99,0.51,115.83,72.15,13-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
13-Jan-2019 - 00:00,13.01,7.38,0.51,57.08,35.97,14-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
14-Jan-2019 - 00:00,13.29,7.02,0.55,61.08,31.59,15-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
15-Jan-2019 - 00:00,13.46,7.04,0.52,92.16,52.89,16-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
16-Jan-2019 - 00:00,13.54,7.37,0.5,135.45,86.23,17-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
17-Jan-2019 - 00:00,13.34,7.14,0.48,122.37,85.64,18-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
18-Jan-2019 - 00:00,13.27,7.22,0.51,113.35,66.61,19-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
19-Jan-2019 - 00:00,13.45,7.12,0.53,110.09,62.97,20-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
20-Jan-2019 - 00:00,13.53,7.24,0.52,178.84,92.23,21-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
21-Jan-2019 - 00:00,13.42,7.28,0.56,100.82,63.82,22-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
22-Jan-2019 - 00:00,13.22,6.99,0.53,30.18,16.48,23-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
23-Jan-2019 - 00:00,13.69,7.42,0.49,80.78,37.5,24-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
24-Jan-2019 - 00:00,13.75,7.2,0.46,128.56,52.8,25-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
25-Jan-2019 - 00:00,13.85,7.18,0.39,112.12,57.61,26-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
26-Jan-2019 - 00:00,13.79,7.08,0.4,91.07,49.32,27-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
27-Jan-2019 - 00:00,14.03,7.16,0.4,84.68,51.51,28-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
28-Jan-2019 - 00:00,14.03,6.95,0.38,85.02,47.48,29-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
29-Jan-2019 - 00:00,13.97,7.14,0.37,94.19,59.77,30-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
30-Jan-2019 - 00:00,14.0,6.92,0.38,100.45,68.87,31-Jan-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
31-Jan-2019 - 00:00,14.05,7.17,0.38,93.39,65.95,01-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
01-Feb-2019 - 00:00,13.92,7.11,0.4,69.3,40.06,02-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Feb-2019 - 00:00,13.73,7.24,0.38,58.06,35.13,03-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Feb-2019 - 00:00,13.91,7.22,0.38,103.35,57.03,04-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-Feb-2019 - 00:00,13.69,7.32,0.38,88.36,55.52,05-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-Feb-2019 - 00:00,13.87,7.1,0.38,89.76,64.37,06-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
06-Feb-2019 - 00:00,13.36,7.1,0.4,96.13,54.79,07-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
07-Feb-2019 - 00:00,13.19,6.96,0.4,34.81,24.25,08-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
08-Feb-2019 - 00:00,11.05,7.0,0.4,50.73,16.58,09-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
