from date,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,AT,Rack Temp,Benzene,Toluene,Xylene,RH,WS,WD,SR,BP,VWS,to date,station
01-Jan-2019 - 00:00,0.9,32.8,10.88,70.15,46.16,29.48,68.19,20.79,27.87,1.96,18.7,0.32,43.77,0.77,99.44,155.93,724.88,0.74,02-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Jan-2019 - 00:00,1.17,28.12,36.42,79.06,71.66,18.95,70.55,21.5,27.93,1.71,17.38,0.6,46.7,0.63,113.23,155.1,724.58,0.73,03-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Jan-2019 - 00:00,1.08,36.21,27.29,71.92,60.45,18.78,71.57,22.29,28.07,1.48,17.29,1.12,51.09,0.66,116.63,139.36,725.47,0.73,04-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
04-Jan-2019 - 00:00,0.85,27.01,18.13,69.55,51.74,18.55,76.43,22.08,28.13,1.14,16.64,0.63,53.52,0.71,126.95,137.69,724.19,0.73,05-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Jan-2019 - 00:00,0.75,34.06,4.11,58.46,34.43,8.84,77.14,22.18,28.07,1.23,8.12,0.31,57.14,0.72,152.66,138.86,721.83,0.73,06-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Jan-2019 - 00:00,0.73,43.41,1.42,38.81,21.8,8.24,79.62,22.19,27.9,0.85,3.56,0.19,60.82,0.8,159.46,134.67,719.43,0.74,07-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
07-Jan-2019 - 00:00,0.71,35.92,19.62,56.07,45.76,13.29,76.53,22.5,28.09,1.03,5.71,0.74,57.24,0.8,133.64,136.84,718.52,0.73,08-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
08-Jan-2019 - 00:00,0.84,29.85,28.3,74.88,62.82,16.73,75.09,21.78,28.28,1.64,17.0,1.44,51.91,1.17,95.18,139.03,719.32,0.74,09-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Jan-2019 - 00:00,0.92,33.35,18.32,72.02,53.17,28.42,78.49,21.77,29.17,2.42,20.25,0.95,44.43,0.8,96.73,143.34,718.78,0.71,10-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Jan-2019 - 00:00,0.77,41.03,3.45,61.89,35.72,16.78,77.69,24.14,31.04,0.95,6.97,0.34,45.06,0.88,120.55,213.3,719.05,0.67,11-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Jan-2019 - 00:00,0.6,38.9,1.78,39.13,22.27,9.17,79.39,22.51,31.0,0.77,3.77,0.13,57.42,0.76,154.99,151.06,719.25,0.66,12-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Jan-2019 - 00:00,0.71,36.91,1.45,44.57,24.89,6.63,79.4,22.94,30.7,0.89,4.7,0.31,63.96,0.77,123.5,131.74,719.16,0.67,13-Jan-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
