from date,NO,NO2,NOx,SO2,CO,Ozone,PM10,PM2.5,NH3,AT,RH,WS,VWS,WD,SR,BP,RF,Benzene,Toluene,MP-Xylene,Xylene,Temp,to date,station
01-Jan-2019 - 00:00,6.71,83.47,49.86,31.13,1.08,24.62,142.38,84.45,15.16,22.83,66.92,1.69,0.01,187.84,82.26,763.82,0.0,0.09,0.2,0.08,0.11,30.82,02-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
02-Jan-2019 - 00:00,15.14,130.15,81.54,45.69,1.45,31.09,194.53,113.01,10.2,25.15,65.6,1.51,0.01,151.53,77.99,763.31,0.0,0.11,0.25,0.08,0.13,30.0,03-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
03-Jan-2019 - 00:00,36.06,140.78,104.2,42.26,1.25,21.31,232.21,142.17,8.56,24.36,76.09,1.46,0.01,172.79,72.43,763.98,0.0,0.14,0.58,0.09,0.13,28.03,04-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
04-Jan-2019 - 00:00,9.8,106.75,64.75,15.08,1.38,26.42,188.42,124.55,9.39,24.55,75.85,2.07,0.04,125.88,69.1,763.45,0.0,0.11,0.24,0.08,0.11,25.42,05-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
05-Jan-2019 - 00:00,6.36,92.3,54.27,15.72,1.38,28.59,193.41,126.84,11.26,24.27,76.59,2.2,0.03,146.72,67.15,762.19,0.0,0.11,0.31,0.08,0.1,24.38,06-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
06-Jan-2019 - 00:00,9.51,94.94,58.23,11.2,1.46,26.25,185.36,125.64,13.76,23.91,77.32,2.12,0.03,138.9,65.97,760.78,0.0,0.12,0.22,0.08,0.1,24.45,07-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
07-Jan-2019 - 00:00,20.41,105.49,72.72,17.0,1.5,25.32,217.94,122.49,13.31,24.6,72.31,1.54,0.01,167.54,76.05,759.61,0.0,0.12,0.32,0.07,0.12,26.36,08-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
08-Jan-2019 - 00:00,35.22,117.57,91.17,42.49,1.24,22.11,212.13,115.5,11.56,24.78,72.47,1.98,-0.0,207.09,90.47,759.91,0.0,0.09,0.24,0.1,0.11,26.57,09-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
09-Jan-2019 - 00:00,15.98,127.75,80.94,55.54,0.91,25.85,237.9,101.57,10.27,27.51,57.36,1.86,-0.0,181.1,105.41,759.6,0.0,0.1,0.19,0.13,0.22,27.06,10-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
10-Jan-2019 - 00:00,13.27,112.41,70.58,9.26,0.79,20.35,193.56,115.65,7.35,24.21,76.39,1.88,0.02,158.52,61.25,759.97,0.0,0.1,0.21,0.08,0.11,25.44,11-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
11-Jan-2019 - 00:00,11.11,97.22,60.74,10.54,0.92,26.38,189.39,119.47,9.22,25.2,78.33,2.53,0.04,126.22,62.04,760.66,0.0,0.09,0.14,0.08,0.1,26.0,12-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
12-Jan-2019 - 00:00,6.36,73.18,44.11,10.66,0.52,23.48,157.65,99.5,15.31,25.04,76.9,2.5,0.01,128.76,67.24,760.68,0.0,0.08,0.09,0.09,0.1,25.77,13-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
13-Jan-2019 - 00:00,4.47,56.47,33.67,11.86,0.65,25.84,147.31,93.48,17.34,25.09,75.57,2.39,0.02,133.07,69.06,761.07,0.0,0.07,0.18,0.09,0.1,24.46,14-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
14-Jan-2019 - 00:00,2.99,59.42,34.03,12.94,0.42,26.85,174.04,118.18,17.33,24.54,74.6,1.83,0.01,182.15,67.76,760.33,0.0,0.09,0.12,0.11,0.1,24.82,15-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
15-Jan-2019 - 00:00,5.67,59.41,36.22,25.98,1.05,22.5,179.65,118.6,17.53,25.17,74.8,1.79,-0.0,207.33,66.0,760.48,0.0,0.08,0.13,0.1,0.12,24.66,16-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
16-Jan-2019 - 00:00,3.56,51.06,30.06,7.11,0.72,24.99,159.65,108.53,17.96,25.36,75.07,1.86,0.02,156.15,66.5,760.51,0.0,0.08,0.12,0.08,0.1,24.73,17-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
