from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
01-Jan-2019 - 00:00,485.83,254.81,44.93,13.17,58.1,1.81,,21.65,02-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
02-Jan-2019 - 00:00,529.58,283.97,81.6,28.9,100.33,1.6,0.0,23.13,03-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
03-Jan-2019 - 00:00,534.33,307.96,174.17,53.36,227.51,1.7,,20.71,04-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
04-Jan-2019 - 00:00,420.47,219.41,101.18,33.05,134.23,0.96,,38.99,05-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
05-Jan-2019 - 00:00,359.32,195.65,114.89,33.63,148.52,0.86,,19.74,06-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
06-Jan-2019 - 00:00,250.1,156.67,106.72,31.39,138.11,0.7,,29.29,07-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
07-Jan-2019 - 00:00,273.59,154.15,110.44,32.99,143.43,0.57,,26.1,08-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
08-Jan-2019 - 00:00,191.84,101.94,120.03,33.97,154.01,0.49,,18.01,09-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
09-Jan-2019 - 00:00,223.4,109.47,115.34,32.38,147.73,0.65,,19.9,10-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
10-Jan-2019 - 00:00,336.72,154.85,129.05,36.31,165.35,0.92,,20.2,11-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
11-Jan-2019 - 00:00,414.8,227.25,137.49,39.24,176.73,1.23,,23.68,12-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
12-Jan-2019 - 00:00,537.73,304.94,175.14,49.9,225.04,1.92,,39.25,13-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
13-Jan-2019 - 00:00,402.89,261.85,117.25,34.54,151.8,1.12,,29.43,14-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
14-Jan-2019 - 00:00,152.92,72.03,72.92,22.46,95.39,0.26,,21.03,15-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
15-Jan-2019 - 00:00,225.17,113.8,88.35,27.02,115.37,0.51,,20.78,16-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
16-Jan-2019 - 00:00,437.9,232.45,130.62,40.5,171.11,1.23,,22.88,17-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
17-Jan-2019 - 00:00,528.73,304.86,149.89,47.48,197.38,1.3,,33.25,18-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
18-Jan-2019 - 00:00,391.51,209.61,115.91,39.75,155.66,1.27,,20.26,19-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
19-Jan-2019 - 00:00,478.52,236.27,154.77,50.38,205.15,1.75,,21.34,20-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
20-Jan-2019 - 00:00,559.14,306.49,183.71,56.78,240.5,2.55,,29.32,21-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
21-Jan-2019 - 00:00,234.32,131.72,85.87,26.55,112.42,0.57,41.38,17.06,22-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
22-Jan-2019 - 00:00,60.93,39.81,71.31,22.04,93.35,0.31,,14.66,23-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
23-Jan-2019 - 00:00,245.33,139.57,101.47,30.95,132.42,1.03,,42.83,24-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
24-Jan-2019 - 00:00,199.17,107.59,95.29,28.21,123.5,0.61,,31.1,25-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
25-Jan-2019 - 00:00,116.94,65.39,75.93,22.93,98.86,0.38,,36.26,26-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
26-Jan-2019 - 00:00,145.44,79.19,83.22,24.54,107.77,0.41,45.67,22.01,27-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
27-Jan-2019 - 00:00,152.8,84.91,80.48,23.97,104.45,0.33,11.08,20.98,28-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
28-Jan-2019 - 00:00,174.21,78.3,74.38,25.04,99.41,0.59,11.3,24.24,29-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
29-Jan-2019 - 00:00,211.6,100.4,80.48,27.31,107.79,0.51,14.91,21.29,30-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
30-Jan-2019 - 00:00,353.13,159.97,109.25,35.56,144.81,0.88,9.46,26.92,31-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
31-Jan-2019 - 00:00,336.39,164.53,94.49,28.47,122.97,0.77,1.52,22.54,01-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
01-Feb-2019 - 00:00,242.48,141.22,50.75,17.55,67.72,0.53,3.01,20.27,02-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
02-Feb-2019 - 00:00,262.35,152.6,28.37,14.09,42.46,0.71,0.0,15.59,03-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
03-Feb-2019 - 00:00,212.68,156.24,36.41,15.83,52.24,0.72,0.0,17.54,04-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
04-Feb-2019 - 00:00,325.48,154.35,81.68,28.89,110.55,1.28,,33.37,05-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
05-Feb-2019 - 00:00,495.93,183.7,146.27,43.81,190.09,2.09,,28.8,06-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
06-Feb-2019 - 00:00,236.9,68.39,49.36,18.15,67.51,0.92,,16.33,07-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
07-Feb-2019 - 00:00,86.76,21.52,39.02,13.75,52.77,0.45,,16.35,08-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
08-Feb-2019 - 00:00,162.76,42.98,52.53,19.14,71.67,0.51,,48.18,09-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
09-Feb-2019 - 00:00,143.54,57.14,52.02,17.37,69.39,0.46,,23.69,10-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
10-Feb-2019 - 00:00,205.25,88.89,50.54,17.41,67.95,0.62,,27.47,11-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
11-Feb-2019 - 00:00,328.89,150.3,67.33,21.7,89.03,0.99,,73.17,12-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
12-Feb-2019 - 00:00,378.79,185.89,64.15,22.0,86.15,1.05,,74.58,13-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
13-Feb-2019 - 00:00,337.58,165.58,47.59,18.54,66.13,1.15,,37.22,14-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
14-Feb-2019 - 00:00,206.65,126.88,35.38,13.66,49.04,0.92,,27.96,15-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
15-Feb-2019 - 00:00,161.29,94.11,23.65,10.47,34.12,0.74,0.0,23.8,16-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
16-Feb-2019 - 00:00,160.1,92.97,17.92,8.25,26.17,0.73,,19.05,17-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
17-Feb-2019 - 00:00,141.58,75.52,22.32,9.35,31.67,0.72,,18.8,18-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
18-Feb-2019 - 00:00,148.44,64.78,13.01,8.08,21.09,0.71,,31.72,19-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
19-Feb-2019 - 00:00,216.79,99.84,15.76,8.64,24.4,0.84,,30.3,20-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
20-Feb-2019 - 00:00,173.82,85.5,29.73,10.93,40.66,0.91,,20.03,21-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
21-Feb-2019 - 00:00,196.85,73.36,22.56,6.05,20.1,0.71,,25.16,22-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
22-Feb-2019 - 00:00,151.79,60.59,55.2,15.94,33.66,0.78,,25.9,23-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
23-Feb-2019 - 00:00,88.42,34.93,45.4,20.54,18.92,0.51,0.0,35.38,24-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
24-Feb-2019 - 00:00,134.45,60.99,9.61,7.85,17.46,0.67,,37.93,25-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
25-Feb-2019 - 00:00,140.67,65.28,13.84,8.98,22.82,0.73,,33.54,26-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
26-Feb-2019 - 00:00,93.58,45.15,11.5,7.55,19.05,0.64,,28.86,27-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
27-Feb-2019 - 00:00,88.9,46.54,9.01,6.56,15.57,0.57,,43.12,28-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
