from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,SR,RH,RF,WS,WD,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Feb-2019 - 00:00,30.37,109.96,21.15,32.21,11.07,24.2,4.21,1.71,38.74,1.4,18.55,1.38,1.36,1.41,29.3,28.25,0.0,0.34,166.46,02-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Feb-2019 - 00:00,71.99,158.88,44.89,60.16,15.27,14.19,9.91,2.1,40.72,1.41,18.58,1.4,1.4,1.4,172.99,41.22,0.0,1.0,117.15,05-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Feb-2019 - 00:00,65.01,128.22,57.72,77.76,20.04,12.68,10.02,1.96,38.03,1.4,18.54,1.4,1.13,1.13,86.85,48.26,0.0,0.53,192.38,06-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Feb-2019 - 00:00,32.49,76.91,37.43,47.58,10.16,18.82,9.36,1.6,31.73,1.4,18.58,1.4,1.4,1.4,146.89,39.46,0.0,1.04,235.69,07-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Feb-2019 - 00:00,43.96,147.62,36.28,45.55,9.27,19.16,7.94,1.77,36.33,1.4,18.61,1.4,1.4,1.39,156.91,35.78,0.0,1.47,230.6,08-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Feb-2019 - 00:00,80.35,203.5,29.85,38.61,8.75,22.05,11.79,1.68,29.14,1.4,20.0,1.4,1.36,1.39,160.21,32.04,0.0,0.85,208.32,09-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Feb-2019 - 00:00,46.67,105.15,32.17,40.34,8.17,22.9,2.13,1.86,32.57,1.4,23.16,1.4,1.3,1.39,169.69,40.4,0.0,0.85,158.72,10-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Feb-2019 - 00:00,44.14,79.2,46.32,55.18,8.66,20.03,2.25,1.83,31.64,1.4,23.27,1.4,1.31,1.4,169.41,39.17,0.0,0.92,142.72,11-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Feb-2019 - 00:00,44.91,92.09,41.15,49.16,8.01,20.31,2.55,1.83,36.25,1.41,23.19,1.4,1.3,1.4,161.56,35.21,0.0,0.97,130.0,12-Feb-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
