from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RH,RF,WS,WD,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
07-Jan-2019 - 00:00,51.22,30.52,4.69,,69.46,1.03,12.93,11.97,162.82,6.32,,6.21,10.64,11.26,,0.01,,0.0,0.31,258.34,08-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
08-Jan-2019 - 00:00,39.24,24.17,4.57,,42.54,0.8,26.11,0.46,133.48,5.26,62.45,2.87,1.41,2.87,,246.91,,0.0,0.52,236.99,09-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
09-Jan-2019 - 00:00,19.15,11.92,2.58,0.44,9.39,1.45,52.67,15.19,153.37,5.28,,2.67,2.16,3.65,,292.58,,0.0,0.7,230.96,10-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
10-Jan-2019 - 00:00,56.26,75.0,56.86,2.08,22.76,1.53,22.56,44.91,245.6,13.23,,11.58,5.49,8.48,,286.99,,0.0,0.36,166.26,11-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
11-Jan-2019 - 00:00,37.24,139.93,131.89,,98.35,1.49,21.62,54.71,279.7,8.4,,4.53,2.62,4.02,,231.81,,0.0,0.26,99.74,12-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
12-Jan-2019 - 00:00,0.55,58.27,72.46,,117.78,0.98,14.69,50.56,243.64,12.0,,10.27,29.63,23.12,,214.09,,0.0,0.28,94.17,13-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
13-Jan-2019 - 00:00,0.57,68.05,84.65,,1.31,0.86,19.26,33.92,193.98,8.78,,11.03,34.33,25.34,,197.86,,0.0,0.38,178.99,14-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
14-Jan-2019 - 00:00,18.97,29.15,26.63,0.01,2.82,0.79,27.0,19.44,120.73,4.01,,5.43,15.85,12.46,,279.45,,0.0,0.81,244.16,15-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
15-Jan-2019 - 00:00,41.17,26.29,4.88,,6.32,0.71,17.42,17.61,125.88,5.1,444.4,4.61,11.39,9.92,,197.74,,0.0,0.61,229.78,16-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
16-Jan-2019 - 00:00,62.93,94.77,79.75,,6.83,1.57,21.95,90.26,283.66,15.69,16.23,9.32,6.84,13.19,,203.1,,0.0,0.27,103.19,17-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
17-Jan-2019 - 00:00,45.18,116.26,114.51,8.19,6.41,1.47,22.44,91.25,274.3,12.32,444.4,6.27,3.98,6.48,,232.6,,0.0,0.36,197.89,18-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
18-Jan-2019 - 00:00,49.38,59.63,55.2,4.26,5.48,0.96,35.34,52.91,216.35,6.73,,3.48,1.11,2.66,,203.4,,0.0,0.42,249.84,19-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
19-Jan-2019 - 00:00,63.06,114.41,100.49,11.52,1.53,0.96,30.32,38.23,184.16,,,,0.0,0.0,,194.59,,0.0,0.35,222.31,20-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
20-Jan-2019 - 00:00,69.79,220.45,197.69,9.11,5.19,2.16,17.85,17.79,248.96,,,,0.0,0.0,,177.73,,0.0,0.27,156.99,21-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
21-Jan-2019 - 00:00,39.52,59.09,46.86,8.15,6.01,0.86,37.14,83.22,263.02,3.74,,2.06,1.51,1.93,,118.92,,0.0,0.32,103.89,22-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
22-Jan-2019 - 00:00,26.49,24.06,11.66,6.71,5.95,0.67,35.14,23.54,53.92,2.49,,2.25,5.4,5.21,,71.63,,0.0,0.35,104.53,23-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
23-Jan-2019 - 00:00,39.67,53.72,40.07,0.77,5.65,0.81,18.5,55.22,137.99,5.33,,3.81,5.41,9.08,,213.89,,0.0,0.25,145.27,24-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
24-Jan-2019 - 00:00,27.58,36.28,26.18,2.88,5.66,0.62,26.9,64.99,143.06,4.67,,3.19,5.95,7.45,,202.91,,0.0,0.43,145.69,25-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
25-Jan-2019 - 00:00,21.24,18.74,8.66,3.93,24.0,0.72,34.68,42.58,86.88,3.01,,2.8,4.26,4.45,,228.17,,0.0,0.44,195.09,26-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
26-Jan-2019 - 00:00,13.8,7.02,5.04,2.26,34.87,0.56,41.65,69.97,145.67,2.63,,1.12,0.7,1.2,,214.08,,0.0,0.55,277.98,27-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
27-Jan-2019 - 00:00,14.9,6.67,2.56,5.02,5.49,0.52,44.61,54.29,113.54,2.46,,0.87,0.04,0.09,,,,0.0,0.75,288.39,28-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
28-Jan-2019 - 00:00,34.93,10.47,2.61,1.52,5.48,0.53,48.64,52.08,120.65,,,,0.0,0.0,,338.82,,0.0,0.86,292.58,29-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
29-Jan-2019 - 00:00,31.39,18.82,2.86,3.66,15.74,0.74,48.99,62.56,141.1,4.38,,2.53,1.12,1.96,,65.56,,0.0,1.06,298.36,30-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
30-Jan-2019 - 00:00,38.88,34.41,24.99,1.01,7.88,0.98,32.55,78.63,178.74,6.11,,3.81,5.23,8.31,,201.85,,0.0,0.78,285.97,31-Jan-2019 - 00:00,"Sector-12, Karnal - HSPCB"
31-Jan-2019 - 00:00,51.53,53.42,33.5,2.76,14.6,1.13,21.29,107.59,244.63,8.04,,3.07,4.4,6.76,,143.08,,0.0,0.37,155.17,01-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
01-Feb-2019 - 00:00,40.77,28.02,7.48,5.52,16.7,0.93,23.85,91.54,186.39,6.96,,3.42,5.88,7.36,,163.27,,0.0,0.68,213.35,02-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
02-Feb-2019 - 00:00,20.94,14.09,3.13,5.49,10.73,0.82,20.02,80.22,151.51,6.46,,5.07,13.24,10.65,,204.65,,0.0,0.91,285.84,03-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
03-Feb-2019 - 00:00,21.29,16.29,5.75,4.85,13.46,0.93,29.1,55.48,113.93,6.58,,5.92,16.32,12.56,,230.23,,0.0,0.72,277.26,04-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
04-Feb-2019 - 00:00,36.6,31.71,16.83,4.93,14.28,1.34,21.69,69.21,162.65,9.54,,7.66,13.23,16.02,,219.22,,0.0,0.49,252.23,05-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
05-Feb-2019 - 00:00,122.18,43.22,120.08,48.51,17.15,1.59,18.6,103.28,216.32,14.04,1.8,9.13,12.98,19.05,,208.16,,0.12,0.37,129.78,06-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
06-Feb-2019 - 00:00,43.06,34.9,30.99,53.01,17.48,1.03,29.56,120.87,194.84,8.86,2.06,6.12,11.82,12.64,,192.53,,0.0,0.47,111.78,07-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
07-Feb-2019 - 00:00,12.8,16.56,5.18,48.49,15.08,0.55,32.34,60.12,105.55,4.62,1.98,4.49,11.07,9.43,,71.83,,0.05,0.47,149.11,08-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
08-Feb-2019 - 00:00,19.45,21.12,10.5,37.0,17.07,0.52,29.3,41.37,104.88,3.77,1.92,3.99,8.35,8.71,,209.83,,0.0,0.82,259.8,09-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
09-Feb-2019 - 00:00,8.54,9.52,4.37,32.39,19.77,0.49,35.54,43.11,86.42,3.88,1.97,4.01,10.09,8.75,,231.39,,0.0,1.22,303.94,10-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
10-Feb-2019 - 00:00,9.8,12.06,4.36,34.25,25.86,0.53,22.34,52.43,103.14,4.62,2.0,4.84,13.4,10.65,,210.5,,0.0,0.94,309.18,11-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
11-Feb-2019 - 00:00,17.03,22.47,6.97,37.91,23.08,0.85,41.51,82.24,150.41,6.01,3.51,4.89,9.12,9.36,,295.77,,0.0,0.66,294.78,12-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
12-Feb-2019 - 00:00,19.88,24.88,8.07,36.13,32.79,0.84,36.46,113.62,170.29,6.36,3.16,5.29,11.51,11.37,,245.36,,0.0,0.45,246.04,13-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
13-Feb-2019 - 00:00,68.14,51.34,51.51,51.81,39.93,1.26,32.92,123.5,244.58,8.86,3.5,6.6,13.31,14.04,,231.38,,0.0,0.36,170.17,14-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
14-Feb-2019 - 00:00,33.5,38.53,16.67,48.48,19.28,0.78,19.97,97.28,136.67,7.47,2.49,5.7,10.6,11.76,,103.08,,0.04,0.6,121.73,15-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
15-Feb-2019 - 00:00,20.7,22.61,11.08,43.31,22.27,0.69,20.2,62.89,94.46,5.83,2.88,4.89,10.87,10.52,,163.01,,0.0,0.66,200.56,16-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
16-Feb-2019 - 00:00,15.29,18.23,7.16,36.4,23.12,0.64,22.98,62.52,107.98,5.35,1.78,3.78,7.24,8.25,,168.12,,0.0,0.5,263.04,17-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
17-Feb-2019 - 00:00,9.73,11.56,4.5,36.88,36.13,0.56,36.07,49.16,90.13,4.76,3.13,4.47,10.13,9.44,,156.4,,0.0,0.61,287.78,18-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
18-Feb-2019 - 00:00,21.54,24.75,10.74,43.41,45.62,0.57,26.27,56.47,110.15,5.11,2.81,4.43,8.38,8.41,,147.95,,0.0,0.41,120.22,19-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
19-Feb-2019 - 00:00,20.03,25.48,8.38,37.39,48.43,0.67,33.04,62.1,119.81,5.78,1.99,3.68,7.63,8.02,,145.65,,0.0,0.42,119.89,20-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
20-Feb-2019 - 00:00,26.04,29.15,13.47,40.32,52.44,0.66,13.38,67.71,106.54,6.73,2.54,4.44,9.49,9.87,,83.12,,0.01,0.62,128.34,21-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
21-Feb-2019 - 00:00,46.15,29.69,38.2,40.42,47.16,0.71,19.14,39.69,99.38,5.61,1.9,4.95,7.71,10.28,,219.4,,0.04,0.47,148.33,22-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
22-Feb-2019 - 00:00,15.76,14.64,9.98,36.84,19.1,0.54,29.03,60.8,108.31,5.49,2.16,4.83,8.2,10.09,,292.1,,0.0,1.15,283.95,23-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
23-Feb-2019 - 00:00,9.06,10.02,4.56,34.75,10.8,0.43,43.8,32.2,74.28,3.77,2.84,3.65,8.74,7.88,,264.47,,0.0,1.36,278.61,24-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
24-Feb-2019 - 00:00,24.25,25.44,13.59,65.34,16.61,0.66,48.27,42.48,84.79,4.23,3.12,3.96,5.24,4.58,,288.44,,0.0,0.87,272.93,25-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
25-Feb-2019 - 00:00,28.47,37.98,10.72,24.93,20.3,0.59,37.51,69.2,149.46,5.32,2.05,4.09,7.54,8.93,,247.68,,0.0,0.42,168.04,26-Feb-2019 - 00:00,"Sector-12, Karnal - HSPCB"
