from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,RH,SR,RF,WS,WD,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
07-Jan-2019 - 00:00,70.97,22.68,48.28,72.04,14.91,0.75,17.79,68.83,129.57,4.57,9.48,1.83,1.76,0.26,,,9.14,-0.0,0.63,209.5,08-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
08-Jan-2019 - 00:00,66.76,24.53,42.23,73.28,30.83,0.62,17.1,62.74,155.98,5.62,10.23,4.44,2.1,2.83,,,9.14,0.0,0.79,245.94,09-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
09-Jan-2019 - 00:00,50.14,21.91,40.8,29.97,19.46,0.69,20.87,66.16,208.44,6.5,8.16,8.85,1.4,2.34,12.41,51.94,297.97,0.0,1.08,265.86,10-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
10-Jan-2019 - 00:00,56.12,87.05,99.8,24.99,19.66,1.1,3.96,98.66,188.87,11.2,6.8,9.32,3.41,6.67,,,,0.0,0.52,215.21,11-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
11-Jan-2019 - 00:00,57.45,109.4,118.42,29.88,28.13,1.36,16.71,155.35,246.48,13.6,7.42,4.77,5.63,8.04,,,,0.0,0.23,125.0,12-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
12-Jan-2019 - 00:00,54.84,99.69,109.27,23.2,17.19,1.32,4.52,163.74,269.78,16.16,6.73,4.11,6.4,8.38,,,,0.0,0.2,176.11,13-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
13-Jan-2019 - 00:00,31.81,16.44,30.48,19.45,24.06,1.04,19.43,88.03,159.63,6.77,7.37,4.12,4.38,3.52,,,,0.0,0.19,149.25,14-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
14-Jan-2019 - 00:00,41.6,12.34,32.29,7.84,34.55,0.37,23.37,43.87,98.54,4.92,11.96,1.22,1.26,2.42,,,,0.0,1.47,268.81,15-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
15-Jan-2019 - 00:00,46.69,33.86,52.23,14.81,51.42,0.64,14.61,63.86,113.99,9.61,7.85,2.09,1.79,3.39,,71.11,42.34,0.0,0.99,246.68,16-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
16-Jan-2019 - 00:00,49.69,97.73,105.01,35.84,22.72,1.32,18.06,149.02,316.94,12.16,6.54,5.54,5.4,9.91,,75.58,189.57,0.0,0.22,145.03,17-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
17-Jan-2019 - 00:00,59.69,113.64,122.66,24.11,15.54,1.55,14.82,192.53,344.34,13.45,9.56,3.84,4.01,6.56,,78.64,321.31,0.0,0.47,258.5,18-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
18-Jan-2019 - 00:00,41.4,81.1,81.86,29.76,16.79,0.88,12.91,108.72,209.32,8.44,5.97,2.3,2.41,4.06,,79.13,427.37,0.0,0.67,267.84,19-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
