from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
01-Jan-2019 - 00:00,137.77,275.41,20.83,38.63,59.46,33.65,1.02,0.75,12.23,13.51,3.14,12.09,5.41,02-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Jan-2019 - 00:00,191.1,347.94,25.34,26.33,52.91,55.08,0.87,0.86,15.37,11.41,2.18,8.16,3.83,03-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Jan-2019 - 00:00,216.06,357.87,25.3,43.3,68.6,57.21,0.49,0.87,7.89,16.31,10.94,29.21,11.47,04-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Jan-2019 - 00:00,174.08,314.13,26.74,25.82,52.56,50.92,0.43,1.0,6.34,11.89,5.12,21.16,8.83,05-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Jan-2019 - 00:00,197.64,344.53,22.9,14.26,37.16,55.02,0.53,0.71,15.92,10.51,2.25,10.19,4.79,06-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Jan-2019 - 00:00,126.93,204.14,22.28,5.46,27.75,61.71,0.53,0.52,14.69,6.77,2.3,8.87,3.78,07-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Jan-2019 - 00:00,120.18,206.81,18.83,16.86,35.69,58.51,0.67,0.6,7.98,7.46,4.23,16.66,6.35,08-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Jan-2019 - 00:00,99.86,178.24,27.22,5.53,31.87,35.04,2.32,0.56,14.19,6.69,7.59,30.35,10.42,09-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Jan-2019 - 00:00,353.54,160.84,31.1,11.35,39.45,24.06,5.25,0.65,18.0,5.45,10.49,31.71,10.2,10-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Jan-2019 - 00:00,128.36,230.96,27.67,69.5,94.17,26.85,5.15,0.99,18.69,8.05,6.53,18.7,4.52,11-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Jan-2019 - 00:00,170.92,309.36,33.33,131.05,161.37,34.06,5.91,1.09,17.7,8.45,,,5.63,12-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Jan-2019 - 00:00,170.33,325.61,34.82,106.96,138.78,35.9,7.1,1.05,18.84,8.82,,,2.7,13-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Jan-2019 - 00:00,164.4,289.07,35.57,34.05,66.62,31.03,6.89,0.91,20.58,7.61,,,3.84,14-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Jan-2019 - 00:00,62.79,110.3,23.28,12.78,33.06,18.31,5.27,0.54,19.11,3.19,,,4.75,15-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Jan-2019 - 00:00,59.55,124.87,29.42,48.03,74.45,20.05,5.44,0.56,18.61,3.95,,,5.1,16-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Jan-2019 - 00:00,160.8,271.46,28.77,110.26,136.02,30.35,6.38,1.21,18.16,7.32,,,3.0,17-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Jan-2019 - 00:00,215.41,338.6,39.58,105.13,141.69,28.71,9.48,1.45,16.66,8.53,,,1.18,18-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Jan-2019 - 00:00,167.83,287.7,31.9,43.69,72.59,23.24,11.49,1.01,19.08,7.5,,,0.84,19-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Jan-2019 - 00:00,141.69,285.85,30.6,72.51,100.09,25.8,11.08,1.25,18.32,6.3,,,0.36,20-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Jan-2019 - 00:00,103.69,215.31,30.17,20.38,47.55,25.72,10.19,0.89,25.61,5.43,,,0.94,21-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Jan-2019 - 00:00,70.0,159.52,21.44,9.95,29.61,17.63,6.14,0.67,24.07,3.03,,,1.83,22-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Jan-2019 - 00:00,63.57,92.8,18.67,29.87,23.15,45.53,4.76,0.73,18.71,3.85,,,6.51,23-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Jan-2019 - 00:00,96.56,148.1,23.78,69.97,27.38,90.69,5.33,0.95,7.74,8.45,,,16.15,24-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Jan-2019 - 00:00,144.92,257.09,10.66,34.5,29.17,40.04,4.43,0.88,13.81,5.41,,,14.04,25-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Jan-2019 - 00:00,62.71,119.67,0.88,20.15,17.84,18.33,4.41,0.57,10.61,2.69,,,3.98,26-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Jan-2019 - 00:00,84.42,157.4,17.6,5.27,15.19,13.5,8.28,0.72,21.27,3.34,,,5.15,27-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Jan-2019 - 00:00,82.55,121.19,41.36,14.16,16.13,29.26,3.53,0.69,20.22,3.4,,,4.75,28-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Jan-2019 - 00:00,74.62,119.67,59.92,29.47,19.01,47.26,3.76,0.72,17.49,3.68,,,18.07,29-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Jan-2019 - 00:00,71.97,118.25,56.55,35.57,68.57,64.31,9.52,0.86,16.59,4.07,,,21.61,30-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Jan-2019 - 00:00,117.45,214.38,70.39,63.84,160.5,71.68,12.7,1.21,15.99,12.91,,,17.19,31-Jan-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-Jan-2019 - 00:00,99.92,175.72,44.42,43.78,108.87,42.76,11.66,0.95,28.38,7.51,,,8.6,01-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Feb-2019 - 00:00,112.86,169.88,25.9,12.14,74.43,39.66,10.95,1.13,22.71,7.79,,,16.0,02-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Feb-2019 - 00:00,121.13,172.66,34.84,26.9,70.56,40.64,9.27,0.93,15.95,7.9,,,28.17,03-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Feb-2019 - 00:00,110.73,156.16,39.71,12.5,27.52,25.94,10.01,0.43,18.56,10.6,,,11.91,04-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Feb-2019 - 00:00,125.71,209.41,68.7,131.87,107.29,31.62,6.79,1.53,12.92,13.38,,,18.64,05-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Feb-2019 - 00:00,115.29,197.41,57.24,107.94,89.01,36.06,4.53,1.78,32.26,8.71,,,11.12,06-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Feb-2019 - 00:00,106.91,152.48,37.44,4.14,21.78,27.39,4.64,1.51,26.91,7.51,,,4.96,07-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Feb-2019 - 00:00,55.14,84.57,26.86,5.41,16.61,19.55,4.43,1.01,20.62,4.13,,,4.9,08-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Feb-2019 - 00:00,59.75,162.62,50.38,65.88,60.53,22.17,6.22,1.13,18.1,5.79,,,34.06,09-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Feb-2019 - 00:00,65.48,116.27,47.32,51.54,51.0,20.3,5.86,1.26,20.42,7.82,,,32.29,10-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Feb-2019 - 00:00,93.39,184.27,57.77,56.08,72.78,28.09,7.27,1.43,18.23,9.13,,,26.63,11-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Feb-2019 - 00:00,123.7,253.31,74.09,176.75,137.82,36.17,8.26,2.15,18.53,7.18,,,15.51,12-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Feb-2019 - 00:00,142.73,271.04,82.88,119.94,106.6,37.85,6.93,2.13,25.26,4.14,,,7.83,13-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
