from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
07-Jan-2019 - 00:00,36.12,19.43,1.68,0.0,21.89,0.83,33.47,90.65,158.32,2.14,,6.36,3.3,80.5,1.62,286.17,,0.0,08-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
08-Jan-2019 - 00:00,34.12,19.16,2.67,0.0,31.76,0.69,46.44,83.59,136.54,2.0,,10.38,4.96,79.41,2.01,275.16,224.5,0.0,09-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
09-Jan-2019 - 00:00,34.9,19.62,2.7,0.0,30.71,0.8,59.44,84.75,155.5,2.14,,9.91,4.86,69.21,2.4,273.7,277.82,0.0,10-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
10-Jan-2019 - 00:00,42.89,43.35,27.12,0.0,28.78,1.05,41.66,113.52,223.79,2.66,,10.01,5.31,75.46,1.38,246.31,232.34,0.0,11-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
11-Jan-2019 - 00:00,54.38,69.49,52.24,0.0,24.05,1.39,35.53,152.9,252.04,3.82,,8.34,4.99,74.54,0.92,183.72,246.75,0.0,12-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
12-Jan-2019 - 00:00,55.79,40.32,14.92,0.0,27.87,1.34,38.94,134.63,227.69,3.84,0.0,11.3,5.7,70.01,0.96,153.88,242.47,0.0,13-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
13-Jan-2019 - 00:00,35.97,19.98,2.49,0.0,18.26,0.85,46.41,104.37,166.89,2.35,0.0,11.39,5.31,73.06,1.75,226.43,208.16,0.0,14-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
14-Jan-2019 - 00:00,24.48,13.36,1.71,0.0,16.52,0.54,41.43,53.3,110.36,1.38,,6.95,3.27,65.57,2.71,283.75,301.49,0.0,15-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
15-Jan-2019 - 00:00,34.52,21.76,5.65,0.0,15.31,0.8,42.96,73.48,137.68,1.89,,6.21,3.16,70.73,1.91,263.04,204.21,0.0,16-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
16-Jan-2019 - 00:00,57.87,58.03,35.82,0.0,16.81,1.33,41.16,133.51,267.84,3.38,0.0,6.3,3.92,90.3,0.88,165.15,236.52,0.0,17-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
17-Jan-2019 - 00:00,48.68,39.69,18.72,0.1,24.08,1.45,48.92,160.96,253.43,4.34,0.0,5.1,3.54,78.08,1.16,251.68,245.57,0.0,18-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
18-Jan-2019 - 00:00,49.26,59.65,43.29,0.0,22.27,1.04,54.53,127.57,202.44,5.45,0.0,11.79,7.35,79.12,1.67,283.85,272.71,0.0,19-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
19-Jan-2019 - 00:00,56.92,73.23,55.24,0.0,22.12,1.0,47.28,112.64,186.16,8.72,0.0,16.87,8.98,71.08,1.32,269.03,251.87,0.0,20-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
20-Jan-2019 - 00:00,63.87,110.45,97.11,0.0,28.04,1.39,25.98,143.98,259.03,,0.0,0.0,0.0,74.75,0.83,137.11,176.9,0.0,21-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
21-Jan-2019 - 00:00,43.01,39.04,21.66,0.0,18.13,1.01,54.68,117.49,234.46,7.87,0.0,16.35,8.31,73.32,1.97,99.16,143.89,0.0,22-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
22-Jan-2019 - 00:00,22.31,17.3,7.96,0.0,9.52,0.52,45.42,19.45,50.89,3.3,0.0,15.9,7.62,92.64,1.79,94.01,82.02,0.0,23-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
23-Jan-2019 - 00:00,30.88,24.96,12.61,0.0,21.38,0.66,34.19,38.86,83.14,5.08,0.0,21.09,10.97,76.04,1.17,297.05,280.89,0.0,24-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
24-Jan-2019 - 00:00,28.2,23.17,11.53,0.0,33.64,0.58,40.68,64.14,126.77,5.74,0.0,27.3,14.29,77.75,1.57,265.35,269.22,0.0,25-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
25-Jan-2019 - 00:00,20.73,12.85,3.75,0.0,26.7,0.45,53.62,50.05,87.04,4.44,0.0,27.28,14.16,76.68,1.52,225.91,158.95,0.0,26-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
26-Jan-2019 - 00:00,19.73,12.06,3.19,0.0,40.55,0.55,44.34,76.48,127.87,5.09,0.0,23.47,12.46,71.48,2.05,296.19,123.37,0.0,27-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
27-Jan-2019 - 00:00,17.49,10.47,2.66,0.0,31.38,0.49,55.2,61.16,103.0,5.37,0.0,26.74,13.58,68.77,2.21,286.52,140.92,0.0,28-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
28-Jan-2019 - 00:00,14.32,8.43,2.33,0.0,26.1,0.45,58.67,52.39,92.51,4.19,0.0,18.45,10.0,63.37,2.19,279.14,128.44,0.0,29-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
