from date,NOx,NO2,NO,PM2.5,PM10,SO2,to date,station
01-Jan-2019 - 00:00,71.18,,,79.98,214.84,7.05,02-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Jan-2019 - 00:00,102.76,,,98.82,224.2,9.18,03-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Jan-2019 - 00:00,77.26,,,64.17,157.23,9.03,04-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Jan-2019 - 00:00,61.53,,,61.24,146.43,7.17,05-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Jan-2019 - 00:00,61.45,,,83.01,171.32,6.39,06-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Jan-2019 - 00:00,50.1,,,66.8,140.82,6.59,07-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Jan-2019 - 00:00,62.75,,,113.4,188.59,7.65,08-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Jan-2019 - 00:00,63.79,,,108.64,189.77,6.35,09-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Jan-2019 - 00:00,74.75,,,97.25,178.19,6.8,10-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Jan-2019 - 00:00,69.38,,,69.86,150.56,8.85,11-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Jan-2019 - 00:00,62.68,,,54.45,134.2,8.76,12-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Jan-2019 - 00:00,59.3,,,57.4,131.93,9.34,13-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Jan-2019 - 00:00,55.26,,,57.16,127.65,8.37,14-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Jan-2019 - 00:00,65.19,,,83.46,169.25,7.77,15-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Jan-2019 - 00:00,63.56,,,72.07,162.14,6.89,16-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Jan-2019 - 00:00,70.04,,,70.21,172.14,7.58,17-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Jan-2019 - 00:00,76.92,,,73.14,159.21,10.92,18-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Jan-2019 - 00:00,56.56,,,50.42,137.72,8.64,19-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Jan-2019 - 00:00,69.24,,,42.6,130.88,7.77,20-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Jan-2019 - 00:00,49.63,,,78.99,250.27,9.22,21-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Jan-2019 - 00:00,57.09,,,73.98,205.92,10.69,22-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Jan-2019 - 00:00,35.22,,,64.15,169.62,9.1,23-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Jan-2019 - 00:00,55.58,,,62.44,158.54,9.55,24-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Jan-2019 - 00:00,67.18,,,83.01,168.28,11.39,25-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Jan-2019 - 00:00,48.38,,,86.57,156.94,10.17,26-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
