from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
08-Jan-2019 - 00:00,75.03,138.63,26.54,2.1,15.55,,15.08,0.65,9.85,4.83,,5.11,7.65,11.09,66.7,213.13,0.98,199.54,0.0,09-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
09-Jan-2019 - 00:00,62.55,252.14,26.73,4.17,17.31,,15.05,0.58,9.57,5.53,,5.08,7.58,7.45,65.98,384.68,0.79,220.33,0.0,10-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
10-Jan-2019 - 00:00,59.41,225.89,36.56,10.75,26.99,,12.76,0.65,11.45,6.4,,4.6,6.62,8.08,47.99,422.2,0.98,138.43,0.0,11-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
11-Jan-2019 - 00:00,82.65,186.14,42.42,41.55,53.08,,13.44,0.83,8.67,7.53,,5.7,9.17,12.07,63.34,234.25,0.9,162.3,0.0,12-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
12-Jan-2019 - 00:00,88.53,212.5,46.81,51.16,63.08,,14.12,1.05,9.25,9.24,,6.44,7.48,10.47,64.21,277.18,1.01,164.08,0.0,13-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
13-Jan-2019 - 00:00,125.33,184.66,36.25,6.59,21.82,,15.14,0.9,9.07,8.42,,6.27,9.3,13.54,61.99,526.13,0.95,200.8,0.0,14-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
14-Jan-2019 - 00:00,60.25,91.49,28.07,7.94,18.63,,12.24,0.54,8.41,4.89,,4.91,6.59,10.28,60.64,522.34,0.54,252.28,0.0,15-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
15-Jan-2019 - 00:00,57.77,123.92,36.37,27.15,38.37,,12.52,0.62,11.44,5.45,0.19,5.21,7.35,11.25,49.11,302.71,0.83,234.65,0.0,16-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
16-Jan-2019 - 00:00,96.07,199.43,44.5,67.1,74.65,,13.55,0.83,9.91,7.59,0.13,6.52,8.7,14.43,65.18,227.31,0.95,112.12,0.0,17-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
17-Jan-2019 - 00:00,120.71,204.26,44.93,31.5,46.33,,37.82,0.99,12.38,9.7,0.21,5.39,7.3,10.11,65.33,307.27,1.01,243.45,0.0,18-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
18-Jan-2019 - 00:00,140.32,270.33,55.62,34.45,54.28,,10.33,0.99,9.51,9.27,0.8,4.95,6.85,9.81,67.65,395.57,0.93,182.06,0.0,19-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
19-Jan-2019 - 00:00,133.29,267.65,48.14,59.66,70.59,,10.85,1.11,10.39,9.57,0.79,5.84,7.19,10.74,66.02,239.75,0.82,114.19,0.0,20-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
20-Jan-2019 - 00:00,109.77,234.28,46.71,40.67,54.62,,10.77,1.01,12.9,9.7,0.75,5.79,7.89,11.87,50.26,402.31,1.19,135.29,0.0,21-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
21-Jan-2019 - 00:00,95.93,175.79,39.44,8.71,25.19,,9.51,0.88,8.78,7.75,0.6,4.37,6.16,9.44,69.26,160.3,1.19,172.92,0.0,22-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
22-Jan-2019 - 00:00,75.62,71.47,28.33,9.54,20.04,,9.08,0.51,8.21,4.8,0.55,3.98,5.33,8.33,78.09,273.24,1.0,193.82,0.0,23-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
23-Jan-2019 - 00:00,56.53,70.35,32.56,22.2,32.41,,11.26,0.63,8.12,5.98,0.65,5.44,7.99,11.67,89.63,365.16,0.71,220.72,0.0,24-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
24-Jan-2019 - 00:00,68.86,85.4,30.97,20.21,29.99,,10.65,0.63,7.18,6.76,0.55,4.62,6.5,9.85,92.1,141.44,1.03,263.28,0.0,25-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
25-Jan-2019 - 00:00,53.58,71.14,30.89,11.64,23.06,,9.55,0.5,7.89,4.04,0.52,3.79,5.45,8.21,79.96,329.16,0.92,242.37,0.0,26-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
26-Jan-2019 - 00:00,77.51,104.77,37.16,15.33,29.31,,9.04,0.61,9.46,5.05,0.55,3.77,5.31,8.21,71.55,370.36,0.89,210.2,0.0,27-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
27-Jan-2019 - 00:00,70.16,92.28,42.31,13.28,30.35,,9.84,0.59,8.07,5.43,0.55,3.89,5.64,8.71,66.37,314.47,0.9,218.34,0.0,28-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
28-Jan-2019 - 00:00,56.98,83.19,43.3,13.06,30.69,,9.79,0.48,8.08,4.54,0.56,4.05,5.68,8.82,54.9,383.73,0.78,235.22,0.0,29-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
