from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,1.95,0.0,0.27,0.56,762.42,162.7,84.88,0.0,50.73,18.93,142.06,0.86,0.81,20.99,24.12,33.73,57.35,18.9,11.03,02-Jan-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
02-Jan-2019 - 00:00,2.16,0.3,0.39,1.4,761.45,157.1,76.67,0.0,52.87,19.74,166.68,0.7,0.8,18.6,35.46,28.94,64.4,14.76,9.64,03-Jan-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
03-Jan-2019 - 00:00,1.65,0.0,0.13,0.65,762.62,156.82,76.46,0.0,49.33,20.1,153.01,0.74,1.1,21.9,23.84,29.57,52.66,18.74,7.31,04-Jan-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
04-Jan-2019 - 00:00,1.3,0.0,0.2,0.31,763.19,210.9,152.73,0.0,53.4,19.35,151.01,0.97,0.92,25.39,15.99,37.01,47.17,21.95,9.1,05-Jan-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
05-Jan-2019 - 00:00,1.87,0.0,0.1,0.64,767.97,181.85,95.13,0.0,64.43,19.16,172.86,0.91,1.01,27.71,24.88,40.47,65.27,17.18,10.92,06-Jan-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
06-Jan-2019 - 00:00,1.45,0.0,0.08,0.15,767.47,189.82,100.69,0.0,65.37,18.11,292.05,1.18,0.44,25.71,15.59,42.24,57.16,21.84,6.45,07-Jan-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
07-Jan-2019 - 00:00,1.6,0.0,0.0,0.31,766.31,155.73,95.67,0.0,67.26,17.04,194.99,1.14,0.59,25.2,18.0,42.75,59.46,22.98,6.61,08-Jan-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
08-Jan-2019 - 00:00,1.86,0.0,0.02,0.5,764.4,174.36,93.29,0.0,64.38,16.96,159.36,0.82,0.66,28.54,25.36,50.31,75.06,15.17,7.43,09-Jan-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
09-Jan-2019 - 00:00,1.58,0.0,0.01,0.64,760.64,152.78,84.62,0.0,56.17,17.49,174.32,0.82,0.58,26.44,32.65,48.52,73.86,21.09,13.41,10-Jan-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
10-Jan-2019 - 00:00,1.25,0.0,0.03,0.2,753.88,150.15,68.6,0.0,47.87,18.01,139.65,0.83,0.54,25.35,19.19,48.06,67.25,20.57,9.6,11-Jan-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
11-Jan-2019 - 00:00,4.04,2.95,4.29,4.66,758.05,159.25,75.55,0.0,51.83,17.37,145.66,0.87,0.76,26.49,33.94,46.76,79.83,17.23,7.53,12-Jan-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
12-Jan-2019 - 00:00,2.38,0.66,2.14,1.3,757.75,158.34,88.13,0.0,58.39,15.44,166.66,0.89,0.71,28.19,46.11,44.0,87.46,20.04,7.74,13-Jan-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
