from date,PM10,PM2.5,NO2,NO,NOx,CO,to date,station
01-Jan-2019 - 00:00,,,,,,,02-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Jan-2019 - 00:00,,,,,,,03-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-Jan-2019 - 00:00,,,,,,,04-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Jan-2019 - 00:00,218.1,79.8,14.33,7.46,21.79,1.04,05-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Jan-2019 - 00:00,183.16,113.35,14.35,7.79,22.14,0.81,06-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Jan-2019 - 00:00,186.51,102.49,14.41,8.02,22.4,0.87,07-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-Jan-2019 - 00:00,229.98,165.13,14.33,7.43,21.77,0.94,08-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-Jan-2019 - 00:00,232.2,130.93,14.34,7.5,21.8,0.89,09-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-Jan-2019 - 00:00,234.93,126.09,14.33,7.52,21.9,0.98,10-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-Jan-2019 - 00:00,231.25,104.27,14.33,7.48,21.81,1.03,11-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-Jan-2019 - 00:00,184.36,83.96,14.33,7.54,21.88,0.78,12-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-Jan-2019 - 00:00,165.18,82.91,14.34,7.48,21.88,0.65,13-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-Jan-2019 - 00:00,227.88,141.43,14.31,7.45,21.77,0.76,14-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-Jan-2019 - 00:00,180.72,124.02,14.34,7.46,21.8,0.78,15-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-Jan-2019 - 00:00,151.72,76.81,14.32,7.46,21.79,0.71,16-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-Jan-2019 - 00:00,179.97,74.76,14.34,7.44,21.83,0.92,17-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
17-Jan-2019 - 00:00,166.29,67.58,14.33,7.46,21.84,1.04,18-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-Jan-2019 - 00:00,215.29,78.65,14.33,7.42,21.84,0.75,19-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-Jan-2019 - 00:00,252.09,99.56,14.33,7.42,21.81,1.57,20-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
20-Jan-2019 - 00:00,152.22,63.13,14.31,7.48,21.87,0.56,21-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
21-Jan-2019 - 00:00,124.64,47.6,14.29,7.4,21.69,0.6,22-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
22-Jan-2019 - 00:00,151.65,57.59,14.31,7.46,21.93,0.39,23-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
23-Jan-2019 - 00:00,146.03,73.04,14.31,7.42,21.74,0.62,24-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
24-Jan-2019 - 00:00,141.43,116.29,14.34,7.42,21.74,0.58,25-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
25-Jan-2019 - 00:00,114.75,83.24,14.32,7.41,21.7,0.54,26-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
26-Jan-2019 - 00:00,76.21,56.54,14.35,7.46,21.84,0.44,27-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
27-Jan-2019 - 00:00,79.12,52.91,14.36,7.45,21.8,0.42,28-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
28-Jan-2019 - 00:00,85.07,56.6,14.34,7.48,21.72,0.43,29-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
29-Jan-2019 - 00:00,89.87,55.66,14.33,7.4,21.79,0.52,30-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
30-Jan-2019 - 00:00,148.8,77.65,14.34,7.44,21.81,0.78,31-Jan-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
31-Jan-2019 - 00:00,106.79,68.14,14.33,7.53,21.73,0.74,01-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
01-Feb-2019 - 00:00,105.1,63.21,14.34,7.44,21.85,0.7,02-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Feb-2019 - 00:00,142.35,87.63,14.32,7.47,21.74,0.6,03-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-Feb-2019 - 00:00,137.87,100.74,14.34,7.44,21.77,0.58,04-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Feb-2019 - 00:00,140.78,114.89,14.34,7.43,21.81,0.63,05-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Feb-2019 - 00:00,150.06,94.69,14.32,7.44,21.76,0.75,06-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Feb-2019 - 00:00,145.95,90.51,14.29,7.44,21.73,0.72,07-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-Feb-2019 - 00:00,107.92,60.23,14.29,7.43,21.73,0.47,08-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-Feb-2019 - 00:00,105.04,39.66,14.31,7.45,21.76,0.3,09-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-Feb-2019 - 00:00,92.53,43.45,14.32,7.42,21.73,0.32,10-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-Feb-2019 - 00:00,87.07,39.95,14.35,7.46,21.8,0.47,11-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-Feb-2019 - 00:00,89.25,46.81,14.33,7.49,21.81,0.45,12-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-Feb-2019 - 00:00,101.19,49.33,14.35,7.44,21.79,0.45,13-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-Feb-2019 - 00:00,119.02,63.51,14.33,7.46,21.8,0.58,14-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-Feb-2019 - 00:00,92.92,52.53,14.31,7.47,21.76,0.44,15-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-Feb-2019 - 00:00,61.66,44.4,14.3,7.5,21.73,0.39,16-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-Feb-2019 - 00:00,93.3,66.85,14.31,7.47,21.71,0.52,17-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
17-Feb-2019 - 00:00,85.87,53.35,14.29,7.35,21.61,0.49,18-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-Feb-2019 - 00:00,80.95,46.06,14.28,7.44,21.69,0.43,19-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-Feb-2019 - 00:00,120.62,56.74,14.3,7.43,21.75,0.69,20-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
20-Feb-2019 - 00:00,107.06,49.28,14.32,7.42,21.74,0.46,21-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
21-Feb-2019 - 00:00,93.94,46.43,14.29,7.46,21.74,0.42,22-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
22-Feb-2019 - 00:00,80.53,46.56,14.32,7.46,21.8,0.4,23-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
23-Feb-2019 - 00:00,89.3,52.18,14.32,7.46,21.83,0.38,24-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
24-Feb-2019 - 00:00,63.49,33.55,14.28,7.42,21.71,0.35,25-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
25-Feb-2019 - 00:00,65.05,34.25,14.28,7.48,21.63,0.37,26-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
26-Feb-2019 - 00:00,87.03,46.54,14.27,7.39,21.75,0.36,27-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
27-Feb-2019 - 00:00,78.5,51.13,14.28,7.45,21.7,0.4,28-Feb-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
28-Feb-2019 - 00:00,45.93,28.01,14.3,7.42,21.72,0.29,01-Mar-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
01-Mar-2019 - 00:00,74.87,34.52,14.31,7.43,21.75,0.4,02-Mar-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Mar-2019 - 00:00,66.21,34.13,14.31,7.44,21.75,0.35,03-Mar-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-Mar-2019 - 00:00,102.9,60.47,14.29,7.48,21.78,0.36,04-Mar-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Mar-2019 - 00:00,,74.18,14.29,7.44,21.73,0.42,05-Mar-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Mar-2019 - 00:00,98.12,53.84,7.84,8.64,16.48,0.36,06-Mar-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Mar-2019 - 00:00,70.59,37.57,1.39,9.87,11.23,0.35,07-Mar-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
