from date,CO,PM10,SO2,to date,station
01-Jan-2019 - 00:00,0.74,91.59,7.0,02-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Jan-2019 - 00:00,1.24,69.54,7.34,03-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Jan-2019 - 00:00,1.79,79.07,8.95,04-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Jan-2019 - 00:00,1.53,61.76,7.04,05-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Jan-2019 - 00:00,0.66,95.87,7.41,06-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Jan-2019 - 00:00,0.86,139.13,7.62,07-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Jan-2019 - 00:00,1.26,91.21,10.99,08-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Jan-2019 - 00:00,0.94,68.35,12.55,09-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Jan-2019 - 00:00,1.11,55.12,12.46,10-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Jan-2019 - 00:00,0.99,58.05,13.05,11-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Jan-2019 - 00:00,1.12,141.41,10.09,12-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Jan-2019 - 00:00,1.23,53.82,8.64,13-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Jan-2019 - 00:00,1.15,115.81,7.92,14-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Jan-2019 - 00:00,1.52,135.6,11.42,15-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Jan-2019 - 00:00,0.88,32.46,10.81,16-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Jan-2019 - 00:00,0.96,104.27,8.15,17-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Jan-2019 - 00:00,1.14,200.96,7.28,18-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Jan-2019 - 00:00,1.13,92.59,8.27,19-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Jan-2019 - 00:00,1.08,74.48,9.62,20-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
