from date,PM10,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM2.5,NH3,SO2,Benzene,Toluene,MP-Xylene,Eth-Benzene,to date,station
01-Jan-2019 - 00:00,494.33,6.17,245.74,54.25,79.84,59.87,79.78,89.87,50.81,14.38,3.04,0.38,0.0,262.9,26.67,22.27,21.88,70.85,16.35,17.36,02-Jan-2019 - 00:00,"Sirifort, Delhi - CPCB"
02-Jan-2019 - 00:00,541.97,7.08,157.23,56.33,73.33,61.82,72.27,87.5,55.35,13.98,3.54,0.37,0.0,314.66,27.15,22.04,32.41,93.36,22.53,23.26,03-Jan-2019 - 00:00,"Sirifort, Delhi - CPCB"
03-Jan-2019 - 00:00,551.76,4.7,282.78,57.4,75.71,36.08,68.47,64.91,51.75,13.52,2.45,0.8,0.0,338.66,22.93,21.35,22.1,68.97,16.7,15.72,04-Jan-2019 - 00:00,"Sirifort, Delhi - CPCB"
04-Jan-2019 - 00:00,555.57,2.28,244.45,53.97,57.69,30.96,64.94,58.97,49.21,12.06,2.31,0.58,0.0,252.45,20.04,22.02,20.61,55.04,13.38,12.02,05-Jan-2019 - 00:00,"Sirifort, Delhi - CPCB"
05-Jan-2019 - 00:00,452.86,4.47,118.16,53.91,76.24,31.41,62.15,57.87,55.77,13.08,2.51,0.58,0.0,254.46,21.1,20.89,24.19,73.36,16.47,17.72,06-Jan-2019 - 00:00,"Sirifort, Delhi - CPCB"
06-Jan-2019 - 00:00,279.62,5.04,163.61,58.98,60.83,10.42,51.34,35.41,52.34,13.54,1.34,0.42,0.0,187.29,16.14,20.02,13.73,43.55,9.99,10.75,07-Jan-2019 - 00:00,"Sirifort, Delhi - CPCB"
07-Jan-2019 - 00:00,336.78,7.54,275.81,63.31,81.97,22.28,60.5,49.7,44.51,13.12,1.61,0.56,0.0,206.91,19.01,20.68,14.65,47.26,10.87,10.33,08-Jan-2019 - 00:00,"Sirifort, Delhi - CPCB"
08-Jan-2019 - 00:00,282.77,8.45,284.29,48.67,90.23,8.8,51.84,34.38,50.33,13.1,1.02,0.84,0.0,170.52,16.12,20.25,9.0,32.5,7.66,7.31,09-Jan-2019 - 00:00,"Sirifort, Delhi - CPCB"
09-Jan-2019 - 00:00,274.19,7.16,284.74,46.5,97.96,8.15,49.84,32.81,57.01,13.77,0.87,0.94,0.0,139.79,15.91,20.59,8.39,27.35,6.42,5.6,10-Jan-2019 - 00:00,"Sirifort, Delhi - CPCB"
10-Jan-2019 - 00:00,304.09,6.21,261.45,46.67,95.11,38.1,53.43,58.65,40.22,13.94,1.66,0.65,0.0,147.27,20.37,19.61,12.46,36.02,7.94,8.44,11-Jan-2019 - 00:00,"Sirifort, Delhi - CPCB"
11-Jan-2019 - 00:00,506.68,9.93,169.9,49.28,78.22,108.4,82.64,130.19,13.96,13.2,4.3,0.22,0.0,284.34,34.4,14.01,32.81,94.44,20.76,21.36,12-Jan-2019 - 00:00,"Sirifort, Delhi - CPCB"
