from date,NO2,NH3,CO,Ozone,SO2,Benzene,PM10,PM2.5,NOx,NO,WS,WD,RH,SR,MP-Xylene,Eth-Benzene,to date,station
01-Jan-2019 - 00:00,6.47,5.96,3.76,9.51,25.3,,311.85,111.9,13.03,9.24,2.45,139.73,68.16,,0.0,0.03,02-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
02-Jan-2019 - 00:00,6.14,6.0,4.74,10.82,36.28,,384.29,163.99,13.39,8.12,2.62,152.56,72.76,,0.0,0.03,03-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
03-Jan-2019 - 00:00,5.87,6.04,4.21,10.51,33.16,,398.22,143.92,13.81,9.08,2.59,146.53,72.19,,1.63,1.66,04-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
04-Jan-2019 - 00:00,5.05,6.15,4.06,8.37,31.74,,380.14,148.77,14.87,9.85,3.04,149.12,77.92,,0.0,0.03,05-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
05-Jan-2019 - 00:00,5.13,6.22,4.1,7.87,32.6,0.0,369.01,142.63,15.38,10.76,3.19,151.4,71.48,,0.0,0.03,06-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
06-Jan-2019 - 00:00,5.43,6.26,4.15,6.71,33.72,0.0,383.87,149.79,15.8,11.54,2.89,146.23,73.17,,0.0,0.03,07-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
07-Jan-2019 - 00:00,5.97,6.36,4.26,6.63,34.65,0.0,408.18,137.49,16.83,13.41,2.73,128.8,72.0,,0.0,0.03,08-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
08-Jan-2019 - 00:00,6.2,6.42,3.31,7.06,22.19,0.0,241.49,94.79,17.43,14.5,2.72,135.36,70.99,,0.0,0.02,09-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
09-Jan-2019 - 00:00,5.81,6.4,3.56,6.15,22.38,0.0,278.1,106.38,17.31,14.27,2.46,156.0,70.51,,0.0,0.02,10-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-Jan-2019 - 00:00,5.74,6.22,3.43,5.95,28.38,0.0,357.89,118.39,15.5,12.4,2.79,159.52,69.86,,0.0,0.02,11-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-Jan-2019 - 00:00,5.76,6.06,2.68,6.12,,0.0,280.4,118.33,13.95,8.87,2.86,142.98,72.37,,0.0,0.02,12-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-Jan-2019 - 00:00,5.37,6.1,2.91,6.74,,0.0,305.1,124.71,14.43,9.06,2.8,156.11,72.48,,0.0,0.02,13-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
13-Jan-2019 - 00:00,5.07,6.14,3.44,8.78,,0.0,337.25,149.49,14.75,9.69,2.76,134.04,73.79,,0.0,0.02,14-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-Jan-2019 - 00:00,5.07,6.13,3.34,8.78,,0.0,400.76,128.92,14.76,10.14,2.7,136.26,74.7,,0.0,0.02,15-Jan-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
