from date,Temp,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,to date,BP,THC,station
01-Jan-2019 - 00:00,14.1,62.77,-0.21,254.2,0.37,125.72,249.66,1.22,991.29,60.89,50.31,72.59,50.92,8.05,600.49,02-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
02-Jan-2019 - 00:00,15.03,65.65,-0.3,233.71,0.25,114.28,291.76,0.84,992.94,77.11,101.63,122.14,62.26,10.31,599.38,03-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
03-Jan-2019 - 00:00,15.0,70.96,0.18,289.76,0.59,110.76,200.04,1.03,993.08,56.8,17.5,43.99,34.08,7.15,599.73,04-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
04-Jan-2019 - 00:00,14.87,66.36,0.15,276.89,0.59,133.04,210.5,1.13,992.87,50.72,63.47,77.52,44.63,7.22,597.65,05-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
05-Jan-2019 - 00:00,15.25,68.41,-0.2,101.46,0.39,104.94,255.98,1.07,992.25,73.05,74.92,98.69,47.76,11.07,599.25,06-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
06-Jan-2019 - 00:00,14.79,73.85,0.29,93.32,0.66,74.72,228.78,1.08,994.0,41.22,13.57,32.37,31.19,10.17,600.67,07-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
07-Jan-2019 - 00:00,15.2,72.68,-0.18,110.39,0.34,104.47,82.01,1.12,994.61,34.0,30.87,42.57,36.28,7.54,600.02,08-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
08-Jan-2019 - 00:00,15.38,64.06,0.55,317.05,0.87,131.28,81.24,1.02,991.49,32.89,13.38,27.93,28.88,5.58,599.5,09-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
09-Jan-2019 - 00:00,14.04,66.99,0.75,293.84,0.97,136.15,91.49,1.12,993.32,35.69,12.59,28.94,27.45,5.19,600.92,10-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
10-Jan-2019 - 00:00,13.98,67.39,0.15,284.39,0.58,130.99,118.57,1.2,992.33,50.15,37.74,56.77,34.42,5.6,600.73,11-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
11-Jan-2019 - 00:00,15.18,64.7,-0.49,198.39,0.2,102.71,155.7,1.04,993.51,72.13,31.44,63.49,35.52,5.6,598.45,12-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
12-Jan-2019 - 00:00,15.33,67.3,-0.39,191.68,0.22,117.03,194.92,1.46,994.15,70.76,63.85,88.64,46.91,40.6,599.39,13-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
13-Jan-2019 - 00:00,15.61,68.37,-0.51,181.06,0.17,123.14,296.49,0.86,992.73,51.2,72.64,85.25,49.2,23.8,599.67,14-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
14-Jan-2019 - 00:00,15.0,59.97,0.94,303.7,1.12,169.87,147.19,1.1,991.31,23.93,14.36,23.83,26.78,11.91,600.31,15-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
15-Jan-2019 - 00:00,12.41,59.05,0.71,283.87,0.95,111.98,109.07,1.14,992.55,32.32,17.92,31.13,28.72,13.1,600.84,16-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
16-Jan-2019 - 00:00,13.76,64.51,-0.26,215.11,0.31,131.08,269.46,1.05,992.41,51.86,45.76,64.18,40.74,13.91,599.6,17-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
17-Jan-2019 - 00:00,14.19,72.05,-0.2,256.77,0.39,140.57,349.81,0.98,992.12,38.22,66.02,73.08,45.41,13.31,600.39,18-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
18-Jan-2019 - 00:00,15.33,63.63,0.25,300.93,0.7,143.31,95.28,1.12,992.86,38.37,13.29,30.9,30.34,9.05,597.75,19-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
19-Jan-2019 - 00:00,15.56,62.83,0.15,272.97,0.6,137.11,124.22,1.06,993.07,50.66,16.44,40.0,35.66,11.25,598.97,20-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
20-Jan-2019 - 00:00,16.7,67.61,-0.18,253.27,0.43,137.55,206.98,1.19,992.53,57.33,52.56,72.43,51.13,10.83,601.04,21-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
21-Jan-2019 - 00:00,18.49,67.46,0.09,119.19,0.56,136.39,211.36,1.02,993.17,61.05,60.47,80.84,56.99,13.25,598.22,22-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
22-Jan-2019 - 00:00,18.23,68.14,0.16,89.95,0.59,64.77,196.85,0.98,993.81,40.29,13.91,32.56,34.25,12.78,600.9,23-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
23-Jan-2019 - 00:00,17.11,78.87,0.43,123.49,0.75,100.93,142.63,1.3,993.23,35.81,15.85,31.71,33.54,12.21,601.39,24-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
24-Jan-2019 - 00:00,17.32,76.94,-0.39,80.64,0.2,128.98,142.93,1.25,992.0,47.94,52.47,67.47,50.87,14.76,599.62,25-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
25-Jan-2019 - 00:00,13.54,90.8,1.06,120.75,0.4,47.02,199.46,0.97,992.58,46.9,54.86,68.81,51.75,16.54,599.47,26-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
26-Jan-2019 - 00:00,13.58,93.31,1.41,170.09,0.37,34.83,82.67,1.04,993.18,18.8,13.93,21.02,28.54,10.29,601.09,27-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
27-Jan-2019 - 00:00,14.52,75.28,1.04,307.97,0.95,170.69,89.02,1.12,992.94,17.74,12.09,19.01,28.23,8.03,600.96,28-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
28-Jan-2019 - 00:00,12.36,69.47,0.99,296.57,1.08,183.43,122.39,1.09,992.84,24.55,12.03,22.63,27.81,8.4,598.85,29-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
29-Jan-2019 - 00:00,12.87,62.85,0.92,290.77,1.09,186.67,120.54,1.07,993.08,26.71,12.94,24.46,28.39,8.56,600.05,30-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
30-Jan-2019 - 00:00,13.69,65.38,0.49,280.94,0.78,185.15,135.51,1.12,993.29,39.3,33.15,47.4,39.62,10.63,600.41,31-Jan-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
31-Jan-2019 - 00:00,16.39,60.99,-0.01,141.07,0.48,163.47,228.03,0.89,992.52,53.1,57.07,73.9,53.33,12.46,599.51,01-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
01-Feb-2019 - 00:00,16.94,66.03,-0.38,92.09,0.26,156.74,216.67,1.17,993.76,54.74,34.78,56.92,43.65,15.59,598.91,02-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
02-Feb-2019 - 00:00,17.25,65.1,0.34,292.13,0.66,159.54,160.1,1.06,990.09,44.87,20.57,39.47,35.34,15.28,599.08,03-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
03-Feb-2019 - 00:00,14.28,80.51,0.66,309.9,0.84,162.15,126.27,1.09,992.19,37.76,3.54,21.69,26.17,9.56,599.59,04-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
04-Feb-2019 - 00:00,13.5,80.41,0.2,290.06,0.61,163.05,126.28,1.08,991.84,38.31,2.57,21.23,25.84,8.29,598.95,05-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
05-Feb-2019 - 00:00,15.94,81.28,-0.43,224.14,0.26,114.34,205.3,1.1,994.57,66.44,23.72,53.88,39.93,11.41,599.15,06-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
06-Feb-2019 - 00:00,16.79,90.41,-0.16,148.84,0.41,69.65,196.61,1.05,992.03,69.24,18.17,50.88,42.69,13.82,599.21,07-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
07-Feb-2019 - 00:00,16.39,90.93,0.1,116.69,0.71,55.08,72.17,1.25,991.33,41.48,3.38,23.91,29.95,12.96,600.07,08-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
08-Feb-2019 - 00:00,17.76,73.57,-0.09,204.77,0.64,161.0,93.0,1.26,992.74,46.79,4.91,27.7,32.36,8.49,600.11,09-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
09-Feb-2019 - 00:00,14.93,65.87,0.9,303.78,1.05,211.09,77.81,1.09,992.87,34.17,3.32,19.81,27.44,8.05,600.5,10-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
10-Feb-2019 - 00:00,15.51,65.27,0.55,305.0,0.82,192.83,93.01,1.06,992.95,38.09,3.79,22.35,28.52,8.07,599.06,11-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
11-Feb-2019 - 00:00,15.9,61.67,-0.14,281.75,0.37,166.3,116.54,1.13,990.65,49.56,17.0,39.28,36.81,8.39,601.19,12-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
12-Feb-2019 - 00:00,16.84,65.79,-0.36,214.2,0.2,107.94,201.32,1.06,992.15,63.48,39.31,64.54,48.52,11.49,599.64,13-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
13-Feb-2019 - 00:00,17.75,68.52,-0.21,234.67,0.29,173.46,206.37,1.11,993.24,53.8,79.35,91.27,62.61,13.78,599.86,14-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
14-Feb-2019 - 00:00,18.06,74.31,-0.0,135.18,0.47,84.31,231.83,1.01,993.58,56.09,72.92,87.53,70.84,16.39,600.35,15-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
15-Feb-2019 - 00:00,18.19,81.99,0.44,123.27,0.67,109.11,128.69,1.09,992.84,43.79,7.62,28.55,35.23,12.38,599.86,16-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
16-Feb-2019 - 00:00,17.24,86.04,0.42,227.01,0.73,92.47,88.82,1.13,993.97,33.9,7.47,22.65,34.14,10.92,600.47,17-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
17-Feb-2019 - 00:00,16.26,81.95,1.25,296.95,1.31,205.23,97.71,1.12,994.07,25.2,3.02,14.63,29.49,7.83,598.73,18-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
18-Feb-2019 - 00:00,18.46,65.07,0.97,267.83,1.08,210.77,101.88,1.17,990.51,38.64,8.18,26.06,35.34,8.38,598.52,19-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
19-Feb-2019 - 00:00,20.2,69.12,0.21,139.59,0.5,164.19,160.98,1.19,993.1,46.12,35.62,52.11,54.66,9.87,600.94,20-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
20-Feb-2019 - 00:00,20.02,78.46,-0.03,204.55,0.48,89.75,195.86,1.04,991.59,47.12,18.52,39.42,45.03,13.06,601.31,21-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
21-Feb-2019 - 00:00,22.2,66.51,-0.13,149.19,0.32,153.26,143.37,0.96,992.04,50.0,39.44,57.86,57.1,11.99,601.51,22-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
22-Feb-2019 - 00:00,23.94,67.22,0.42,189.62,0.67,176.85,136.25,1.06,993.61,40.07,18.19,35.07,40.33,12.57,599.82,23-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
23-Feb-2019 - 00:00,17.79,60.09,1.86,304.29,1.6,223.14,71.8,1.09,949.98,24.07,2.49,12.11,21.09,8.93,581.58,24-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
24-Feb-2019 - 00:00,16.74,60.99,0.64,267.52,0.84,111.63,121.85,1.08,900.88,24.99,1.38,9.34,11.13,9.28,549.92,25-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
25-Feb-2019 - 00:00,19.17,59.94,-0.07,199.37,0.38,209.18,161.75,0.96,901.03,36.46,10.82,20.59,18.62,9.84,550.23,26-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
26-Feb-2019 - 00:00,19.83,50.4,0.28,75.06,0.52,135.35,162.12,0.97,899.62,33.71,2.15,14.34,14.29,14.53,549.2,27-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
27-Feb-2019 - 00:00,15.39,80.5,0.36,97.12,0.58,112.54,101.57,1.16,900.21,32.2,1.79,14.73,13.1,12.73,548.93,28-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
28-Feb-2019 - 00:00,15.0,67.05,0.55,298.94,0.8,220.4,60.69,1.04,900.75,28.77,3.72,12.6,11.72,8.89,550.47,01-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
