from date,SR,PM10,Temp,VWS,RH,PM2.5,CO,Ozone,NO2,NO,NH3,Benzene,SO2,to date,BP,station
01-Jan-2019 - 00:00,181.61,489.93,16.68,-1.69,63.48,,,16.43,7.76,7.09,6.64,,53.79,02-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
02-Jan-2019 - 00:00,179.99,409.58,17.11,-1.68,63.85,,,17.38,8.07,7.82,6.71,,66.85,03-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
03-Jan-2019 - 00:00,178.33,494.93,17.19,-1.7,60.9,,,29.06,7.89,7.81,6.68,,92.84,04-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
04-Jan-2019 - 00:00,161.3,559.42,17.76,-1.71,59.45,,,27.53,7.73,7.6,6.7,,73.3,05-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
05-Jan-2019 - 00:00,165.38,599.53,18.1,-1.75,66.02,,,62.7,8.01,8.08,6.73,,76.26,06-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
06-Jan-2019 - 00:00,173.84,496.23,18.51,-1.85,65.49,,,26.99,7.8,7.64,6.66,,86.82,07-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
07-Jan-2019 - 00:00,162.65,531.36,19.06,-1.8,65.93,,,8.68,7.77,7.77,6.74,,85.18,08-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
08-Jan-2019 - 00:00,150.75,333.29,18.86,-1.88,72.14,,,14.84,12.16,9.98,6.16,,63.72,09-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
09-Jan-2019 - 00:00,185.49,273.6,18.4,-2.25,67.47,188.93,0.0,112.67,10.9,9.88,6.26,0.0,64.15,10-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
10-Jan-2019 - 00:00,166.0,210.33,17.69,-2.7,62.95,134.27,,29.6,11.0,10.49,6.31,,58.64,11-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
11-Jan-2019 - 00:00,166.01,242.64,17.76,-2.66,65.69,154.6,,12.55,11.2,10.68,6.36,,82.82,12-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
12-Jan-2019 - 00:00,151.99,262.0,18.32,-2.69,63.91,165.48,,12.37,11.49,10.94,6.42,,83.68,13-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
13-Jan-2019 - 00:00,148.39,305.53,19.15,-2.7,68.47,183.3,,19.41,11.7,10.72,6.33,,86.05,14-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
14-Jan-2019 - 00:00,137.94,280.96,20.75,-2.77,64.68,154.77,,58.79,10.8,9.84,6.27,,101.57,15-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
15-Jan-2019 - 00:00,185.31,156.75,18.57,-2.72,52.91,96.79,,117.7,10.82,9.75,6.25,,49.95,16-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
16-Jan-2019 - 00:00,177.37,179.06,17.0,-2.68,50.9,107.36,,50.63,10.57,10.02,6.37,,57.07,17-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
17-Jan-2019 - 00:00,173.5,203.56,17.64,-2.67,57.67,121.15,,41.44,10.67,10.02,6.36,,75.31,18-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
18-Jan-2019 - 00:00,160.52,190.23,17.87,-2.68,59.13,115.59,,34.48,10.46,9.94,6.35,,53.41,19-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
19-Jan-2019 - 00:00,158.65,206.05,18.26,-2.67,58.88,115.65,,90.5,10.39,9.98,6.25,,72.02,20-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
20-Jan-2019 - 00:00,158.36,223.03,19.4,-2.74,58.76,126.8,,40.46,10.65,9.78,6.33,,79.05,21-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
21-Jan-2019 - 00:00,170.6,219.79,20.03,-2.53,54.54,112.87,,51.95,10.67,10.17,6.34,0.0,70.7,22-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
22-Jan-2019 - 00:00,162.12,283.94,21.91,-2.73,59.2,159.52,0.0,33.31,10.78,9.92,6.35,0.0,94.69,23-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
23-Jan-2019 - 00:00,165.72,227.01,24.01,-2.89,56.42,128.95,,31.6,10.21,9.72,6.37,,113.89,24-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
24-Jan-2019 - 00:00,140.47,217.54,23.5,-2.77,63.65,120.49,0.0,41.79,10.32,9.6,6.3,0.0,85.12,25-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
25-Jan-2019 - 00:00,142.91,191.49,23.68,-2.83,59.1,101.39,0.0,30.5,10.2,9.44,6.35,0.0,104.23,26-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
26-Jan-2019 - 00:00,51.61,178.09,20.98,-2.78,80.65,104.31,,16.47,10.24,9.47,6.35,,70.22,27-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
27-Jan-2019 - 00:00,154.43,112.94,20.58,-2.78,69.02,73.38,,34.92,10.02,9.73,6.32,,40.94,28-Jan-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
