from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,WS,WD,AT,RH,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
