from date,CO,RH,NO,NO2,NOx,NH3,Ozone,PM10,PM2.5,RF,SO2,SR,Temp,WD,WS,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,to date,station
01-Jan-2019 - 00:00,1.68,67.73,103.34,122.3,180.03,27.44,23.68,292.28,177.49,,14.52,594.34,16.54,127.93,0.36,,,,,,02-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
02-Jan-2019 - 00:00,1.48,68.77,91.48,116.61,199.62,28.12,22.14,229.97,155.82,,18.06,341.6,17.14,137.56,0.25,,,,,,03-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
03-Jan-2019 - 00:00,2.37,69.11,149.03,147.16,226.57,23.71,24.13,311.84,201.51,,25.71,195.51,17.09,171.17,0.2,,,,,,04-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
04-Jan-2019 - 00:00,1.93,63.01,146.03,143.99,200.84,28.3,26.52,295.04,218.39,,15.85,151.14,16.96,133.02,0.33,,,,,,05-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
05-Jan-2019 - 00:00,2.13,69.74,132.27,117.93,199.1,30.0,23.98,287.79,183.2,,16.58,178.89,16.69,124.33,0.36,,,,,,06-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
06-Jan-2019 - 00:00,1.54,69.35,100.67,109.91,183.12,27.91,21.96,223.85,137.43,,15.41,219.23,17.67,144.91,0.3,,,,,,07-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
07-Jan-2019 - 00:00,1.92,68.17,115.81,125.45,213.01,29.68,22.94,215.67,132.73,,19.53,225.13,18.23,150.91,0.28,,,,,,08-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
08-Jan-2019 - 00:00,1.85,69.7,109.65,104.91,162.51,31.45,20.3,228.27,162.02,,13.27,160.69,17.84,155.73,0.33,,,,,,09-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
09-Jan-2019 - 00:00,1.96,72.49,133.68,116.71,181.79,29.55,19.9,229.18,175.69,,17.44,138.94,17.71,134.47,0.22,,,,,,10-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
10-Jan-2019 - 00:00,2.13,68.55,103.16,128.87,165.58,30.25,27.46,251.82,189.24,,17.74,152.45,17.49,117.2,0.34,,,,,,11-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
11-Jan-2019 - 00:00,2.31,66.07,89.69,136.63,182.3,31.44,26.68,265.45,183.65,,15.85,164.47,16.91,172.79,0.3,,,,,,12-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
