from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,to date,BP,station
01-Jan-2019 - 00:00,48.6,85.36,36.32,36.9,3.86,0.97,109.49,269.94,8.3,2.61,5.44,15.05,24.86,17.67,0.01,168.38,67.32,0.0,209.16,0.34,02-Jan-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
02-Jan-2019 - 00:00,45.57,72.59,33.38,30.44,4.45,0.98,74.3,197.02,6.7,2.1,4.04,13.0,28.17,17.89,0.01,175.47,65.48,0.0,241.2,0.3,03-Jan-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
03-Jan-2019 - 00:00,52.69,90.55,41.44,42.28,29.22,1.05,102.14,230.1,7.61,2.44,4.2,13.21,19.4,16.3,0.01,117.89,73.71,0.0,232.88,0.25,04-Jan-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
04-Jan-2019 - 00:00,61.81,121.39,57.94,59.58,4.32,0.98,150.64,393.49,9.99,3.78,6.58,22.89,21.74,16.95,0.01,142.63,72.66,0.02,186.73,0.32,05-Jan-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
05-Jan-2019 - 00:00,46.86,74.25,43.34,24.09,4.07,0.82,84.96,216.59,7.25,3.42,5.43,15.08,30.61,18.37,0.01,177.45,67.0,0.0,210.38,0.41,06-Jan-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
06-Jan-2019 - 00:00,47.67,71.95,37.42,24.09,3.74,0.85,84.44,278.0,4.61,1.72,3.54,10.67,29.19,19.01,0.01,186.42,59.54,0.0,160.13,0.55,07-Jan-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
07-Jan-2019 - 00:00,51.17,98.95,41.45,52.61,5.32,1.06,105.17,330.65,7.28,2.84,5.8,15.71,28.0,18.72,-0.01,173.32,62.82,0.0,218.78,0.3,08-Jan-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
08-Jan-2019 - 00:00,57.09,87.69,53.7,42.23,5.1,0.86,116.68,302.31,9.88,4.6,8.18,16.07,21.68,17.26,0.0,86.54,74.03,0.0,227.61,0.25,09-Jan-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
09-Jan-2019 - 00:00,43.6,69.98,41.18,26.38,4.77,1.01,131.87,280.78,9.95,2.37,4.64,13.38,32.96,17.77,0.01,155.77,76.71,0.0,183.59,0.46,10-Jan-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
10-Jan-2019 - 00:00,53.24,106.21,46.4,52.96,3.99,1.13,169.25,361.2,11.81,3.6,6.48,16.13,24.03,17.39,0.01,117.37,79.27,0.0,204.19,0.33,11-Jan-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
