from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,15.23,995.29,601.02,400.88,61.84,97.21,225.7,0.99,8.86,79.82,78.7,155.37,180.07,100.49,2.29,14.05,24.36,02-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
02-Jan-2019 - 00:00,15.89,995.57,723.26,468.81,67.95,82.11,131.75,0.95,11.29,66.91,99.91,189.92,211.35,105.88,3.1,14.73,24.09,03-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
03-Jan-2019 - 00:00,15.25,996.49,671.38,487.06,72.84,88.68,303.57,1.31,8.19,62.74,101.31,84.48,113.68,84.14,2.75,11.56,19.07,04-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
04-Jan-2019 - 00:00,13.2,995.41,448.41,321.0,80.0,65.98,241.08,1.14,7.27,58.55,81.21,54.77,81.54,69.35,1.87,7.97,15.95,05-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
05-Jan-2019 - 00:00,15.4,993.85,571.56,345.69,66.73,88.91,109.68,1.62,10.04,57.88,84.81,107.62,131.54,82.4,2.16,15.31,19.87,06-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
06-Jan-2019 - 00:00,15.21,993.37,282.78,196.25,75.76,79.45,206.37,1.39,5.1,41.74,94.0,42.09,67.73,62.89,1.6,10.38,15.86,07-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
07-Jan-2019 - 00:00,14.54,994.97,332.65,219.77,78.92,99.35,322.91,1.38,4.25,46.6,90.93,59.05,82.01,63.63,1.49,9.09,15.75,08-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
08-Jan-2019 - 00:00,14.82,993.08,281.15,182.31,72.6,114.26,303.65,1.53,2.72,26.89,84.33,22.97,46.34,51.93,1.74,12.49,15.27,09-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
09-Jan-2019 - 00:00,14.93,992.34,267.02,162.28,62.9,125.28,307.08,1.88,2.99,23.41,75.29,15.52,40.12,51.33,1.24,16.25,15.32,10-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
10-Jan-2019 - 00:00,15.11,992.08,349.81,195.77,60.52,110.1,285.74,1.28,4.35,59.65,77.31,53.01,75.53,60.61,1.52,14.48,18.83,11-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
11-Jan-2019 - 00:00,14.85,993.79,544.79,363.8,66.15,83.94,99.35,0.82,9.25,62.61,87.28,143.09,161.93,83.52,2.6,12.26,21.37,12-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
12-Jan-2019 - 00:00,16.16,992.82,594.81,387.06,62.65,82.72,142.14,0.95,10.34,56.69,99.36,109.45,136.27,88.97,2.88,14.28,18.94,13-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
13-Jan-2019 - 00:00,16.85,994.71,462.98,316.02,67.3,76.28,230.07,1.44,6.71,44.16,110.09,77.92,101.29,70.94,2.43,12.07,17.34,14-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
14-Jan-2019 - 00:00,14.41,994.41,208.79,108.44,53.17,126.6,310.22,2.15,2.04,33.53,77.57,16.39,38.05,46.37,1.11,17.0,14.07,15-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
15-Jan-2019 - 00:00,12.98,993.44,299.74,180.83,57.43,77.9,294.23,1.65,3.73,61.24,72.97,50.2,76.29,66.4,1.27,12.79,18.21,16-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
16-Jan-2019 - 00:00,13.82,993.47,570.65,365.33,64.34,68.05,131.44,0.9,8.31,53.15,81.83,103.54,128.93,84.81,2.33,9.59,22.98,17-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
17-Jan-2019 - 00:00,14.81,992.22,557.22,395.48,64.68,77.86,250.0,1.15,7.58,50.17,80.98,95.78,118.22,75.38,2.7,11.53,21.67,18-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
18-Jan-2019 - 00:00,14.86,992.59,457.06,312.98,68.07,95.02,300.32,1.22,4.55,49.09,78.48,56.33,84.86,73.65,2.74,7.07,17.27,19-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
19-Jan-2019 - 00:00,16.98,992.4,514.65,374.88,60.1,94.61,229.21,1.0,7.8,98.07,83.17,149.39,173.58,97.94,2.43,8.33,27.54,20-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
20-Jan-2019 - 00:00,19.48,991.4,661.51,476.15,60.8,87.86,154.24,0.76,11.63,89.9,97.8,239.68,285.55,136.08,4.07,11.41,27.85,21-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
21-Jan-2019 - 00:00,17.88,988.66,442.65,241.58,72.31,39.12,114.27,2.29,7.42,42.32,97.16,141.16,161.38,87.1,2.4,13.01,22.53,22-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
22-Jan-2019 - 00:00,15.13,989.52,115.79,80.54,91.05,43.92,102.95,1.87,2.57,25.5,75.21,47.7,65.71,50.43,1.12,6.0,16.45,23-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
23-Jan-2019 - 00:00,14.6,992.85,300.38,203.72,87.61,102.69,251.68,1.05,4.65,37.94,90.15,83.31,100.94,61.74,1.57,6.55,17.63,24-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
24-Jan-2019 - 00:00,16.01,994.98,276.41,153.24,73.44,80.72,123.86,1.25,4.33,28.93,89.62,64.1,82.2,56.29,1.4,7.73,17.6,25-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
25-Jan-2019 - 00:00,14.55,995.1,175.47,105.21,74.36,101.19,254.47,1.68,3.22,37.2,52.94,17.17,42.09,52.34,1.03,22.5,22.6,26-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
26-Jan-2019 - 00:00,13.61,997.55,184.04,118.67,61.15,133.67,321.53,1.8,2.56,16.38,52.44,16.35,38.29,46.93,1.01,33.59,20.08,27-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
27-Jan-2019 - 00:00,12.27,997.53,254.09,165.05,62.99,89.19,309.84,1.75,3.88,27.55,56.17,20.65,42.32,47.92,1.12,22.43,22.81,28-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
28-Jan-2019 - 00:00,13.1,997.17,315.94,210.76,55.86,130.45,310.68,1.94,6.76,24.7,54.11,25.87,48.46,51.46,1.24,22.59,22.55,29-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
29-Jan-2019 - 00:00,14.09,995.66,275.45,165.99,53.32,130.37,312.13,1.71,3.49,31.08,52.91,40.27,62.89,56.47,1.37,28.04,25.34,30-Jan-2019 - 00:00,"Wazirpur, Delhi - DPCC"
